,comment,num_likes
0,한두 명만 들여라,0
1,정우성이 수용하면 되겠네,0
2,환대하시는 분들 집에 거주하게 하면 어떨지요 이슬람 종교색이 너무 강하다 절대 안 된다,0
3,왜 환대를 해야 하는지는 모르겠음 미군 감시하에 이탈 없이 지내면 상관없음 괜히 탈출해서 코란이랑 칼 들고 설치는 건 반대임 ,4
4,우리 허락받고 논의해야 될 문제를 자기들 책임지기 싫어서 동맹국한테 떠넘기기 하네 아프간 전쟁도 자기들이 참여 해놓고 뭔 어린아이도 아니고 일 벌여놓고 책임 전가하나 미국 좋아하고 주위에 정상인 국가가 없어서 믿는데 이건 아니지,3
5,환대 같은 소리 하고 자빠짐 정우성 나대지 마라 그들이 종교 버리고 민주주의 받아들이면 받겠지만 이슬람이 탈레반이다 테러를 받아들이는 건 미친 짓이다,9
6,진중권의 집을 모든 불법 외국인들의 보호소로 지정하자,2
7,이슬람 율법이 문제다 종교 결혼 여성에 대한 가치관이 너무 폭력적이고 반 인륜적이다 우리가 받아들이기엔 무리다,1
8,트럼프 씹던 사람 나와 저기도 좌파가 진짜 징글징글하다 바이든,0
9,60년 전 한국도 전쟁 후 폐허가 된 나라였다 다른 나라 도움 없이 절대 재건하고 강대국으로 성장할 수 없었지 주제 파악 좀 해라 한국인들이 ,2
10,한국 개독들도 관리 안 돼 노 답인데 이슬람을 들여 미친 게 아니고서야,7
11,미친 거냐 절대 반대,6
12,이건 난민 얘기도 들어봐야 되는 거 아니냐 헬 조선에 오고 싶어 한대,1
13,환대가 어떤 의미인지 알고 쓰는 것이냐 어이가 없네,3
14,이슬람 난민들이 유럽에서 하는 행동들을 보면 받아주고 싶지 않음 물에 빠진 사람 건져줬더니 보따리까지 내놓으라고 하는 격 독일은 유태인한테 진 빚을 왜 이슬람 난민들한테 갚았는지 모르겠는데 받아줬더니 사원 만들어 달라 복지 지원해달라 집 달라 돈 달라 비정상회담에서 독일 패널분이 그랬죠 그렇게 맘에 안 들면 난민들은 본인들 나라로 돌아가면 된다고 그랬더니 이슬람 여자 한마디도 못함 이슬람 난민들은 자신들을 받아준 고마운 독일을 위해서 뭘 했는지 몰라 ,16
15,누구 마음대로 이슬람을 받느냔 말이다 난민 반대다 땅덩이 넓은 나라 천진데 왜 좁은 한국 땅이어야 하는 말이다 반대다 절대 반대다 환대 같은 개소리하지 마라,13
16,이슬람만 아니었으면 차라리 아프리카 부두교 난민을 받고 말지,0
17,아 그니까 누가 환대를 하냐고 저 답도 없는 신념 갖고 있는 애들을 제발 감정에 빠지지 말라고 이성적으로 생각이라는 걸 좀 해,4
18,한국 와봤자 문화도 다르고 종교도 기독교도들한테 치일 텐데 당장에 탈레반에 대한 두려움에 어디든 가고 싶을지 몰라도 여기도 결코 녹록한 곳은 아니니 오지 말았으면 고향 가까운데 다 놔두고 지구 반대편까지 오려 해,0
19,환대 같은 소리 하고 자빠졌네 ,2
20,국가와 국민에 대한 개념도 없는 현 대한민국에서 무슬림 난민을 받자고 국적법까지 개정해서 외국인에게 국적 주자는 현 대한민국에서 무슬림 난민을 받자고 외국인 40만 명이 불법체류를 해도 나 몰라라 출입국 관리도 안 하는 현 대한민국에서 무슬림 난민을 받자고 난민 신청자가 떼만 쓰면 받아주고 난민 불인 정자는 인도적 체류 허가해주고 난민 자 붙으면 추방도 못하는 현 대한민국에서 무슬림 난민을 또 받자고 국내에 아프가니스탄인이 만여 명이라는데 아프가니스탄인을 난민으로 또 받자고 ,8
21,난민 반대하면서 주한 미군 철수 주장하는 조선족들 귀싸대기를 날려버리고 싶다 이래서 중국인은 역사적으로도 한국과는 철천지원수 흥남철수도 중국 때문인 거 알지 북한의 지원 요청을 받은 중국공산당 정부가 병력을 보내 한국전쟁에 개입하면서 전황은 급격히 바뀌었다 1950년 10월 19일 26만 명의 병력을 1차로 압록강 너머로 파병한 중국은 10월 25일 중국 인민지원군 中國人民志願軍 을 창설해 북한군과 연합 사령부를 구성했으며 그날부터 전투에 참전했다 중국군이 개입하면서 혜산진과 두만강 방면으로 나아갔던 미군과 한국군은 병력,5
22,환대해야 한다는 애들은 머리가 어떻게 된 거 아니야,7
23,주한미군 애쫓자 미국의 애완견에서 중국의 애완견으로 다시 입양되자,0
24,아닌 건 아니라고 봐,0
25,한국 미군 기지에 아프가니스탄인 수용한다면 아프가니스탄인데 따른 각종 문제를 미국에서 책임 지나 그것부터 분명히 밝혀라 ,3
26,환대해야 한다는 댓글은 어디에 있음 찬성한다는 댓글 수두룩한 거처럼 말하는 기사도 많던데 나도 수두룩 쌓아놓고 좀 봅시다 ,0
27,국민투표해라 반대한다,6
28,전라도로 보내는 건 대찬성,2
29,들어오는 거 그래 어쩔 수 없이 온다 치자 대신 저 난민들의 모든 종교적 활동은 금지해라 그 종교 때문에 지구 반대편까지 왔으면 종교는 포기를 해야지 ,2
30,돌았구나,0
31,나라 버리고 도망친 놈들이 여기서 무슨 짓을 하고 다닐 줄 알고 ,0
32,절대 반대,11
33,우리가 호구냐 누가 이슬람 쪽을 이 땅에 쏟아부을 정신 나간 생각을 하냐 이슬람 쪽이 많아지면 테러가 따라 들어오는 거 몰라 우리가 삐고냐,2
34,미얀마도 여자들이 총 들고 싸우고 이라크도 자국에서 is 몰아냄 받아줄 이유가 없음 ,3
35,미국 기지 내라면 한국 땅이라도 외교적으로 무조건 반대할 사항은 아니라고 봅니다 결론난 일도 아닌데 먼저 나설 필요는 없어도 결사반대까지 하기는 힘들듯하네요 ,2
36,환대해야지,0
37,탄핵 막바지에 IS 테러분자 잡아넣었던 거 기억하나 지금 여당과 정의당이 테러방지법 통과 반대한다고 필리버스터까지 하고 개난리 쳤을 때 지금 야당이 통과시키고 얼마 안 지나서 자동차 뒤에 폭탄 싣고 다니던 거 잡아넣었던 거 지금 생각해도 섬뜩한데 그거 불과 몇 년 전이야 잡았으니 망정이지 놔뒀으면 큰일 치렀겠지 다 잊어버렸지 이래서 미연에 방지하는 거 리거 국가의 큰 책임이자 의무야 테러방지법 없었으면 못 잡았다 IS ,2
38,탈레반이던 탈레반이 아니던 다 이슬람이라서 똑같은 사고와 가치관을 가진 자들이다 절대 우리 국민들과 어울려서 살기 힘든 종족들이다 ,12
39,자기 나라를 버리고 도망친 사람을 왜 받아 다시 돌려보내라 ,6
40,탈레반들이나 환영하겠지 지금 탈레반들이랑 같이 살아가는 것도 힘든데 저 거지 같은 것들이 나라 버리고 다른 나라 와서 또 탈레반처럼 행동할 거 생각하니 소름,2
41,이 종북좌빨주사파 정권은 국제적 호구다 특히 중국과 북한에게 ,3
42,다른 나라는 몰라도 이슬람 문화권은 빈대,1
43,근데 저 사람들이 극단적 이슬람 아니잖아 일단 저기 이슬람 들이라면 탈레반에 들어가 활동했겠지 탈레반에 반대해서 빠져나오는 사람들인데 ,1
44,가정교육 잘 받은 중권이 하고 정의당 떨거지들이 맡아라 아예 너희들이 아프간으로 가던가,3
45,이슬람 종교는 좀 그래 ,1
46,사람들이 모르는 게 하나 있는데 중앙아시아 유럽 중국에 공급되는 마약 생산 최대 수출국이 어딘지 아는지 아프가니스탄임 탈레반도 마약이 관여됐지만 정부군이 더 큰 생산을 해왔는데 탈출한 사람들 중에 마약 관련자가 있다면 한국은 새로운 시장 개척지가 될 수도 있다 난민이라고 아무 나라나 받아선 안되는 이유지 ,7
47,난민들을 정우성 집으로 ,3
48,타 종교가 많으면 국론 분열 후손들을 위해서 난민은 받지 말고 다른 방법으로 도와줍시다,1
49,진중권씨 집 빌려 준다고 될 일입니까 가정교육을 어찌 받았길래 네 멋대로 했을 때 그 이웃들이 그로 인해 피해 받을 수 있다는 걸 안 배웠습니까 네 집 빌려준다고 될 일이 아닙니다 이슬람교 사람들이 들어와 저지를 범죄가 문제인 거죠 뇌 속에 가락국수 타령할 시간에 니 내 속을 생각하세요 하루살이입니까 ,5
50,찬성하는 사람들 집으로 난민 수용하면 될 듯,3
51,6 70년대 생각해야지 해외 원조 물뿜으로살앗지 그걸 생각해야지 양심에 털 났나,1
52,어려운 나라는 도울 수 있다 하지만 난민은 반대다 많은 사회문제를 야기한다 ,6
53,난민 불쌍하고 인류애 뭐 다 알겠는데 이슬람 애들은 너무 싫어 ,2
54,미치지 않고 서야,0
55,무기 지원해주고 돌려보네 야,1
56,참 좁쌀처럼 속 좁은 나라의 국민들이다 세계를 무대로 수출 하나로 먹고사는 나라가,1
57,먼 개소리야 ,1
58,우리도 저들처럼 어려운 시절 있었다 반대하는 당신들 이 나라를 위해 뭐 했는데,2
59,안 섞이니 문제지 ,0
60,난민을 우리와 의논도 없이 미국 마음대로 들이니 마니 하나 ,4
61,이슬람 테러 보면 딱히 반기고 싶지는 않다 그리고 만약 한국 난민 되면 자국민들한테 갈 복지가 쟤네한테 가는 거 생각하면 사람들은 더 반기지 않을 것이다,0
62,정우성 님 집 넓잖아요 몇 명이나마 받아주세요,0
63,양놈들 몰아내자,1
64,천조국 명령이니 따르다 긴 보다 수용하는 편이 제 생각에는 러시아에 쿠릴열도 빌려서 그쪽 애다 수용할 눈 건 지키는 건 한국군이 지키고 일본 열받으려나,0
65,세계 미군 기지로 난민을 배치하면 나중에 미군 기지마다 있는 난민 중에서 탈레반 집단한테 명을 받아 미군 기지에 테러 일으키면 어쩌려고 그들을 믿으면 안 됩니다 트로이 목마를 기억하세요 ,5
66,저 사람들이 다 무슬림일 텐데 저 중에서 나중에 테러리스트가 안 생기리라는 보장이 있나 뭐 하러 문제의 씨앗을 키우려 하나 ,11
67,인권 변호사는 인권 변호사만 해야지 대통령 되면 안 되는구나,2
68,댓글에 난민 수용을 반대한다는 건 이해된다 하지만 이슬람이라서 안된다는 말은 하지 맙시다 이슬람이 문제가 아니라 강경 이슬람 극진 이슬람이 문제인 겁니다,1
69,반대 우리 아이들 다칠 가봐 난 무조건 반대 촛불시위라도 동참할 것이다 코로나보다 더 무섭다 난민들이,11
70,국민 의견은 안중에도 없이 수용하는 건 말이 안 됨 다른 건 몰라도 이슬람 난민 수용은 신중해야 함 진중권은 자기 집이라도 셰어하겠단 소리는 일어날 리 없다 생각하니 하는 소리겠지만 무인도에 혼자 사는 것도 아니고 지역 사회에 혼자 사는 것이 아니지 않나 사회구성원의 의견도 수렴하는 생각이란 걸 하길 ,2
71,오갈 데 없이 절박한 아프간 난민 한국 내 미군 기지 이송 환영합니다 이후 적절한 교육 후 한국 사회의 일꾼으로 키워 난민으로 받아 줘야 합니다 ,0
72,호구 문제가 아니라 이슬람은 들어오면 사원을 중심으로 인구를 증식 샤리아 존을 만들어 치외법권 무법 지대를 만든다 유럽을 봐라 이슬람 난민 받고 치안이 어떻게 됐나 터키 지금 아프간 난민 안 받겠다고 시위한다 불쌍하다고 동정으로 하무로 받으면 안 되는 게 이슬람 원리주의가 다스린 나라 난민들이다 우리가 차이나타운 왜 반대하는데 샤리아 존과 같이 구니까 반대하잖아 왜 미래의 문제를 만들려고 안달이지 국익 관점에서 보면 백해무익하다 가려가며 받아야지 이슬람과 차이나는 절대 받지 마라,10
73, 환대하는 사람들 집에 같이 10 년 거주한다면 나는 찬성합니다,3
74,이슬람이다 난민 들어와 봐야 득 될 것 없는 것들이다,1
75,뭐 인류애 차원에서 난민을 받는 거는 좋지만 쟤들도 대부분 종교가 이슬람인데 재들도 한국에 살게 되면 결국 나중에 각종 테러의 씨앗이 될 가능성이 많은 짓은 안 하는 게 맞지 ,5
76,열 명 정도 건장한 남자로 골라 중권이 집으로 보내라 그리고 집 밖으로 절대 못 나오게 경찰 24시간 배치해라,2
77,임시정부나 탈레반과 싸워서 다시 나라를 찾겠다는 집단이면 몰라도 나라 망하고 자기들만 살겠다고 도망친 것들을 왜 받음 ,4
78,미국이 도울 때 아무런 싸울 의지도 없었던 인간들 지나라 버리고 도망친 인간들은 우리 한국에 와서 걸림돌밖에 안됨,2
79,환대해야 누구냐 어떤 정치인이든 거른다 ,0
80,국가에서 출산을 못하니 중국인 들어오고 아프간 난민 들어오고 ,0
81,IT 강국 국민투표로 ,2
82,이 시점에 국진 인터뷰 미국 좋아하잖아 ,1
83,미국으로 다 되려 가라 이슬람은 한국에 절대로 안 된다,4
84,문재인 밀양 집으로,2
85,난민들 안타깝고 불쌍하다 생각됐지만 시국이 코로나 시국에 그리고 나라를 버리고 도망갈 게 아니라 나라를 지키기 위해 모든 국민이 똘똘 뭉쳐 싸워나가야 한다고 생각이 된다 그에 따른 희생도 따르겠지만 언제까지 그렇게 미국의 도움으로 미국에 기대어 살 순 없을 것이었고 20년 동안 미국이 방패막이되어 지킬 동안 자국민 군인들과 정부는 뭐 했나 싶다 미국이 떠나자마자 국방은 무너지고 도망가기 바쁘고 한순간에 텔레 바니에 점령당하는 모습 보면서 나라에 대한 애국심이란 건 없나 싶다 물론 여성들 아이들 너무 안타깝지만 투쟁 끝에 민주주의는 있다,7
86,아프간 난민은 절대 입국시키면 안된다 결사반대 결사반대 ,7
87,정우성 김제동 집에 한 명씩만 보내세요,10
88,솔직히 난민을 받는 건 인류애 차원에서 생각해 볼 문제이긴 하지만 쟤들은 종교가 이슬람이라서 쟤들도 각종 테러의 불씨가 안된다는 보장이 있나 ,6
89,이건 아닌 듯 미국이 실었으면 미국이 난민 해결해야지 나라 말아먹은 국민이 무작정 도망치는 거 전에 리비아인가처럼 문제시되는 거 아닌가,1
90,진중권 그놈 집에다가 두라고 해라 지 너무 돈으로 밥해 먹이고 ,2
91,이슬람 사람이라고 다 나쁜 사람은 아니겠지요 인간성의 차이는 종교가 아니라 개개인의 인품이겠지요,3
92,절대 반대,6
93,넓고 넓은 미국 땅 놔두고 한국 땅에 난민촌 만들려는 이유가 뭔가 이 나라 상황이 슬프다 ,6
94,미국 입장에선 미군 기지는 미국 영토라 생각해서 그렇게 판단하는 거야,0
95,미국이라면 사족을 못 쓰는 보수 늙다리 꼰대 개독들아 이래도 우리가 미국 식민지 아니더냐 ,0
96,미국의 이중성 팩트는 너네가 아프가니스탄처럼 되고 싶지 않으면 지네 말 잘 들어라 이네 자기들의 필요에 의해서 미군 주둔 시켜 놓고 방위비 증액에 온갖 갑질 다하고 있는데 멍청한 문재인 정부는 저들의 밥 노릇을 하고 있으니 이제는 영토를 내놓으라네 ,1
97,돈을 보태주세요 이념이 다른 사람들이 들어오면 불난 만 일어납니다 무서워서 살 수가 없을 거 같네요 신중히 잘 생각해주세요,1
98, 가정교육 운운하네 선 넘네,2
99,이슬람은 그냥 노 답이다 받아주면 안된다,15
