tweet,date,retweets_count,link
이번투표는 남자는 안뽑을것같다 심상정이 다른 정치인들보다 클 린하다 옳은사람이다 이런말은 못하겠는데 적어도 대놓고 쌉소리는 않하잖여 ,2021-11-22,0,https://twitter.com/ppappapdirara/status/1462777306494095360
심상정 안철수에 빠른 시일 내 조건 없이 만나자 양당체제 종식 기자회견서 안철수 김동연에 회동 제안 노회찬 없는 정의당 참 안쓰럽다 페미들만 잔뜩 모아 놓은 이상한 모습에 사욕 가득한 심상정 K0gVm7U8RX,2021-11-22,1,https://twitter.com/no1nmh/status/1462774650929250308
단지 소수자인 자신을 심상정이 언급해주는 것만으로 감동받아 지지해주는 분들이 있는가 하면 그저 겉멋에 들어 대학교 학술동아리를 졸업 후에도 꾸준히 하고 있는 머저리들도 있고 ,2021-11-22,1,https://twitter.com/escrimeurk/status/1462774243171581959
심상정이 안철수의 제안을 긍정적으로 수용한 듯한데 트위터 좌파 의 일부의 부정적 반응을 보니 역시,2021-11-22,1,https://twitter.com/escrimeurk/status/1462773564059242501
 histopian 몇몇 철 안든 어린 의원들 치기나 미성숙이라고 생각했는데 정의당 지도부의 총체적 난국이네요 그 내용을 다 들은 사람으로 심상정 후보 이해하는데 도움이 됐지 네가티브 아니라고 생각했는데 정의당엔 지도자가 없네요 ,2021-11-22,0,https://twitter.com/EunieShin/status/1462773475588857859
외부인사 추천 허경영 안철수 심상정,2021-11-22,0,https://twitter.com/zesters98/status/1462773138739982342
사회심리연구소 함께 의 김태형 소장 2010년도 심상정 후보측의 요청으로 심상정이라는 인물에 대한 책을 공저함 그때 심리분석도 함께 씀 다큰 어른은 크게 변하지 않는다 는 얘기와 함께 10년전 책내용 그대로 말한건데 왜 이제와서 딴지야 정의당은 니들도 이 책 안봤냐 qN9mE4Fquy,2021-11-22,0,https://twitter.com/INNERCABINET/status/1462772969483091973
이재명 윤석열이 저렇게 멍청하게 하는데도 말 잘하고 정책 잘내는 심상정이 밀린다는게 안 믿김,2021-11-22,0,https://twitter.com/oplbhpsh19/status/1462772727547191307
한국인분들 심상정 의원을 청와대로 보내 주길 바랍니다 ,2021-11-22,0,https://twitter.com/rev140801/status/1462772415503626248
투자의 입장에서 봐도 이재명은 오너만 해먹는 자본잠식 부실기업 윤석열은 대가리 빈 페이퍼컴퍼니 심상정은 평타정도 치는 강소기업인데 주식이고 코인이고 투자 광풍이 분 나라치고 망하지는 않을 강소기업에는 절대 투자를 안하려는 꼬라지가 너무나 한국 수준에 딱 맞는 상황인듯 ,2021-11-22,0,https://twitter.com/UncleBico/status/1462771010889945089
민주당 이명박과 남자 박근혜가 대선후보라는 초유의 사태에서 둘 다 최악의 선택지임에도 굳이 심상정은 고려조차 안한다는거 이성적으로 생각할 때 이재명과 윤석열은 진짜 좆되는 선택이지만 심상정은 최소한 최악은 피할 수 있는데도 선택을 안함 그게 한국 국민 수준을 보여주는 방증임 ,2021-11-22,2,https://twitter.com/UncleBico/status/1462769991699210244
 histopian 심상정아줌 치매,2021-11-22,0,https://twitter.com/prajna0952/status/1462768692962357248
이런 절호의 기회조차도 안철수 따위와 연대를 한다며 똥볼을 차고있는 정의당에 한심한 애도를 표한다 목마르다고 바닷물을 마시는 미련함 sangjungsim Kr_Justice,2021-11-22,0,https://twitter.com/UncleBico/status/1462768206913826824
정의당은 지들 밥그릇을 걷어차는구나 심상정이 이제 페미당으로 만들어서 국힘당에 갖다바치냐 노회찬 살아계셨음 어쩔뻔 했니,2021-11-22,1,https://twitter.com/florist7110/status/1462767873512787970
과거 전두환이 정의사회 구현이라는 표어를 사용했는데 심상정의 정의당이 전두환의 정의사회를 닮았다,2021-11-22,0,https://twitter.com/MiamiMom00700/status/1462767689806585860
심상정 안철수에 빠른 시일 내 조건 없이 만나자 민주당에 기생하며 다른 군소정당 죽이는데 앞장서더니 이제 와서 hx806tYOja,2021-11-22,0,https://twitter.com/pigpig3000/status/1462765467714846722
심상정은 아무말 대진치 해도 책임질 일이 없으께 얼마나 좋냐 암껏 시 부러도 되고 w1dgHMxAj3,2021-11-22,0,https://twitter.com/jangdol22/status/1462765370226266118
아니 진짜 여자들 직장인들만 심상정 찍어도 심상정 될 것 같은데 빨강파랑이 둘 다 최악인데 마음에 안 들지언정 차악인 사람을 뽑는 게 낫지 않겠냐고,2021-11-22,0,https://twitter.com/cillandco/status/1462764533940772865
성심당축제도햇겟다 심상정 가보자고,2021-11-22,0,https://twitter.com/rubyruby1230/status/1462763684393275392
어제 MBC 스트레이트 지난주랑 같은 2 1 이고 이번주는 걸그룹 오디션 프로 땜에 결방하고 다음주에 한댄다 폐지각인데 그리고 피디수첩 내일은 위드코로나 2편이고 100분토론은 심상정 특집이고 패널은 심상정 장하나 성한용 김종혁이란다 노잼 될듯 ,2021-11-22,0,https://twitter.com/hjlv2378/status/1462763014008958976
 jinnious77 histopian 노회찬은 심상정이아니까요 어쩌면 노회찬은 정의당의 막가파에 걸림돌이었을까 ,2021-11-22,1,https://twitter.com/florist7110/status/1462762623733153792
 mediatodaynews 심상정은 왜 윤석열에게 러브콜을 했는가 이런거 주제로 하는데 배진교가 나올리 있나 심상정 흑화 그것이 알고 싶다 배진교는 빼엑 ,2021-11-22,0,https://twitter.com/waka096/status/1462762389657436162
 histopian 심상정 심리분석을 문제삼았나보네요 분석이 정확해서 찔렸나보네 욕구를 숨기던 사람이 속마음 틀키면 이럴수 있겠다 싶네요 ,2021-11-22,4,https://twitter.com/Joy31267707/status/1462761759157063686
심상정 나왔어봐 대본보다 더 잘했을듯 ,2021-11-22,0,https://twitter.com/Yooksip5/status/1462758471166685190
안철수와 심상정이 친구도 아니고 심지어 정치성도 판이하게 다른데 다른 편끼리 가끔은 협력했다가 떨어지는 건 기본적인게 아닌가요 ,2021-11-22,0,https://twitter.com/sadam_9doc/status/1462758352887316485
아니 징짜 다뵈 심상정 인물 비평땜에 그런거야 우와 밴뎅이 소갈딱지네 푸하하하하,2021-11-22,3,https://twitter.com/lla_bbas/status/1462758304174596097
 bkfire1004 빗나간 종부세 전망 대상자 100만 명 육박에도 여전히 일부만 해당 I3vTOByL2X 국민을 속이는 데만 도가튼 문재인 사기꾼 정부 문재인은 진즉에 탄핵을 당했어야 moonriver365 TheBlueHouseKR TheMinjoo_Kr nylee21 Kr_Justice saenuridang sangjungsim cheolsoo0919,2021-11-22,0,https://twitter.com/bluesky80808/status/1462756620170149899
음 윤석열이 될 거 같아 음 그냥 원래 트위터 여론이 남한 전체의 여론은 아니었잖아 그냥 음 윤석열이 될 거 같아 안되었으면 좋겠다 심상정씨가 되면 좋겠다 ,2021-11-22,0,https://twitter.com/ckhj020/status/1462756616386715652
 sangjungsim 문재인정부 시작할 때 새누리는 역사속으로 사라지고 민주당과 정의당 두 정당체제로 갈 거라고 하는 사람 정말 많았는데 정의당이 경선을 날로 해먹으면서 정의당은 아웃 오브 안중되버림 좀 잘 하던가 ,2021-11-22,0,https://twitter.com/PervVerb/status/1462756553228886020
꿈은 꾸는게 당연하지요 그리고 꿈을 나눠줘야하는데 노회찬 사후 정의당의 색깔이 너무 많이 퇴색되었다 영상 심상정이 또 다시 대통령에 도전하는 이유 출처 시사IN 네이버 뉴스 metvFyEsO1,2021-11-22,0,https://twitter.com/sandlii/status/1462755653701627906
뭘 고민해 심상정 있잖아,2021-11-22,0,https://twitter.com/opurelove_sa/status/1462755456137326593
와아 쉴드칠껄 쳐라 심상정에 표 분산 막겠다고 스토커처럼 하는 것도 웃기지만 비판 자체가 딸 어쩌고 완전 코미디 이재명이 뭐라고 다들 왜 이러지,2021-11-22,0,https://twitter.com/kkk79936323/status/1462755176595410947
시발 진짜 비참한 포인트는 저런 새끼가 정말 대통령이 될지도 모른다는 거지 심상정 안철수는 가능성이라도 없는데 저새끼는 세상에 시발 ,2021-11-22,16,https://twitter.com/Capitalst_Vodka/status/1462755072719261696
근데 이건맞지 심상정가자니까,2021-11-22,0,https://twitter.com/happypersimmon_/status/1462754176631709696
