tweet,date,retweets_count,link
대신할 수 없는 미래 초격차 대통령 과학 의료 경영 부동산 외교안보 청년 미래 10년 내공이 축적된 준비된 후보 다시 한번 안철수 안철수 과학 기술 행보 지속 의료 혁신가 양성 과정 지원 출처 이데일리 네이버 뉴스 gCxN29JkEp,2021-11-20,0,https://twitter.com/uBSPjCVXdlANPXJ/status/1461809837709438979
 전국 지표조사 NBS lt 2021년 11월 3주 gt 대선후보 지지도 이재명 35 3 윤석열 36 3 안철수 5 심상정 4 외교 안보 능력 평가 이재명 36 윤석열 27 안철수 6 심상정 3 응답률 30 2 전화면접 가상번호 100 지지율 격차 6퍼 주목 gt 외교안보 능력 gt 충분히 이긴다 JoXUAp6am9,2021-11-18,5,https://twitter.com/jrmpark/status/1461228574120169476
 NBS 외교 안보 잘할 후보 이재명 36 윤석열 27 안철수 6 심상정 3 nanwggvThw,2021-11-18,1,https://twitter.com/_polinews/status/1461192822111965186
응답률 30 1 전국 지표조사 리포트 제54호 2021년 11월 3주 대선후보 지지도 윤석열 36 이재명 35 안철수 5 심상정 4 태도 유보 18 지난 조사 대비 윤석열과 이재명 후보의 격차 감소 7 p 1 p 외교 안보 분야 능력 평가 이재명 36 윤석열 27 안철수 6 o2ut2AzVs6 c8O40miFgw,2021-11-18,0,https://twitter.com/indiindigo/status/1461161843074818051
 NBS 외교 안보 분야 능력 평가 이재명 36 윤석열 27 안철수 6 심상정 3 등의 순 gZ8TjzMQno,2021-11-18,7,https://twitter.com/JungenWerther00/status/1461160795769696262
 Nonbinory123 안철수나 심상정도 당선 가능성이 크게 차이 나지는 않잖습니까 저도 진보당 경제 사회정책은 나쁘지 않아도 외교안보정책이 좀 사실 많이 마음에 안 들긴 하는 ,2021-11-14,0,https://twitter.com/Blue_Raon0411/status/1459712697566576643
군 미필자들 외교안보 맡길 수 없다 해군 대위 안철수 안철수 과학기술 시대 내수용 법조인 대통령 나라 못 지켜 RZEd13aaYY,2021-11-10,2,https://twitter.com/uBSPjCVXdlANPXJ/status/1458402982765096970
 안철수 진중권 대담집 5일 출간 박근혜 문재인 정권 실패 87년 체제 구조적 한계에서 기인 기득권 보수 진보 모두 가짜로 타락 정권교체 아닌 시대교체 lt lt 선을 넘다 gt gt는 대한민국의 정치 경제 사회복지 외교안보 분야를 총체적으로 진단 RtXuPqAea3 dvecI2PNyP,2021-11-02,10,https://twitter.com/LanLan_2021/status/1455359349954531328
 문화예술의전당 문재인 정부 외교안보 80년대 운동권식 신 중반 미 노선 미중 신냉전 이 심화되는 상황에서 적절한 전략적 대응 요구돼 안철수 대표 e6FrEA9KCk,2021-10-29,0,https://twitter.com/beckette0566/status/1453959105303834632
외교안보도 어느 후보들 보다 빠삭한 전문가 안철수 흉내 낼 수 없는 안보 전문가 킹철수 차기 대선 이벤트 남북정상회담 성사되나 YPgZRNkESj,2021-10-18,1,https://twitter.com/uBSPjCVXdlANPXJ/status/1449965852644700166
현 정부 외교안보 정책의 브레인인 문정인 세종연구소 이사장은 베이징 동계 올림픽은 호재라면서 대북제재 완화 종전선언 개성공단과 금강산 개별관광 재개 등 세 가지를 염두에 두고 미국과 협의 중임을 공개했습니다 안철수 20211016 ,2021-10-17,1,https://twitter.com/stella21c/status/1449508223753416704
 과학 의료 경제 교육 외교 안보 어디 하나 부족한 게 더럽게 없네 너무한 거 아니냐 왜 이리 빈틈이 없냐 멍청한 국민들이 국보급 인재를 몰라주다니 안철수 문재인 정부에 경고 北 비핵화 없이는 위선이며 무능 이투데이 RlqdyNg09U,2021-10-16,0,https://twitter.com/uBSPjCVXdlANPXJ/status/1449273216938045451
