tweet,date,retweets_count,link
 본 방송 한 송이 기자 윤석열이 집권하면 남북 관계는 대결밖에 남을 게 없고 한미관계는 굴종밖에 남을 것이 없다 이 외침에는 최근 윤석열이 쏟아낸 외교 안보 정책공약의 위험성을 간파한 남조선 민심의 분노가 그대로 담겨있다 민의를 거역한 자의 운명은 뻔하다 ,2021-11-21,2,https://twitter.com/tongilmeari/status/1462328742236151812
윤석열 36 이재명 35 초접전 1 p 격차 NBS 尹 3 p 하락 李 3 p 반등 국민의 힘 36 민주당 33 정권심판론도 감소세 반전 국민의 힘 선거대책 위원회에 올들 비 대거 귀환 조짐을 보이며 보수 지지층 실망케한 영향으로 보인다 외교안보정책 가장 잘 할 것 같은 후보로 이재명 36 윤석열 27였다 ONrQZ2kpni,2021-11-19,1,https://twitter.com/mable2018/status/1461361675009806342
 전국 지표조사 NBS lt 2021년 11월 3주 gt 대선후보 지지도 이재명 35 3 윤석열 36 3 안철수 5 심상정 4 외교 안보 능력 평가 이재명 36 윤석열 27 안철수 6 심상정 3 응답률 30 2 전화면접 가상번호 100 지지율 격차 6퍼 주목 gt 외교안보 능력 gt 충분히 이긴다 JoXUAp6am9,2021-11-18,5,https://twitter.com/jrmpark/status/1461228574120169476
윤석열 36 이재명 35 1주일 만에 격차 6 포인트 줄었다 출처 한국일보 네이버 뉴스 EfB1o5jAf1 여론조사기관 4곳 전국 지표조사 NBS 결과 다자대결 윤석열 36 이재명 35 지난주 7 포인트 차이에서 큰 폭 줄여 당선 전망서 윤석열 42 이재명 38 팽팽 외교 안보 정책 ,2021-11-18,0,https://twitter.com/kimyoool1868/status/1461212964204154881
 TheMinjoo_Kr 윤석열에게 외교안보를 맡기는 일은 없어야 한다,2021-11-18,0,https://twitter.com/boabaoao/status/1461209202651656196
 NBS 외교 안보 잘할 후보 이재명 36 윤석열 27 안철수 6 심상정 3 nanwggvThw,2021-11-18,1,https://twitter.com/_polinews/status/1461192822111965186
윤석열이 외교안보를 더 잘할 거 같다는 노년층 어르신들 뭔데 진짜 ,2021-11-18,0,https://twitter.com/aboutsomet/status/1461173567287029762
11월 3주 차 전국 지표 여론조사 당 지지도 국민의 힘 36민주당 35 태도 유보 20 대선후보 지지도 윤석열 36 이재명 35 외교안보 능력 평가 이재명 36 윤석열 27,2021-11-18,0,https://twitter.com/oJcsLghaJf5m9rv/status/1461172845329805314
응답률 30 1 전국 지표조사 리포트 제54호 2021년 11월 3주 대선후보 지지도 윤석열 36 이재명 35 안철수 5 심상정 4 태도 유보 18 지난 조사 대비 윤석열과 이재명 후보의 격차 감소 7 p 1 p 외교 안보 분야 능력 평가 이재명 36 윤석열 27 안철수 6 o2ut2AzVs6 c8O40miFgw,2021-11-18,0,https://twitter.com/indiindigo/status/1461161843074818051
 NBS 외교 안보 분야 능력 평가 이재명 36 윤석열 27 안철수 6 심상정 3 등의 순 gZ8TjzMQno,2021-11-18,7,https://twitter.com/JungenWerther00/status/1461160795769696262
