tweet,date,retweets_count,link
 TheMinjoo_Kr 모든 성과를 다 합쳐도 망국적 부동산 정책 실패에는 한참 못 미친다 부동산이 어떻게 한국을 망치는지 일본의 잃어버린 30년을 보라 코로나 국민의 협조와 희생이 90프로 차지한다 역풍 처맞기 전에 자랑질 멈춰라 ,2021-11-22,0,https://twitter.com/chichd1972/status/1462441172836794377
 기본 주택 가속 기본소득 감속 이재명 기본 시리즈 두 갈래 전략 실현 가능성이 없는 기본소득 말고 기본 주택을 쳐밀겠대 부동산 개발 비리 배임죄 이재명 정말 망하겠네 pWDPfKU9UV,2021-11-22,1,https://twitter.com/dareto_tell_oo/status/1462440177813827585
이재명 후보가 전 국민 재난지원금 철회한 거 잘 한거 같다 문재인 대통령이 반대한다는데 굳이 될 리도 없는 일 논란만 키우며 시간 낭비할 일 뭐 있나 부동산도 그렇고 능력의 한계인 건지 아니면 윤석열이 진짜로 문재인의 작품인 건지 내부 갈등 조장할 수 있는 언어 자제하자고 노력 중인데 화가 난다 ,2021-11-21,2,https://twitter.com/chichd1972/status/1462429635778691079
이재명이 무슨 실적을 쌓았다는 건지 도무지 모르겠다 최대 치적이라는 대장동은 부동산 비리의 온상이고 그 외에는 세금으로 돈 뿌린 것만 생각난다 YVhUgyw6pt,2021-11-21,3,https://twitter.com/4freekorea/status/1462422055127851015
 patriamea 국토부 기재부 장관이 부처를 완전히 장악해야 하나 비전문가이면서 부족한 카리스마로 부동산 관련 전문가인 그들을 움직이게 하지 못했다고 생각합니다 공직사회 개혁은 검찰개혁 언론개혁 사법개혁과 함께 중요 과제입니다 이재명 후보에게 기대를 거는 이유도 바로 그 이유입니다 ,2021-11-21,1,https://twitter.com/schumpeterian/status/1462418889564844035
이재명 부동산 불로소득은 공공이 모두 가지는 것이 맞아 다음 뉴스 POz5zMCw6h,2021-11-21,4,https://twitter.com/cr25ho/status/1462418720333385731
이게 말이가 구멍이 자기 딸도 부동산이 비싸서 청와대에 데리고 살면서 DOLDa1ZaHq,2021-11-21,0,https://twitter.com/copyleft21/status/1462396825697075205
 울산청년들과의 만남 부동산 정책에 대한 입장을 표명하는 청년과 노동이 존중받는 사회를 위한 정책을 묻는 청년의 질문에 이재명 후보는 즉각적인 답변을 했다 대장동 게이트를 비유로 들어 분위기는 더욱 훈훈해졌다 ocS4mDf7HA,2021-11-21,0,https://twitter.com/madam999/status/1462396595526197257
문재인 국민과 대화 안 본다 뻔하다 그냥 쇼다 부동산은 미안하다 미안하다고 해서 될 문제가 아닌데 2년 전에는 임기 초로 돌려놓겠다고 했잖아 네 믿고 안산 사람들 네 못 믿고 사서 세금만 폭탄 맞은 사람들 뭔데,2021-11-21,0,https://twitter.com/copyleft21/status/1462395301180760066
 yongddy dud61755 부동산만 그렇나 국가의 장기적 비전을 아무것도 설계하지 못한 인간 전두환은 과외금지라도 했고 노태우는 북방 외교 주택 2백만 호라도 했다 박근혜 이후 가장 무능한 지도자 홍남기한테도 윤석열한테도 자기가 임명해놓고 찍소리도 못하는 비겁자,2021-11-21,0,https://twitter.com/copyleft21/status/1462393956818247686
