tweet,date,retweets_count,link
윤 십 원 이일원 2016년 11월 이재명 월간조선 이재명 저 진짜 북한 안 좋아합니다 혐오한단 말이에요 종북은 치료받아야 할 정신병 이재명 북한이라는 존재는 친한 친구도 아니고 꼭 코로나 같아요 코로나 이재명 통일을 지향하기엔 이미 늦었다 외교 안보 헌법 당헌당규 무시,2021-11-21,16,https://twitter.com/pangliver/status/1462289737306181634
이재명이민생이야살피겠지그래서다들이재명이재명하는거고하지만여당후보가아닌대통령으로서는민생볼틈이어디있나외교안보통일이본디선진국만봐도대통령이맡을것으로되어가고있고총리가내치를담당하여이미우리헌법에서도관련인사까지제청하게되어있는데국가안보실이왜있겠나,2021-11-20,0,https://twitter.com/cho_ki_hyun_han/status/1461821753093550082
윤석열 36 이재명 35 초접전 1 p 격차 NBS 尹 3 p 하락 李 3 p 반등 국민의 힘 36 민주당 33 정권심판론도 감소세 반전 국민의 힘 선거대책 위원회에 올들 비 대거 귀환 조짐을 보이며 보수 지지층 실망케한 영향으로 보인다 외교안보정책 가장 잘 할 것 같은 후보로 이재명 36 윤석열 27였다 ONrQZ2kpni,2021-11-19,1,https://twitter.com/mable2018/status/1461361675009806342
청년들이 이재명 비토 이유 4가지 1 친중 반미 외교 안보관 2 돈을 미친 듯이 찍어서 푼다고 한다 1 2로 인해 이재명이 대통령 되면 나라 망한다 3 공산주의 프레임 4 페미니즘 해법 1 2 yn0Xm4Cn60 해법 3 4 J5hoo0t2qV ta4SVjpvgo,2021-11-18,0,https://twitter.com/HongTaewan1/status/1461303861973426182
 전국 지표조사 NBS lt 2021년 11월 3주 gt 대선후보 지지도 이재명 35 3 윤석열 36 3 안철수 5 심상정 4 외교 안보 능력 평가 이재명 36 윤석열 27 안철수 6 심상정 3 응답률 30 2 전화면접 가상번호 100 지지율 격차 6퍼 주목 gt 외교안보 능력 gt 충분히 이긴다 JoXUAp6am9,2021-11-18,5,https://twitter.com/jrmpark/status/1461228574120169476
윤석열 36 이재명 35 1주일 만에 격차 6 포인트 줄었다 출처 한국일보 네이버 뉴스 EfB1o5jAf1 여론조사기관 4곳 전국 지표조사 NBS 결과 다자대결 윤석열 36 이재명 35 지난주 7 포인트 차이에서 큰 폭 줄여 당선 전망서 윤석열 42 이재명 38 팽팽 외교 안보 정책 ,2021-11-18,0,https://twitter.com/kimyoool1868/status/1461212964204154881
 NBS 외교 안보 잘할 후보 이재명 36 윤석열 27 안철수 6 심상정 3 nanwggvThw,2021-11-18,1,https://twitter.com/_polinews/status/1461192822111965186
11월 3주 차 전국 지표 여론조사 당 지지도 국민의 힘 36민주당 35 태도 유보 20 대선후보 지지도 윤석열 36 이재명 35 외교안보 능력 평가 이재명 36 윤석열 27,2021-11-18,0,https://twitter.com/oJcsLghaJf5m9rv/status/1461172845329805314
응답률 30 1 전국 지표조사 리포트 제54호 2021년 11월 3주 대선후보 지지도 윤석열 36 이재명 35 안철수 5 심상정 4 태도 유보 18 지난 조사 대비 윤석열과 이재명 후보의 격차 감소 7 p 1 p 외교 안보 분야 능력 평가 이재명 36 윤석열 27 안철수 6 o2ut2AzVs6 c8O40miFgw,2021-11-18,0,https://twitter.com/indiindigo/status/1461161843074818051
 NBS 외교 안보 분야 능력 평가 이재명 36 윤석열 27 안철수 6 심상정 3 등의 순 gZ8TjzMQno,2021-11-18,7,https://twitter.com/JungenWerther00/status/1461160795769696262
김준형 이재명 굉장히 실용적인 사람 방미 가능성은 낮아 tMUq5Au0Kb 지금 방미해 진보적 얘기해도 친미 행보해도 문제 얻을게 별로 없다 李 반미나 대척점 서는 것 안 할 것 文 정부 외교 안보정책 계승할 것은 계승 ,2021-11-18,4,https://twitter.com/sks4147/status/1461132859981238273
김준형 이재명 굉장히 실용적인 사람 방미 가능성은 낮아 다음 뉴스 5L3pNy98mo 이재명 더불어민주당 대통령 후보 캠프의 평화외교안보특별위원장으로 합류한 김준형 전 국립외교원장,2021-11-18,22,https://twitter.com/meritsun/status/1461123721108738049
 일본 우경화는 현 정부 책임 불붙은 외교 논쟁 ZuWeddicHp 이재명 윤석열 두 후보가 외교 관련 행보를 본격화하면서 관련 논쟁도 달아오르는 모습입니다 두 후보는 일본의 우경화 책임론과 북핵 해법 등 외교안보 문제에 대해서도 분명한 입장 차이를 드러냈습니다 ,2021-11-15,0,https://twitter.com/zerostar222/status/1460256459023740931
 caravanserail35 김현종 전 청와대 외교안보특별보좌관은 첨예한 미중 패권 경쟁 시대에 안목과 통찰력 단호함을 가진 대통령이 나와야 한다며 이재명 후보는 그런 역량이 있다 고 덧붙였다 이 사족이요 ,2021-11-15,0,https://twitter.com/jeunj0301/status/1460238812697694212
이재명 캠프 김현종 사우디에 날아와 여 소수 8만 톤 수입 가능 김현종 전 청와대 외교안보특별보좌관은 첨예한 미중 패권 경쟁 시대에 안목과 통찰력 단호함을 가진 대통령이 나와야 한다며 이재명 후보는 그런 역량이 있다 고 덧붙였다 E1hHmcy45v,2021-11-15,1,https://twitter.com/caravanserail35/status/1460234320291926019
 사상검증식 외교 안보관 공세에 이재명이 내놓은 소신 답변들 WnVSmbrbhx 이제는 남북이 정상적으로 동반성장해야 한다 ,2021-11-14,0,https://twitter.com/jomNA/status/1459668640903491584
이재명 윤석열 두 후보가 외교 관련 행보를 본격화하면서 관련 논쟁도 달아오르는 모습입니다 두 후보는 일본의 우경화 책임론과 북핵 해법 등 외교안보 문제에 대해서도 분명한 입장 차이를 드러냈습니다 fA4cXXwE8X,2021-11-13,6,https://twitter.com/mbcnews/status/1459484038788313088
민주당 이재명 국힘당 윤석열이 가진 국가 안보와 경제는 물론 시대 흐름에 대한 인식이 일반 국민들이 가진 외교안보와 경제에 대한 인식 보다 한참 떨어진 상황에 직면한 거 같다 그동안 쌓아 올린 국격과 외교안보에 대한 주도권을 한순간에 버리는 상황이 올 것 같다 어떻게든 후보 교체 햐야 한다,2021-11-13,32,https://twitter.com/true37/status/1459359193807278081
윤석열 외교안보 의식 생각만큼 처참하네 그렇다고 이재명이 낫다는 얘기 아니니까 그쪽 분들 신다 하지 마시고 ,2021-11-13,0,https://twitter.com/GUNBAMALBAM/status/1459354187204943872
 사상검증식 외교 안보관 공세에 이재명이 내놓은 소신 답변들 u7e1AQd5PN 이긴 전쟁보다 아무리 비싸고 더러워도 평화가 낫다 적대적 관계에 있을 때 싸워서 이기는 건 하지하 下之下 전략 상책은 싸울 필요가 없는 상태로 만드는 것 남북 관계는 이런 관점에서 접근돼야 ,2021-11-13,1,https://twitter.com/jangjo3016/status/1459277728637599746
이재명 선대위 국제통상 특보단장 김현종 전 청와대 외교안보특보가 lt 여 소수 문제 해결 gt 위해 사우디 업체와 긴급히 만난 사실을 공개했다 이재명 애쓰셨다 lFhllFrDtJ fLVeLUjUzJ,2021-11-13,7,https://twitter.com/kzaanfever/status/1459183085337997315
숱한 이유에서 이러니 이재명이 당선될 경우 기분 소득 등 경제도 경제지만 그 이상으로 외교안보 대병 쿠가 두렵노라 그간 말해온 거 아무튼 그 탓에 문포 어깨 위의 짐이 더욱 무거워졌다 저 짓거릴 미국이 어찌 받아들이느냐에 따라 당장 지금 한창 협상 잘 되고 있는 종전선언 추진에도 악재가,2021-11-13,5,https://twitter.com/Yangwenli3549/status/1459177221608722435
민주당이 문재인 대통령님 외교 안보 경제 정책을 밀어주고 도와줘도 모지랄 판에 미친놈 이재명을 뿌려 대 개새끼들이,2021-11-12,10,https://twitter.com/dareto_tell_oo/status/1459173204627365889
이재명 후보 美 상원 의원 만나 한국이 일본에 합병된 건 미국 때문 GR8WUVc7gI YouTube 참 멍청한 이야기를 한 듯 조선이 대한 제국을 거치면서 일본에 합병된 이유는 당시 정치인들이 외교 안보에 무지하고 실패했기 때문이고 경제와 무역에서도 억압하고 막는 무능한 쇄국정책 등,2021-11-12,0,https://twitter.com/RightHand5/status/1459109330288988165
 이에 맞설 윤 후보 쪽은 항공모함처럼 커져 가는데 전단 戰團 내 군기는 허접하다 특히 많은 이들은 불알친구들과 배우자 등이 조성하는 병풍 효과를 우려한다 상징적인 사례가 최근 외교 안보기를 놀라게 한 A 씨의 이재명 캠프 합류다 BO2uhU6nN5,2021-11-12,0,https://twitter.com/lecarre1/status/1459036982256943105
미국과 중국 중 선택하라 실패한 대북 정책 이어갈 것이냐는 식의 질문이 이재명 후보에게 쏟아졌습니다 cvHGpNojNC 사상검증식 외교 안보관 공세에 이재명이 내놓은 소신 답변들 언론사 중견기자들의 질문 클래스,2021-11-12,0,https://twitter.com/gaeun0827/status/1458958820370124819
 histopian 그 나라 국민 수준에 맞는 지도자를 선택한다 내 수준의 차기 대통령은 누구인가 이재명 윤석열 차분히 생각해보자 경제 외교 안보 등 전 세계 국가 지도자들과 어깨를 나란히 하며 리더 하는 대통령의 자리에 누가 적합한지를 나는 촛불 하나 투표다 가 어둠을 밝히듯 세상에 빛과 소금이 되고 싶다,2021-11-12,1,https://twitter.com/9qJwLhEbSaoIhDw/status/1458952225204572167
여야 대선 후보의 행보도 알아봅니다 민주당 이재명 후보는 오늘부터 사흘간 부울경 지역을 방문하며 청년세대 표심 공략에 나섭니다 국민의 힘 윤석열 후보는 오늘 미 국무부 차관보를 만나는 등 외교안보 행보의 첫 발을 뗄 예정입니다 QY3ZageX61,2021-11-12,0,https://twitter.com/TVChosunNews/status/1458929598817660935
사우디 간 김현종 요소 확보 연간 8만 톤까지 이슈에 개 KE2n9wCPXT 더불어민주당 이재명 대선 후보 캠프의 국제통상 특보단장을 맡고 있는 김현종 전 대통령 외교안보특별보좌관이 사우디아라비아에서 당장 다음 달 초까지 요소 2천 톤을 확보했다고 밝혔다 ,2021-11-12,0,https://twitter.com/jayko2020/status/1458912147002441729
