,tweet
1,심상정 안철수에 빠른 시일 내 조건 없이 만나자 양당체제 종식 기자회견서 안철수 김동연에 회동 제안 노회찬 없는 정의당 참 안쓰럽다 페미들만 잔뜩 모아 놓은 이상한 모습에 사욕 가득한 심상정 K0gVm7U8RX
57,대한민국의 문제는 양당체제에서 온 것이 아니다 당이 여러개면 그럼 나라가 좋아지나 근데 어쩌나 지금도 당이 여러개인데 자기들이 못해서 지지율이 안나오는건데 그래서 한다는 짓거리가 안철수랑 손을 잡나 심상정이 원하는 건 본인이 인정받고 소속정당이 커지는 것 뿐 
60,심상정 후보가 양당체제 종식을 위한 제3지대 공조 를 위해 우선 안철수 후보와 조건 없이 만나자고 제안했다 심 후보는 안철수 김동연 후보뿐만 아니라 소수정당과 정치세력 시민사회 등을 만나 제3지대를 넓혀가겠다는 구상이다 6uaebxFtn5
77,미쳐도 곱게 미쳐야지 숙명이 양당체제 종식인데 노동자 기반으로 한 당은 왜 들어가서 허송세월 했는지 결국 안철수 심상정 양당체제 종식 나의 숙명 안철수에 만남 제안 JrmWj27I26
98,양당체제 종식을 위한 제3지대 공조를 시작하겠습니다 uwGXEoY0ZY
112,정의를 완전히 없애버린 일등공신 심상정 양당체제 종식 위한 제3지대 공조 오늘부터 시작 안철수 만나자 다음 뉴스 SdWTjaIXQs
116, newsvop 안타깝다 양당체제 종식을 안철수랑해서 무슨 의미가 있을까요 제발 정신좀 차리시죠 심상정의원님 
117,양당체제 종식을 왜 정의당 국민의당 양당이 함 기본소득당이랑 하면 안돼 안철수 조건없이 만나자 심상정 양당체제 종식 연대 제안 TF사진관 다음뉴스 GLC2knZpNV
135,부고외엔 무관심 정치인 아직 살아있었구나 몰랐네 제3지대 회동 나서는 심상정 안철수에 첫 만남 제안 양당체제 종식 연대하자 dsXYanfTrK
136,제3지대 회동 나서는 심상정 안철수에 첫 만남 제안 양당체제 종식 연대하자 newsvop ARNVfu7dL5
142,제 3지대 반문연대 그래 봐야 반문연대 2중대 안철수 조건없이 만나자 심상정 양당체제 종식 연대 제안 TF사진관 다음 뉴스 RM9mfI55LZ
157,심상정이나 신지예나 제3지대 같은 소리 못 놓는구나 양당체제 종식시키자 심상정 안철수에 만남 제안 MoneyS jc6gjij47D
161,안철수 그리고 허경영 만나세요 거기가 당신 수준이에요 안철수 조건없이 만나자 심상정 양당체제 종식 연대 제안 TF사진관 다음뉴스 CzB9xHLS2l
213,대선전환추진위 심상정 안철수 김동연 후보는 양당체제종식 공동선언하라 시사타임즈 탁경선 기자 대선전환추진위원회가 19일 국회의사당 앞에서 발족식 및 기자회견을 갖고 우리에겐 제3지대 후보들이 필요하다 며 심 SOqX2AzkeS
214, 시사타임즈 대선전환추진위 심상정 안철수 김동연 후보는 양당체제종식 공동선언하라 시사타임즈 탁경선 기자 대선전환추진위원회가 19일 국회의사당 앞에서 발족식 및 기자회견을 갖고 우리에겐 제3지대 후보들이 필요하다 며 심 SOqX2AzkeS
