,tweet
138,찐으로 잘하는 여성작가만 피해를 보는거다 폐미의 잘못된 인식으로 인해 아주 폐미는 정치인들한 농락당하기 딱 좋은 것도 아니고 지네편들어주이 얼쑤 좋다 이러네 심상정 절대 뽑음 안댐 진짜로
145,김재연 심상정 진보여성 단일화면 명분이라도 있지 그건 싫은거지 
152,제발 헛소리들 좀 하지 마세요 심상정이 노동개악 하기로 했나요 신 대표는 정책적으로 보면 최근에 안철수 후보가 냈었던 노동 정책이나 심상정 후보가 말씀하시는 환경 정책이나 여성 정책 이런 것들이 그렇게 많이 상이하지 않다 LK9TnuAzSv
160,심상정 페미니스트 대통령 내걸고 20대 여성 표심 잡는다 uQATkkrrAK
224,참고로 내 주위 4050 회사원 여성들은 둘다 꼴보기 싫다고 심상정 찍을까 고민하더라 sns안하는 회사원 여성들임 원래 각각 민주당 국힘당 등 다양하게 지지했는데 4050 여성들 눈에도 이것들의 여성혐오가 보통이 아니라 생각했겠지 
247,그 트윗 어디갔지 나도 심상정의 스탠스에 100 동의하거나 마음에 들어서 뽑는 게 아니라고 그런데 지금 남자후보들 꼴 이 명 윤 열 봐서라도 여성들 표를 무시하지 말라는 메세지를 보여주기 위해 심을 뽑아야 할 이유가 있다 이런내용이었는데
256,진짜 이 병신글 계속 끌올되는데 이거 욕하는 애들은 심상정도 찢어 죽이는거 맞지 물론 저 글 올리고 10억 후원금 받은 다음에 메갈코인 타고 오유 사이트 자체를 여성혐오하는 준 일베 사이트로 낙인 찍어버린 점도 다 까먹었겠지 ZwvW30jPL4
261,공약을 뭘 봤냐니 아무리 뜯어봐도 여성정책에서 이재명은 심상정 발끝도 못 따라온다 차별금지법 못해 이대남 눈치 보느라 여가부 명칭변경도 해야 해 이재명 지지할 수는 있는데 그 후보가 디씨 들락거리며 재명이형 이 되길 자처한다는 것도 인정해야지 무슨 페미니스트라도 되는 양 
270,심상정님이 대통령 됏음 좋겟다 20대 여성 표를 버리겟다 요거지 아주 그냥 남자들만 지지고 볶고 니들 알아서 살어 걍 다 니들끼리 살다가 죽어
298,2030 여성 지우는거 너무 괘씸하지않아 이준석 대표만든거에 이대남 역할큰거 알겠는데 여성들은 대선투표권 없는줄알겠다 그동안 진짜 민주당 찍어줬는데 이번에는 심상정찍는다 나중에 그표때문에 이재명 대통령 떨어졌다고 부랄발광하지말고 미리 잘해봐라
309,심상정을 찍어야 장혜영 의원이 대통령인 미래도 있을 거 아닙니까 제발 임의로 편생을 양당제 국가에서 살아오신 여성들은 민주당에서 눈을 돌려 심상정 후보를 선택합시다 한남충들하고 똑같이 정치공학적 수사학에 놀아나지 말고 여성으로서 나은 미래를 선택할 권리를 실질적으로 행사합시다 
310,이번대선 2030 여성으로서 정의당 뽑는다 심상정픽 가보자고
312,차라리 모든 여성국민들이 심상정 몰아서 트럼프들 경각심 주는게 나을지도
315,여성신문이 국힘 기관지라 계획대로 되구 있구나 윤 당선 미리 축하해야하나 선택은 자유지만 팩트로는 폐지는 국힘의 당론이고 이재명과 심상정은 이름을 성평등으로 바꾸자함 폐지 아님 실제 이재명 윤석렬 여성 정책은 아래같은데 윤석렬되면 성폭행 당해도 확실한 증거 없으면 감옥행 확정 MLU2dPsm8Y
322,박원순 때 여성계 기울어진 운동장 너무 심각 심상정 제대로 된 여성공약도 없는 정체성 정치에나 낚이고 진짜 필요한 공약 민주당 여성의원이 힘들게 만들어 올리면 반응 안 하고 
330,딱히 심상정의 당이 뭘 잘할거라는 기대는 엄청나게없어요 근데 까놓고보면 민주당이랑 하는짓이 고만고만할거란 정도 이쪽으로 바뀌어도 세상은 무너지지않고 오히려 여성이슈나 노동이슈에 대해서 걍 무시하고 부동산이나 해쳐먹자고 이런 태도는 안나오겠거니 하는 부분 
332,심상정후보도 마찬가지고 100 만족하는 후보는 이세상에 없음 그럴거면 본인이 대선에 나가야 하는거고 심후보 존재자체만으로도 굉장한 도움이 되는데 난 독일총리처럼 여자도 계속 탑의 자리에 있을수 있는거 그런거 보고 싶다 그래서 여성정치인이 투표에 후보로 나오면 무조건 지지함
