,tweet
1,심상정 안철수에 빠른 시일 내 조건 없이 만나자 양당체제 종식 기자회견서 안철수 김동연에 회동 제안 노회찬 없는 정의당 참 안쓰럽다 페미들만 잔뜩 모아 놓은 이상한 모습에 사욕 가득한 심상정 K0gVm7U8RX
4, histopian 몇몇 철 안든 어린 의원들 치기나 미성숙이라고 생각했는데 정의당 지도부의 총체적 난국이네요 그 내용을 다 들은 사람으로 심상정 후보 이해하는데 도움이 됐지 네가티브 아니라고 생각했는데 정의당엔 지도자가 없네요 
6,사회심리연구소 함께 의 김태형 소장 2010년도 심상정 후보측의 요청으로 심상정이라는 인물에 대한 책을 공저함 그때 심리분석도 함께 씀 다큰 어른은 크게 변하지 않는다 는 얘기와 함께 10년전 책내용 그대로 말한건데 왜 이제와서 딴지야 정의당은 니들도 이 책 안봤냐 qN9mE4Fquy
12,이런 절호의 기회조차도 안철수 따위와 연대를 한다며 똥볼을 차고있는 정의당에 한심한 애도를 표한다 목마르다고 바닷물을 마시는 미련함 sangjungsim Kr_Justice
13,정의당은 지들 밥그릇을 걷어차는구나 심상정이 이제 페미당으로 만들어서 국힘당에 갖다바치냐 노회찬 살아계셨음 어쩔뻔 했니
14,과거 전두환이 정의사회 구현이라는 표어를 사용했는데 심상정의 정의당이 전두환의 정의사회를 닮았다
20, jinnious77 histopian 노회찬은 심상정이아니까요 어쩌면 노회찬은 정의당의 막가파에 걸림돌이었을까 
28, sangjungsim 문재인정부 시작할 때 새누리는 역사속으로 사라지고 민주당과 정의당 두 정당체제로 갈 거라고 하는 사람 정말 많았는데 정의당이 경선을 날로 해먹으면서 정의당은 아웃 오브 안중되버림 좀 잘 하던가 
29,꿈은 꾸는게 당연하지요 그리고 꿈을 나눠줘야하는데 노회찬 사후 정의당의 색깔이 너무 많이 퇴색되었다 영상 심상정이 또 다시 대통령에 도전하는 이유 출처 시사IN 네이버 뉴스 metvFyEsO1
46, sangjungsim 감각이 많이 떨어졌다 노회찬없는 정의당 저물어 간다 
56, BristolBrian 매경 심상정의당 장씨 최악의 조합
85,역시 심상정의당 김태형씨가 이미 책에 썼던 내용이라고 하던데 자기가 써달라고 부탁해놓고 책도 안읽었나봄 더 욕먹은 다른 후보들도 가만히 있는데 심상정의당만 난리네 mmICVekEJK
87,정의당 하는 짓이 그렇지 다스뵈이다는 지상파 방송 아니고 인터넷 방송 방송한 자료는 예전에 심상정이 해달라 해서 한 심리분석 후 낸 책이고 그 책에 자르고 안실린 내용 덧붙여 내보낸 인터넷 방송 일 뿐인 것을 정의당 배진교 명비어천가 김어준 방송 보이콧 XofmEJIbVy
92, sangjungsim 쪽수가 적은것은 간판만 정의당이지 백성들에게 정의로운 당으로 비쳐지지 않앗기 때문
93, 연예 심상정 정의당 대선후보 워맨스가 필요해 출연 oiULyQB8GN
94, 심상정 이재명 비판 사욕 탓 에 정의당 김어준 방송 보이콧 다음 뉴스 13lLmg7meC
109,심상정 정의당 대선후보 전격 출연 리얼한 며느리 워맨스 공개 jLggDSrMIG 출처 나인스타즈 네이버 포스트 심상정 며느리워맨스 워맨스 워맨스가필요해 대선후보 심상정예능 정의당
117,양당체제 종식을 왜 정의당 국민의당 양당이 함 기본소득당이랑 하면 안돼 안철수 조건없이 만나자 심상정 양당체제 종식 연대 제안 TF사진관 다음뉴스 GLC2knZpNV
118, 연예 정의당 대선후보 심상정 SBS 워맨스가 필요해 출연 12월 중 방송 Ljcdpqa5iK
121, Gc7aoFnOAZ 지랄났다 진짜 야 정의당은 이래도 심상정 대표님이 말하셨던 난민사태가 자기 당에서 안 남 독하다 독해 
150, sangjungsim 속 시원했던 분이 왜 그렇게 뜬구름만 잡고 답답해지셨을까요 역대급 비호감 정당 이래요 당이 왜 침체됐는지를 알아야지요 가장 큰 문제는 내부에 있어요 일례로 류 정 장 영 같은 철부지들 하는 꼴만 봐도 그래요 소꿉장난 놀이터로 바꾸실 모양 정의당은 아직 뼛 속 부터 치열해야 합니다 
175,시대를 관통하는 3명의 거장들 그리고 윤석열의 용인술은 예술처럼 느껴진다 국민과 국가를 위한 윤석열호의 무한질주가 궁금하다 윤석열 대통령 후보 국민의힘 이재명 민주당 안철수 국민의당 심상정 정의당 LToJrYjNXZ
176,시대를 관통하는 3명의 거장들 그리고 윤석열의 용인술은 예술처럼 느껴진다 국민과 국가를 위한 윤석열호의 무한질주가 궁금하다 윤석열 대통령 후보 국민의힘 이재명 민주당 안철수 국민의당 심상정 정의당 98ehgQvtu7
177,시대를 관통하는 3명의 거장들 그리고 윤석열의 용인술은 예술처럼 느껴진다 국민과 국가를 위한 윤석열호의 무한질주가 궁금하다 윤석열 대통령 후보 국민의힘 이재명 민주당 안철수 국민의당 심상정 정의당 racwoiFXWP
178,정의당 심상정후보가 드디어 미쳤구나 갈수록 아리송한 정치성향을 보이는 안철수후보를 껴안고 싶어하는 걸 보니 제3지대가 아니라 정의당의 정치성향과 당원들의 정치역량이 문제가 아닌지 
179,한국사회여론연구소 KSOI 이 후보 39 5 윤 후보 40 를 기록 이 후보는 7 1 포인트 상승하고 윤 후보가 5 6 포인트 하락하면서 지지율이 붙었다 심상정 정의당 후보는 4 5 안철수 국민의당 후보는 4 김동연 전 경제부총리는 1 1 였다 xaDoavWQZr
182, 채용 제20대 대통령 선거 선거대책위원회 채용 공지 정의당에서는 제20대 대통령선거에서 심상정 정부를 함께 만들어갈 인재를 찾고 있습니다 정의당에 애정을 갖고 계시는 분들의 많은 지원을 바랍니다 lt 링크 gt NtOaeuO38i
185,이 여자가 심상정 안철수 빠른 시일 내 조건 없이 만나자 심상정 정의당 안철수 김동연 제3지대 이경태 기자 tx9xNKttX2
186,심상정 정의당 대선후보가 안철수 후보에 조건 없는 만남을 제안했습니다 뜨겁게 환영합니다 심 후보는 오늘부터 제 3지대의 공조를 시작하겠다 며 안철수 김동연 후보는 출마 선언을 통해 기득권 양당 정치의 틀을 깨야 한다고 했는데 뜨겁게 환영한다 고 말했다 xc7EJGevZ1
191,심상정 이제 진짜 미쳐돌아가는 구나 안철수와 조건없이 만나 안찡이랑 잘 놀아봐라 정의당엔 일말의 기대도 없다 
193,심상정 안철수 빠른 시일 내 조건 없이 만나자 심상정 제3지대 김동연 정의당 안철수 qrbrLOtcUu 이경태 기자
201,심상정은 양당제를 비판하지만 양당제 자체 때문에 한국정치가 엉망이된 근거는 제시하지 못한다 양당제 체제하에서서도 우리 시민은 박근혜를 탄핵시켰고 고졸 대통령을 당선시켰다 안철수나 정의당이 결정적 대안으로 부상못하는데는 다 이유가 있는 것이다 이걸 깊이 깨달아야 한다 
202,셋째 2030세대와 함께하는 시대교체를 만들어주십시오 모든 대선 후보가 청년을 이야기하지만 정의당의 모든 비전과 정책은 그 자체로 청년들의 삶에 준거합니다 신노동법 주4일제 한국형모병제 성폭력 원아웃 등 빼앗긴 청년의 미래를 확실히 되찾아올 후보라는 점을 적극적으로 알려주십시오 
203,둘째 시민들이 체감할 수 있는 실질적인 성과를 만들어주십시오 특히 정의당의 심장에 녹색이 분명히 새겨져 있음을 시민들께 널리 알려야 합니다 정의당이 기후위기 극복을 위해 실천해가고 있지만 전국의 녹색시민들과 충분히 함께하지 못하고 있습니다 전당적인 행동을 요청드립니다 
204,첫째 6411 현장 속으로 선대위를 전면 배치해주십시오 시민의 삶 속에 답이 있습니다 현장이야말로 정의당이 살아있음을 증명하는 곳입니다 이번 주부터 투쟁현장 노동현장에 결합해주십시오 시민들의 삶 속에 정의당이 있고 시민들과 끈끈하게 손을 맞잡아야 정의당의 시간이 열릴 것입니다 
205,시민 속에서 정의당의 사명을 복원해내겠습니다 정의당 대선 후보는 심상정과 정의당 둘입니다 모두가 심상정이라는 마음으로 시민들 속에서 정의당의 사명을 복원해내주시기를 당부하며 선대위에 다음과 같이 요청드렸습니다 
206,지난 주말 심상찮은 선대위 워크숍을 가졌습니다 정의당은 지난 총선 9 63 로 창당 이래 최고 지지율을 얻었지만 당의 침체로 국민적 기대에 충분히 부응하지 못했습니다 다시 삶의 현장으로 달려가 시민들의 바람에 성실하게 응답하고 시대교체 열망을 결집해내야 한다는 말씀 드렸습니다 
216,정의당이요 심상정한테 넥슨이랑 박가분 어떻게 생각하냐고 물어보고 싶다
217,여자분들 페미니스트분들 차악을 선택하지 마시고 최선을 선택하세요 여자들의 표 무시하는 여야당은 필요 없습니다 주4일제에 약자를 위해 목소리내는 심상정 정의당 뽑읍시다 우리의 표도 존재한다는걸 보여줘야 할 때입니다 
220,정의당 심상정 보고 있니 
225,이어 정의당 심상정 후보 4 5 국민의당 안철수 후보 4 0 김동연 전 경제부총리 1 1 순이었다 
236,여당 제1야당 후보가 다 별로일 때 심상정이 딱 부상하면 좋을 텐데 5프로구나 정치 세력은 정말 안 변하는 걸까 정의당이 그만큼 민심을 못 얻은 걸까 
240,심상정 정의당 후보 4 5 안철수 국민의당 후보 4 0 52oXKzeNwM 오 심이 안을 이긴 설문조사가
269,박원순에게 붙어먹다보니 박원순 장례식때는 우왕좌왕 조문을 가네마네 정신나간 상태로 첩년처럼 지랄하던 정의당 지휘부가 왜 요즘 갑자기 시끄럽지요 오거돈이 옥바라지나 가세요 박원순처럼 조문으로 고민하기 전에 니네 미친 심상정년이 조문나댕기는거나 두들겨패서라도 말리지 그랬냐 
285,우월하지 못한자의 우월감은 우울감의 표현 열등감과 패배감까지 정의당의 전매특허가 되어서는 안됨 우울하면 심상정말고 허경영을 바라봐 
289,헐 트위터 여자애들 조사햇는데 이재명 lt 윤석열 실화임 하긴 민주당 정의당쪽 성향이면 이재명 안 찍고 심상정으로 가긴 하겠다
293,야 장혜영 전 남편을 토막살인 하는 여자는 뭔데 살인자를 두고 왜 남자여자 따지고 지랄이니 니들 때문에 메갈심상정의당은 차기 총선에서 사라질 것이라는 데에 10원 건다 500원도 사치여 니들에겐 3ck5QAFkFU
295, ubermenschhgsg 근데 생각해보면 심상정이도 나오는데 정의당이 돈이 많은 당도 아니고 
302,정의당은 심상정부터 내치지 못하면 이제 그나마도 설 자리 없지 구시대 적폐 어쩌고 저쩌고 하면서 그걸 타파하겠다고 대선후보 세운 인물이 심상정 그냥 전국적인 지지도 제일 높은 사람 뽑은 인기투표 수준이지 무슨 알지도 못하는 친환경 에너지 정책이라고 민주당2중대가 
307, 심상정이 상당한 정치활동을 했는데도 지지층이 형성되지도 않았다 고도 했다 정의당 대선후보 2번째인데 지지층이 형성되지도 않았다 는 건 인지부조화 상태 
310,이번대선 2030 여성으로서 정의당 뽑는다 심상정픽 가보자고
313,정의당 지지자들이 민주당이랑 민정당이랑 합당하라고 비아냥대는거처럼 심상정도 딱히 저 둘이랑 통합 못할만큼 차이가 있는것도 아닌데 뭐 
