,tweet
43, 현장영상 심상정 안철수 조건 없이 만나자 제3지대 공조 시동 JTBC News 7azvSeExu0 YouTube 덜나쁜사람을 뽑는 차악선거보다 더 나은 대안이 되지 않을까 싶지만 가능할는지 
47,심상정 안철수에게 만나자 제3지대 공조 제안 Baw5fVamQz 심상정은좌파인데 좌파하고 왜손잡아 안철수가 좌파당후보하고 손잡으면안되는거야
52,심상정 안철수 빠른 시일 내 조건 없이 만나자 이 윤에 쏠린 대선판 깨기 위한 제3지대 연쇄 회동 오마이뉴스 사주팔자 에 무슨 살 이 끼면 저러는 걸까 살다 첨 명리학에 관심 셀프사주를 보니 살 귀인 귀인 귀인이란 것도 있고 상당히 맞는 것 같아 깜놀 
53,이번에도 완주 할 생각이 없나보네 심상정 안철수 조건 없이 만나자 제3지대 공조 제안 Xh8qnGMrpg
54,심상정 전략과 전술을 뒤바꾸고 있네요 먼저 노동통일생태세력과의 연합에 기초하여 이재명 김동연 안철수 중 상대적 진보측과의 연대를 모색해야 하는데 아무 기준도 없이 권력욕만 남는 양당 타파 제3지대를 먼저 꺼내다니 Lsz9hvos9C
60,심상정 후보가 양당체제 종식을 위한 제3지대 공조 를 위해 우선 안철수 후보와 조건 없이 만나자고 제안했다 심 후보는 안철수 김동연 후보뿐만 아니라 소수정당과 정치세력 시민사회 등을 만나 제3지대를 넓혀가겠다는 구상이다 6uaebxFtn5
63,좋은 결과를 얻을 가능성은 5 미만으로 예상한다 그렇지만 시도할 가치는 있다고 본다 安에 손 내민 심상정 제3지대 공조 시작 세계일보 vNJXCWkgj8
98,양당체제 종식을 위한 제3지대 공조를 시작하겠습니다 uwGXEoY0ZY
112,정의를 완전히 없애버린 일등공신 심상정 양당체제 종식 위한 제3지대 공조 오늘부터 시작 안철수 만나자 다음 뉴스 SdWTjaIXQs
124, newsvop 안철수은 제3지대 심상정은 제4지대가 어울릴 듯
135,부고외엔 무관심 정치인 아직 살아있었구나 몰랐네 제3지대 회동 나서는 심상정 안철수에 첫 만남 제안 양당체제 종식 연대하자 dsXYanfTrK
136,제3지대 회동 나서는 심상정 안철수에 첫 만남 제안 양당체제 종식 연대하자 newsvop ARNVfu7dL5
137,심상정 안철수 조건 없이 만나자 제3지대 공조 시동 5EQUFwy0lm
144,심상정이나 신지예가 말하는 제3지대 통합이 과연 얼마나 진보적인가에 대해 나는 도통 이해를 할 수가 없다 차라리 해묵은 진보정당 대통합선언이 훨씬 변혁적이며 성공가능성이 높을 것이다 이제는 은퇴를 앞둔 심상정의 얕은 수나 새 시대의 정치를 이야기 하면서 방법론 적으로는 늙은
146,심상정 제3지대 공조 시작 安 조건없이 만나자 출처 동아일보 네이버 뉴스 S37F4GNvWC
157,심상정이나 신지예나 제3지대 같은 소리 못 놓는구나 양당체제 종식시키자 심상정 안철수에 만남 제안 MoneyS jc6gjij47D
165,심상정 안철수 조건 없이 만나자 제3지대 공조 시동 출처 JTBC 네이버 옴마나 거기까지 가겠다고 OAdMBhCfho
167,심상정 안철수 조건 없이 만나자 제3지대 공조 시동 B3UlH7ukll 한번 심상궁은 영원한 심상궁 만날 필요없다 
178,정의당 심상정후보가 드디어 미쳤구나 갈수록 아리송한 정치성향을 보이는 안철수후보를 껴안고 싶어하는 걸 보니 제3지대가 아니라 정의당의 정치성향과 당원들의 정치역량이 문제가 아닌지 
185,이 여자가 심상정 안철수 빠른 시일 내 조건 없이 만나자 심상정 정의당 안철수 김동연 제3지대 이경태 기자 tx9xNKttX2
193,심상정 안철수 빠른 시일 내 조건 없이 만나자 심상정 제3지대 김동연 정의당 안철수 qrbrLOtcUu 이경태 기자
210,심상정 안철수 조건 없이 만나자 제3지대 뭉치나 omwg2PWlV4
213,대선전환추진위 심상정 안철수 김동연 후보는 양당체제종식 공동선언하라 시사타임즈 탁경선 기자 대선전환추진위원회가 19일 국회의사당 앞에서 발족식 및 기자회견을 갖고 우리에겐 제3지대 후보들이 필요하다 며 심 SOqX2AzkeS
214, 시사타임즈 대선전환추진위 심상정 안철수 김동연 후보는 양당체제종식 공동선언하라 시사타임즈 탁경선 기자 대선전환추진위원회가 19일 국회의사당 앞에서 발족식 및 기자회견을 갖고 우리에겐 제3지대 후보들이 필요하다 며 심 SOqX2AzkeS
