,tweet
6, 선을 넘다_대한민국 혁신 논쟁 DMZ 북콘서트 DMZ는 Dream MZ 의 약자로 청년들의 꿈을 함께 공유하고 대한민국 미래를 함께 논의하는 2030청년들과의 소통장을 의미함 국민상자 국민의당 안철수 MZ XUB4MSsxa0
56,국민의당 안철수 선을 넘다_대한민국 혁신 논쟁 DMZ 북콘서트 끝까지 LIVE MBC 중계방송 2021년 11월 21일 wNweRksEeJ YouTube
70,압도적 자신감 cheolsoo0919 안철수 국민의당 대통령선거 여론조사 대선 드루킹 북콘서트 MZ 부산 국민상자 위드안 f7NxcVfB2n
107, 국민의당 11 23 화 일정 안철수 대통령 후보 08 00 MBN 개국27주년 보고대회 10 30 청년 공약4호 연금일원화로 청년의 미래를 담보해 내겠습니다 국회본청 225호 15 00 KBS뉴스 D Live 출연 16 00 토론동아리 대학생들과의 불꽃토크 lt 청년들이 생각하는 공적연금의 문제점은 gt 
141,안철수 후보를 초대했어야지 왜 안 불렀냐 차별하지 마라 국민의당_안철수 준비된미래_시대교체 과학기술대통령 안철수대통령
144,진보의 대모 심상정 후보께서 성소수자의 격리와 온갖 의제에서 보수적인 입장을 고집하시고 제보 조작 사건을 일으킨 국민의당의 안철수에게 손을 내미는군요 거대 양당 프레임에 빠지셔서 진보고 나발이고 이것저것 다 주워드시는 모습 보기 좋습니다 지금 좀 후달리긴 하죠 
145,국민의당 준비된 미래 시대교체 안철수 안철수의 청년 2차 공약 군복무를 청년 도약의 시간으로 바꾸겠습니다 9IR9juiprv
164,어쩜 이리 잘 정확히 표현 했을까 북한 선전매체 메아리는 22일 남측의 술꾼 이라는 필명으로 이재명 더불어민주당 대선후보를 푹 썩은 술 윤석열 국민의힘 대선후보를 덜 익은 술 안철수 국민의당 대선후보를 막 섞은 술 로 비유했다 세계일보 
175, 이재명 처음부터 냄새 나빠 윤석열도 썩은 내 진동 北매체의 인물평 국민의당 이태규 발언 차용한 듯 안철수는 막 섞은 술 로 변경 마실 술이 없다 진중권 동의 Z7r04IsHyy
186,양당체제 종식을 왜 정의당 국민의당 양당이 함 기본소득당이랑 하면 안돼 안철수 조건없이 만나자 심상정 양당체제 종식 연대 제안 TF사진관 다음뉴스 GLC2knZpNV
220,북한 대외선전매체 메아리 는 22일 남한의 술꾼 이라는 필명으로 게시한 술꾼의 투시 라는 글에서 이재명 더불어민주당 후보를 푹 썩은 술 윤석열 국민의힘 후보를 덜 익은 술 안철수 국민의당 후보를 막 섞은 술 에 빗대 맹비난했다 xnFZoehtvt 북한도 아는걸 민주당아 
226, lt 거산 김영삼 전 대통령을 추모하며 gt 국민의당 안철수 대선후보 페이스북글 전문 20211122 l6clMy8ctq NGvakUv5m9
239, TheMinjoo_Kr 안철수를 따라가서 민주당이 호남사람들을 홀대 할것이라고 주장하니 그말을 믿고 안철수 국민의당 소속 의원들이 많이 당선된것이 아닌가요 지금도 그때와 분위기가 같습니다 이것을 벗어나려면 전 더블어민주당 대표 이낙연과 그를 지지했던 특히 호남출신 의원들 당직자들을 이재명후보를
244, TheMinjoo_Kr 제 주변에 호남사람들은 전 더블어민주당대표가 깻끗하니 바꿔야한다고 말도안되는 소리를 많이합니다 국민의힘 좋은일시키려고 하니 기가막힘니다 안철수가 국민의당 창당방해서 전남북 광주 서울 호남사람들이 많이 사는지역에서 당선이된것아닌가요 그때도 공천에서 탈락할의원들이 안철수를
254, 안철수의 청년 2차 공약 안철수 청년 공약 준모병제 선진 스마트 자기계발 AI 과학 전역 등록금 취업 창업 국민의당 국민상자 위드안 InD6aAgNrD
261,시대를 관통하는 3명의 거장들 그리고 윤석열의 용인술은 예술처럼 느껴진다 국민과 국가를 위한 윤석열호의 무한질주가 궁금하다 윤석열 대통령 후보 국민의힘 이재명 민주당 안철수 국민의당 심상정 정의당 LToJrYjNXZ
262,시대를 관통하는 3명의 거장들 그리고 윤석열의 용인술은 예술처럼 느껴진다 국민과 국가를 위한 윤석열호의 무한질주가 궁금하다 윤석열 대통령 후보 국민의힘 이재명 민주당 안철수 국민의당 심상정 정의당 98ehgQvtu7
263,시대를 관통하는 3명의 거장들 그리고 윤석열의 용인술은 예술처럼 느껴진다 국민과 국가를 위한 윤석열호의 무한질주가 궁금하다 윤석열 대통령 후보 국민의힘 이재명 민주당 안철수 국민의당 심상정 정의당 racwoiFXWP
267, i7KMNI8XNi 북한 대외선전매체 메아리 는 22일 남한의 술꾼 이라는 필명으로 게시한 술꾼의 투시 라는 글에서 이재명 더불어민주당 후보를 푹 썩은 술 윤석열 국민의힘 후보를 덜 익은 술 안철수 국민의당 후보를 막 섞은 술 에 빗대 맹비난했다 
269,한국사회여론연구소 KSOI 이 후보 39 5 윤 후보 40 를 기록 이 후보는 7 1 포인트 상승하고 윤 후보가 5 6 포인트 하락하면서 지지율이 붙었다 심상정 정의당 후보는 4 5 안철수 국민의당 후보는 4 김동연 전 경제부총리는 1 1 였다 xaDoavWQZr
378,안철수의 국민의당 폴리버스는 재밌기도 하고 살짝 불안하기도 하네요 이렇게 궐리티가 높은 도구인데 우리는 아직 그 수준이 아닌 것 같은 저조차도 마이크 카메라도 없이 1997년 pc통신시절 구식 문자채팅으로 
405,앞으로 대선가도에 큰 변곡점이 이낙연계가 탈당하여 윤석열 패거리가 위장 창당하는 신당으로 따라가는 그 때일 것 저것들은 원래 경선 끝나고 나갈 놈들이 때를 기다리고 있을 뿐 지난 국민의당 안철수 데리고 나간 호남 동교동계 똘마니들 제버릇 개 못주지 그래서 원팀 헛소리 집어치워 
414,북한 선전매체 메아리는 22일 남측의 술꾼 이라는 필명으로 올라온 글에서 이재명 더불어민주당 대선후보를 푹 썩은 술 윤석열 국민의힘 대선후보를 덜 익은 술 안철수 국민의당 대선후보를 막 섞은 술 에 비유했다 썩은 술은 못 먹지 먹으면 다 죽어 
417, 안철수 lt 쌍 특검법안 촉구 및 중재안 제안 gt 고발 사주 관련 특검법 제정과 특별검사 추천은 민주당에 위임한다 대장동 게이트 관련 특검법 제정과 특별검사 추천은 국민의힘에 위임한다 해당 특검법안 평가는 국민의당과 정의당에 맡긴다 평가한 법안은 수정한다 hVeOh87K8D
422,북한 선전매체 메아리는 22일 남측의 술꾼 이라는 필명으로 올라온 글에서 이재명 더불어민주당 대선후보를 푹 썩은 술 윤석열 국민의힘 대선후보를 덜 익은 술 안철수 국민의당 대선후보를 막 섞은 술 에 비유했다 메아리는 먼저 이재명은 썩은 술 이란 표현에 대해 대장동 게이트 논란을
433,어 이수정 교수 합류한다고 오 우리 선거 이기겠구만 이전까지 이수정 s pick 여성의 당 외부자문 2020 나경원 서울시장 예비후보 캠프 2021 안철수 국민의당 서울시장후보 자문 2021 신지예 서울시장 후보 후원회 2021 
437,이어 정의당 심상정 후보 4 5 국민의당 안철수 후보 4 0 김동연 전 경제부총리 1 1 순이었다 
444,따뜻한 봄을 부르는 희망 안철수 qX9gtjpxzE 준비된미래 봄을부르는후보 미래 국민의당 희망 안철수 국민상자 YCAywimX0G
480,심상정 정의당 후보 4 5 안철수 국민의당 후보 4 0 52oXKzeNwM 오 심이 안을 이긴 설문조사가
488,점지사 윤부적 쌍특검 받아라 안철수 이재명 윤석열 동시특검 받으라 정의당 국민의당이 평가 pt0D7ewblQ
493, 문화예술의전당 문재인 정권은 세가지가 없습니다 안철수 국민의당 대표 IMcpzYN7Sl
494, 문화예술의전당 공무원 北피살 1년 동생 실종 상태서 종전선언 참 나쁜 대통령 헤럴드경제 문재인 정권은 세가지가 없습니다 안철수 국민의당 대표 eRqZ2QEQ80
499, 문화예술의전당 공무원 北피살 1년 동생 실종 상태서 종전선언 참 나쁜 대통령 헤럴드경제 문재인 정권은 세가지가 없습니다 안철수 국민의당 대표 hOZUgBr4pB
500, 문화예술의전당 대한민국 건국 이래 이 정도로 무능하고 한심한 정권은 없었습니다 안철수 국민의당 대표 vCTITUMp8H
538, stella21c ij4R1p1XjrzVa3i I Ahn소나무님 Arpeggio 님 진심님 재필님 산야초님 풀푸레님 백일홍님 김의경님등 제가 기억못하는 훌륭하신 모든분들께 불의에 굴하지 않는 쓰면 안 뱉는 일당백의 국민의당 분들께 감사드립니다 여러분들이 계셔서 안철수님이 대한민국 의 대권주자가 되셨습니다 우리의 기적은 이룰겁니다 W3zXDYAmOI
564,안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 출처 머니투데이 네이버 뉴스 r5ZUZvMP1P
583,지금도 늦지않아서 다시한번 고민하고 현명한 결정을 내리길 바래요 YouTube에서 안철수 정치를 그만 두려고 했다 국민의당 대선 독일 보기 BYPWNqqHZO
601, 풀영상 국민의당 안철수 DMZ 북콘서트 선을 넘다_대한민국 혁신 논쟁 21년 11월 21일 uSz9MOITpR 출처 YouTube
609,민중의 소리 국민의 한 사람으로 국민의당 안철수에게 묻겠습니다 이번에 정권 교체를 원 하는가 또한 본인으로 원 하는가 답해 줄수 있을까요
611,MBC 끝까지LIVE 국민의당 안철수 DMZ 북콘서트 선을 넘다 hVeAYnUzJq t3JhI8N27j
616, 풀영상 국민의당 안철수 DMZ 북콘서트 선을 넘다_대한민국 혁신 논쟁 21년 11월 21일 OUvpgtf1Fr YouTube
623,국민의당 안철수 선을 넘다_대한민국 혁신 논쟁 DMZ 북콘서트 끝까지 LIVE MBC 중계방송 2021년 11월 21일 k8cCNisf53 출처 YouTube
627, 국민의당 11 22 월 일정 안철수 대통령 후보 14 김영삼 대통령 서거 6주년 추모식 국립 서울 현충원 김영삼 대통령 묘역 동작구 271 18 20 00 유튜브 안철수 TV lt 안철수 소통 라이브 gt 50화 링크 추후 공유 SQJsLaOqDD
629,윤석열 선대위 김종인 김병준 김한길 인선 완료 gOq63JCgOn 민주당 대표를 했던 김한길 안철수의 국민의당으로 갖다가 이젠 윤석렬의 국민의힘으로 간다고 이런걸 철세의 전형이라고 하나 이인재가 웃겠다 
633,국민의당 안철수 대선후보가 이재명 윤석열 양당 대선 후보에 대해 상대당에게 특검법을 맡기고 해당 특검법이 합리적이고 공정한지는 국민의당과 정의당이 맡겠다며 중재안을 내놓았다 안철수 쌍특검 대장동 고발사주 FGFdD4qt04
