,tweet
42,김종인이 내부 막말 단속 이상의 월권을 행사하려든다면 윤석열 입장에서는 같이 안하는 게 맞겠지 차라리 안철수랑 단일화를 하는 게 더 이득일듯 
82,잘 하는 짓이다 이준석 팽시키고 권성동 장제원이 당을 개편 혹 국민의 당 안철수와 단일화 윤석열 김종인 총괄선대위원장 임명 보류 이상 기류냐 일시 연기냐 8mhav55vnf
91,KBS NEWS 안철수 후보에게 듣는다 후보 단일화에 대한 입장은 youtube com 안철수 안철수 제3지대 정책 공조 시작할 수 있다 KBS 2021 11 20 U7TouSsNlS
122,제3지대 단일화는 반대하지만 안철수후보가 제안하는 쌍특검은 환영합니다 lt TV조선 패널 gt 정의당과 단일화보다는 정책연대를 하자는 것입니다 1qevceTXtM
173,하나의 메시지가 나올 수 있는가 좌는 좌로 우는 우로 향해야 한다 적어도 좌는 우와는 분리되고 독립되려는 생각을 해야만 한다 좌파가 우익에 붙으려고 한다면 그것은 진보진영에 대한 저열한 배반이나 다름없다 그것을 부추기는 것이 옳은가 2012년 민주당이 왜 안철수와 단일화했음에도
268,때문에 그렇게 된다면 결국은 국가의 미래가 위험해 질 수 있기 때문에 바꾸려는 것이 가장 크고 대선과 관련해서 많은 방해를 받거나 꼭 필요한 안철수 후보와의 단일화 등에 절대적으로 장애물이 되기 때문에 합당을 통한 단일화로 당대표를 교체해야 한다는 것임 이건 반드시 필요한 것임 
283,현재 대선 판도에서 가장 중요한 안철수 후보와의 단일화가 사실상 불가능에 가까워지기 때문에 안철수 후보와의 합당을 통한 단일화로 이준석을 당대표 자리에서 내려오게하는 방식으로 단일화를 진행하는 것이 필요하다고 이야기 하는 것임 이게 이준석의 부정적인 영향을 제거하면서
342,심상정 안철수 조건 없이 만나자 공조 제안 단일화에는 선을 그으며 양당 체제 종식과 시대 교체를 위해 어디까지 함께 하고 어떤 노력을 할지 적극적으로 대화를 시작해보자는 의미라고 설명 BvPKxtXx5I
347, MVNMEujsdIPIu5T 안철수와 단일화를 예상한 건가요 두명이 보이네요 
397,안빠님들 적당이들 하세요 어자피 안철수 윤석열 단일화로 갑니다 나중에 어쩌실려고 
443,이준석의 방해를 막기 위해서는 반드시 합당을 통한 안철수 대표와의 단일화를 통해서 이준석이 선거 후에 다시 당을 장악하거나 당대표 직으로 복귀하지 않을 것이라는 것을 실무진들과 사람들에게 알게 해야함 그리고 빨리 여의도 연구원장을 교체해야함 
456,여기서 이준석 쫄따구다 한마디로 어른들 말하는데 네 네 하고는 얼버무리고 말것이다 안철수 김한길 택도없는 소리 적이다 지금 철수는 죽는한 있어도 단일화 없단다 AnD3VL6OOy
521,그사람들이 프로 근성이있어 기대해봐야지요 안철수 중심 단일화 정권교체 꿈
575,정치평론가들 나와서 떠드는 거 보면 진짜 아무말대잔치여 인물도 참 없다 정치텔링 후보 단일화 가능할까 이재명 승리 공식은 안철수 qlBYZlF552
