,tweet
130, 안철수 제20대대통령 준비된미래 시대교체 안철수대통령 안철수 감염병 대유행 대비하는 백신 주권국 만들겠습니다 준비된미래 시대교체 ZGYQWbZ7i0
141,안철수 후보를 초대했어야지 왜 안 불렀냐 차별하지 마라 국민의당_안철수 준비된미래_시대교체 과학기술대통령 안철수대통령
145,국민의당 준비된 미래 시대교체 안철수 안철수의 청년 2차 공약 군복무를 청년 도약의 시간으로 바꾸겠습니다 9IR9juiprv
169,정치 시대 교체와 정권교체의 차이 안철수에게의 시대교체의 열망은 기득권 저항이 따랐고 현재의 정권교체는 기득권의 대부분은 살아남고 그 이익배분자만 바뀌는것이다 시대 정치교체는 그만큼 힘들었다 국민들은 똑똑히 보고 판단해야 한다 과연 정권교체로만 자신들의 삶이 바뀔수 있는지를
196, cheerUupcho 정권교체 보다 바른정치 공정과 정의가 살아있어야 안철수 시대교체
454,안정적이자 주류의 자리인 의대 교수를 그만두고 벤처 안랩을 창업한 것은 사회의 부름이었다는 게 안철수의 선택은 늘 어떠했는지를 알 수 있죠 주류나 대세가 아니여도 공익 가치를 우선한 선택 그가 왜 3지대에 남아 시대교체와 기술패권 전쟁을 이야기하는지 곱씹어 봐야 합니다 
592,안철수 진중권 정책 대담 정권교체 아닌 시대교체 필요 2021년 11월 7일 유네의 웹툰 라이브 안철수 진중권 정책 대담 정권교체 아닌 시대교체 필요 YTN ESZZJAxcbQ
635,코로나 극복 진정한 시대교체 공정사회 구현 미래 국민 먹거리 창출의 최적임자 20대 대통령 안철수
639,이재명이 박스권에 갖히면서 안철수의 지지율이 이재명을 골든크로스해서 2강의 대결로 만들어야 윤과는 여론조사에서 밀려도 실제 투표에서는 안철수를 찍게 됩니다 정권교체 시대교체가 가능 기술패권 전쟁 중임을 강조해야 합니다 건강한 가족 대구 봉사 썩은 정치를 한방에 바꿀 기회 
640, VmA2QqVmHq4G0am sbwlffosem0930 이재명이 박스권에 갖히면서 안철수의 지지율이 이재명을 골든크로스해서 2강의 대결로 만들어야 윤과는 여론조사에서 밀려도 실제 투표에서는 안철수를 찍게 됩니다 정권교체 시대교체가 가능하기에 기술패권 전쟁 중임을 강조해야 합니다 건강한 가족 대구 봉사 썩은 정치를 한방에 바꿀 기회 
786, 신구적폐들 간판교체 해봤자 서민들은 변한게 없다 안철수가 시대교체 해야지 미래먹거리 한방에 해결된다 박터지게 좀 싸워라 송영길 尹 방치하면 검찰공화국 된다 대한민국이 불행해질 것 출처 아시아경제 네이버 뉴스 Y43XcXJtuk
808, 음주운전 초보운전 우리는 모범운전 AI 운전 안철수만 탈거다 꺼져라 닥치고 시대교체 이재명 선대위 쇄신 의지 윤석열 김한길 회동 출처 연합뉴스TV 네이버 뉴스 87fjs20ND9
