,tweet
6, 선을 넘다_대한민국 혁신 논쟁 DMZ 북콘서트 DMZ는 Dream MZ 의 약자로 청년들의 꿈을 함께 공유하고 대한민국 미래를 함께 논의하는 2030청년들과의 소통장을 의미함 국민상자 국민의당 안철수 MZ XUB4MSsxa0
68, 안철수 대통령후보 청년2호공약 연금개혁안이 내일 발표되나 보다 청년들의 미래의 부담을 덜며 공정하게 합리적인 개혁안과 G5경제강국이 만들수 있게 기회를 줘 청년들이 양질의 일자리로 연금재정도 안정을 시키며 노후 걱정없이 열심히 일하는 공존의 세상을 만듭시다 
107, 국민의당 11 23 화 일정 안철수 대통령 후보 08 00 MBN 개국27주년 보고대회 10 30 청년 공약4호 연금일원화로 청년의 미래를 담보해 내겠습니다 국회본청 225호 15 00 KBS뉴스 D Live 출연 16 00 토론동아리 대학생들과의 불꽃토크 lt 청년들이 생각하는 공적연금의 문제점은 gt 
115, uBSPjCVXdlANPXJ hibiscus0919 저러다 둘 다 떨어지고 안철수후보 당선되면 정말 재미있겠다 우리 젊은 청년들 이번 대선 드라마같은 재미있는 선거판 함 만들어 봅시다 안후보가 삼자대결에서 극적으로 승리 하는 걸로 
145,국민의당 준비된 미래 시대교체 안철수 안철수의 청년 2차 공약 군복무를 청년 도약의 시간으로 바꾸겠습니다 9IR9juiprv
165,사람을 뽑을 때 딱 하나만 본다 나는 틀릴 수도 있다 고 말하는 사람이다 그러면 다른 사항은 볼 필요도 없다 그렇게 말하는 사람은 자신감을 갖고 있고 다른 사람과 합의를 이뤄낼 수 있다 안철수 청년당
232, 안철수 대통령후보 청년2차공약 발표 사회진출 지원 적극 찬성 내친김에 꼭 당선되 고등학교 졸업후 군에 입대해 거기서 첨단기술 습득하고 그 기술관련 대학 입학하면 대학 등록금 전액 지원도 합시다 결혼 출산지원까지 일괄지원 시스템을 구축 합시다 I4BsGYbWQG
254, 안철수의 청년 2차 공약 안철수 청년 공약 준모병제 선진 스마트 자기계발 AI 과학 전역 등록금 취업 창업 국민의당 국민상자 위드안 InD6aAgNrD
336,지금 우리 청년과 자녀들은 어떤 비젼에서 양질의 일자리에 취업해 결혼하고 행복하게 살까요 미래의 아이들은요 1위 초격차첨단기술산업 만들어 세계경제5위국가 달성 안철수 6e8wUhieAE
467,20대 대한민국 대통령 으로 완전체 가족이 안철수_김미경_안설희 이 가족 빼고 있는가 CEO의사교수_의사글로벌변호사_수학화학박사세계청년인재상수상자 이런 가화만사성의 가족있나요 타경쟁후보 봐요 완전 엉망이잖아요 
497, 문화예술의전당 국민은 위선과 무능을 단죄하는 촛불을 들고 나설 것 맨 앞에는 벼락 거지가 된 이땅의 청년들이 설 것 안철수 Z0NMLRyVB4
505, 문화예술의전당 국민은 위선과 무능을 단죄하는 촛불을 들고 나설 것 맨 앞에는 벼락 거지가 된 이땅의 청년들이 설 것 안철수 NDHyJSYau2
555,돈 풀자 한분은 30조 또한분은 50조 기득권양당은 공약이 돈을 풀자 이빚은 청년세대로 넘어가고 그래서 안철수가 정답이다 g2pTDUNesF
582,청년실업문제 미세먼지 잡을 대권후보는 안철수 뿐이여 
658,16 00 선을 넘다_대한민국 혁신 논쟁 DMZ 북콘서트 부산대학로 파나카B DMZ는 Dream MZ 의 약자로 청년들의 꿈을 함께 공유하고 대한민국 미래를 함께 논의하는 2030청년들과의 소통장을 의미함 국민상자 국민의당 안철수 위드안 vq2i95zQiA
706,대한민국 대통령 군 최고 통수권자의 자격 안철수 대표의 청년공약 무게있음 TQSjc9EyNS
877, 청년의꿈 청문홍답 재밌네요 서버결국 폭발ᆢ 역시 홍준표는 한번믿는사람은 끝까지 가네요 안철수 이경규 ᆢ 2BkEfGkUxY BloNhwKZXO
