,tweet
86,장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식으로 건강보험료와 부동산문제를 말하는것은 너무 뻔뻔스럽고 소가 웃을 일이다
118,강성범 정치 발언 文지지율 하락 부동산 때문 그렇다고 대안이 윤석열이냐 다음 뉴스 4gYwJYAlBV
134, yoomyongsook shsh7600 장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식으로 건강보험료와 부동산문제를 말하는것은 너무 뻔뻔스럽고 소가 웃을 일이다
149,강성범 정치 발언 文지지율 하락 부동산 때문 그렇다고 대안이 윤석열이냐 다음뉴스 xN2MlRpy6v 그냥 개그나해라 조또 모르는게 깝치지말고 면상보면 지지하는 사람 안 뽑고 싶어져 
167, Jaemyung_Lee 장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식으로 건강보험료와 부동산문제를 말하는것은 너무 뻔뻔스럽고 소가 웃을 일이다
197,장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식으로 건강보험료와 부동산문제를 말하는것은 너무 뻔뻔스럽고 소가 웃을 일이다
511, 단독 윤석열 장모 손주 증여 땅 매입 뒤 공시지가 7배 올라 도로도 곧 확장 30NMZstjbK 부동산 요양병원 주식 돈 되는건 닥치는대로 해드신 분의 사위가 대통되면 으 끔찍하다
533,강성범 정치 발언 文지지율 하락 부동산 때문 그렇다고 대안이 윤석열이냐 다음 뉴스 p3g2PhsVlb
771,강성범 같은놈이 윤석열 대통되면 제일 먼저 충성맹세할놈임 그리고 그 부동산 문제는 이재명 대장동 게이트 때문에 폭발 한 것이다 이 양아치야 wzepWgGckE
825,강성범 정치 발언 文지지율 하락 부동산 때문 그렇다고 대안이 윤석열이냐 찢 묻어서 개그맨 때 보다 더 웃긴 강성범 니까짓게 뭔데 문프 지지율을 하락시키고 난리냐구 집권 마지막 해에 지지율 40 찍는 대통령 본 적 있냐구 볍쉬나 LfjjgZfdaq
930,단독 떴다 윤석열 장모 부동산 지분 증여 의혹 제기됐다 장모 핵심 혐의 제외한 검찰 논란 선거 관련 결정권 24bdSrq8or 출처 YouTube
962, 단독 윤석열 장모 손주 증여 땅 매입 뒤 공시지가 7배 올라 도로도 곧 확장 dga8fYRo7K 윤 캠프 건보공단 청구금액 상회 부동산 압류 최씨 손주 증여 부동산 근저당 없어 환수 용이
1054, 단독 손주 증여 윤석열 장모 땅 매입 뒤 공시지가 7배 올랐다 다음 뉴스 I9F3qlefnr 부동산 정책 이 할매가 하면 되겠네
1074,조선일보 폭탄론 에 김의겸 방상훈 종부세부터 취재 공개하라 5ZR17QJ2rK 김의겸 열린민주당 의원은 조선일보 방상훈 사장 일가와 윤석열 국민의힘 대선후보 및 처갓집의 종합부동산세부터 공개하라고 촉구
1220, 단독 손주 증여 윤석열 장모 땅 매입 뒤 공시지가 7배 올랐다 다음 뉴스 I9F3qlefnr 진짜 이 모녀의 부동산 기술은 짱인듯
1235, 단독 손주 증여 윤석열 장모 땅 매입 뒤 공시지가 7배 올랐다 ySATT7kNTg 도로도 곧 확장 땅값 추가 상승 가능성도 커 윤 캠프 건보공단 청구금액 상회 부동산 압류 최씨 손주 증여 부동산 근저당 없어 환수 용이
1353,윤씹원 장모 최은순 사기꾼 요양급여 국세 부정수급 부동산 압류 환수피해서 20억 부동산 명의 외손자에 증여 강제집행면탈죄 사해행위 불법 확인 추가 고소 처벌해야 한다 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 HM8j9yCQbh eXFpavWCHU
1453,오늘도 맨발 안진걸 급등 이재명 윤석열과 0 5 초접전 민주당 모두 매타버스 가 되어라 dnPakUVTZW 출처 YouTube 민주당선대위쇄신 지지율격차축소 매타버스운용제안 종합부동산세
1549,부동산정책을 통해서도 남조선인민들은 가진자들의 리익만을 대변하고 근로대중의 고통은 알지도 못하며 알려고도 하지 않는 윤석열과 국민의힘 의 너절한 반인민적정체를 다시금 똑똑히 깨닫고있다 kLLoP7j13P
1681, 손주 증여 윤석열 장모 땅 매입 뒤 공시지가 7배 올랐다 다음 뉴스 dEMUArjiHE 도로도 곧 확장 땅값 추가 상승 가능성도 커 윤 캠프 건보공단 청구금액 상회 부동산 압류 최씨 손주 증여 부동산 근저당 없어 환수 용이
1694, 단독 손주 증여 윤석열 장모 땅 매입 뒤 공시지가 7배 올랐다 도로도 곧 확장 땅값 추가 상승 가능성도 커 윤 캠프 건보공단 청구금액 상회 부동산 압류 최씨 손주 증여 부동산 근저당 없어 환수 용이 GMvYWNxMD3
1798,2분간 말이 안나온다 프롬프터가 아니라 어이가 없어서다 투기와 증여로 취득한 부동산도 모자라 종부세도 폭탄이라며 안 내겠다는 윤석열 함께 공기 나눠 마실 인간이 아니다 WyOr4cJ8F9
1828, 단독 손주 증여 윤석열 장모 땅 매입 뒤 공시지가 7배 올랐다 다음 뉴스 I9F3qlefnr 정말 부동산귀신들이다 
1996, 단독 손주 증여 윤석열 장모 땅 매입 뒤 공시지가 7배 올랐다 도로도 곧 확장 땅값 추가 상승 가능성도 커 윤 캠프 건보공단 청구금액 상회 부동산 압류 최씨 손주 증여 부동산 근저당 없어 환수 용이 rbW1Lyqs12
2321,현 민주당 위기를 자초한 문재인이 븅신 문형 부동산은 모든 정치의 알파요 오메가야 밥 쳐먹고 뭐했니 화상아 윤석열이 개색기를 엎어 키운 문재인이 삽자루 똘팍 
2537,집값이 폭등하고 주거비가 상승하면서 서민의 삶은 힘들어졌고 부동산 불로소득으로 국민의 분노도 매우 큽니다 종부세 강화 등으로 집값 안정의 계기를 마련해야 할 판에 오히려 그에 역행하려는 윤석열 후보자의 견해는 부동산공화국 과 자산불평등 을 더 공고히 할 수 있습니다 
2559,방금 지인 가족이 부동산땜에 이번에 윤석열로 돌아섰다는 이재명은 좋은데 민주당 싫어서 윤찍을거라는 애길 들었다 일단 카톡으로 만나자함 밥사주기로 하고 민주당 땜에 바빠 죽것고만 
2617,윤석열 대통령 후보의 장모가 올해 1월 20대 외손주 두 명에게 시가 20억원 안팎의 부동산 지분을 증여한 사실이 드러났습니다 LnwaFWnmTY
2667, 신문고 與 윤석열 장모 환수 피하려 외손주에 20억 부동산 증여했나 AA537lyVQq
2869,비리 종합셋트 처가 사기단 윤석열 생각든자의 행패가 가관 배신자 김한길 구 동교동계 적폐덩이들 부동산투기 사기꾼 확신 박덕흠 윤희숙 영입 반민족 왜견자식 정진석은 왜구 땅서 굴욕 외교하라 반민족 자식들 난동 7lwe5SJwHW 이 반민족 범법자들 지지 하시는분들은 제정신인지 
2883,비리 종합셋트 처가 사기단 윤석열 생각든자의 행패가 가관 배신자 김한길 구 동교동계 적폐덩이들 부동산투기 사기꾼 확신한 박덕흠 윤희숙 반민족 왜견 자식 정진석은 왜구 땅서 굴욕 외교하라 반민족 자식들의 난동 이 반민족 범법자들 지지 하시는분들은 제정신인지 7lwe5T1FW4
2979,이 와중에 20대에게 20억 증여라 청년들은 이 문제로 박탈감 얘기 안 하나 신문고뉴스 與 윤석열 장모 환수 피하려 외손주에 20억 부동산 증여했나 N9Ab6CxH3D
3011, sysidea Inkpluto 적으로 대하다니 나도 집값정상화시민행동 가입할까 생각했는데 당신같은 양아치 윤석열 지지자가 활동하는걸 보고 마음이 돌아섰지 부동산 못잡아서 문재인 까는것 까진 좋다 이거야 그런데 그래서 윤석열 찍는다 그건 아니지 IrQztJdGu4
3051,윤석열 대통령 후보의 장모가 올해 1월 20대 외손주 두 명에게 시가 20억원 안팎의 부동산 지분을 증여한 사실이 드러났습니다 요양급여비용 불법 수령에 대한 추징을 편법 증여를 통한 국가의 징세권 무력화로 대응한 것입니다 윤 후보와 일가는 더 이상 국민의 억장을 무너지게 하지 마십시오 nOs1ZEUqsW
3422,장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식으로 건강보험료와 부동산문제를 말하는것은 너무 뻔뻔스럽고 소가 웃을 일이다
3483, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 출처 한겨레 네이버 뉴스 GXS5CSrgjl 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 이런 거엔 박탈감 안 느끼는 20대 남성들
3503,종부세 98 국민은 해당없고 수천억부동산보유한 조중동포털사주와 국짐과 윤석열일가는 해당있는거네 HxrDBz5ANN
3532,참 가지가지 한다 하다하다 이제는 요따구 짓거리까지 했다니 이건 뭐 인간비리백화점임돠 한겨레 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 계속 5nXtoS87g0 Z6OpINQcRS
3577,윤석열 장모 나머지 재산이 20억은 넘고도 남을거 같은데 아무튼 손주한테 부동산 증여한거 이슈되면 나쁠건 없지
3609, Chosun 김의겸 열린민주당 의원은 22일 조선일보 방상훈 사장 일가와 윤석열 국민의힘 대선후보 및 처갓집의 종합부동산세부터 공개하라고 촉구함 김 의원은 종부세 내는 사람은 2 도 안 된다 며 그들의 아픔을 대변한 건가 그보다는 방상훈 사장의 한숨은 아닌가 라고 따져물었다 
3618,윤석열 장모가 건보공단에서 요양급여비용 환수 결정을 처음 통보받은 직후인 올해 1월 20대 외손주 두명에게 시가 20억원 안팎의 부동산 지분을 증여한 사실이 21일 확인됐다 이런 뉴스는 널리 알립시다 우리가 언론입니다 Jg40O98pWB
3630,단독 떴다 윤석열 장모 부동산 지분 증여 의혹 제기됐다 장모 핵심 혐의 제외한 검찰 논란 선거 관련 결정권 ulRG5qnz2d 출처 YouTube
3677,단독 떴다 윤석열 장모 부동산 지분 증여 의혹 제기됐다 장모 핵심 혐의 제외한 검찰 논란 선거 관련 결정권 167XH4pZTt 출처 YouTube 이런걸 사해 행위라고 하는건가 국고로 환수될 돈을 증여 한다면 사해 행위지 검찰이 당장 몰수보전 신청해야 하는거 아닌가 
3679,윤석열 떨어지고 이재명 올랐다 40 0 vs 39 5 초접전 윤서결을 앞으로 떨서질 일만ᆢ 이재명은 오를 일만 있다 민주당이여 과감하고 신속한 입법개혁 만이 대선 승리의 길이다 부동산 불로소득 환수법 검수완박 징벌적손해배상법 가짜뉴스 처벌법 등 신속 추진 twUuPg9j4P
3693,장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식으로 건강보험료와 부동산 문제를 해결하겠다고 말하는것은 소가 웃을 일이다
3739, 부동산 공약 실현불가능한 거짓말 이재명 윤석열 묶어 때린 김동연 1VaKK5LnLd
3743, 부동산 공약 실현불가능한 거짓말 이재명 윤석열 묶어 때린 김동연 아파트 공동주택 공급하는 데 8년 10년 걸려 1VaKK5LnLd 새로운물결 김동연 기회공화국 아래로부터의반란 기회가강물처럼흐르는나라 공무원개혁 국가균형발전 교육개혁 반드시교육개혁 끝까지간다
3744, 부동산 공약 실현불가능한 거짓말 이재명 윤석열 묶어 때린 김동연 아파트 공동주택 공급하는 데 8년 10년 걸려 무주택 1주택자 대출 및 세금 완화 다주택자 확실한 규제 1VaKK5LnLd 새로운물결 김동연 기회공화국 아래로부터의반란 공무원개혁 국가균형발전
3750,부동산 의혹과 요양급여 부정수급 등으로 혐의받는 장모두고 뭐라는 거냐 윤석열 부동산 정책 실패 文정부 국민은 건보료 폭탄 다음 뉴스 rl0H9gJj9i
3753, VLOE5dzQK1 국민의힘당 대통령후보 윤석열의 장모 최은순 외손자에게 20억상당의 부동산지분 불법증여 국민건강보험공단요양급여 불법수령3년징역선고 의정부지방법원 국민들뿔났다 야당대통령후보 치명적 상처 
3757, 부동산 공약 실현불가능한 거짓말 이재명 윤석열 묶어 때린 김동연 아파트 공동주택 공급하는 데 8년 10년 걸려 무주택 1주택자 대출 및 세금 완화 다주택자 확실한 규제 1VaKK5LnLd
3778,그래서 저는 부동산 값 폭등을 문제 삼는 분들이 왜 이명박근혜 정부에 대해서는 그렇게 평가가 관대한 것인지 묻고 싶어요 윤석열은 70만 부동산 부자들을 위해 당장 종부세부터 감면하려고 하잖아요 그것도 같이 비난하면 제가 이해가 갈텐데 XWZviEz79S Ib2ygchTH2
3798, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 u0sbE1blbh
3829, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 jVoL4NT2Ei
3886, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 다음 뉴스 00g9DwfD6I 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 
3904,청와대는 22일 종합부동산세가 급등해 부담이 과도하다는 비판에 대해 언론과 야당이 종부세 폭탄 이라고 말을 하니 불안심리가 있는 것 이라며 우리나라 국민 98 는 종부세에 해당이 없다 언론 윤석열씨 우리도 종부세 고지서 구경하고 싶다오 
3912,비리의 온상 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 nVqOsYhn9a
3913,조선일보 눈덩이 종부세 한겨레 이 빠진 호랑이 6r3CzYlPjo 종부세 폭탄론 반박한 한겨레 이 빠진 호랑이 文 국민과의 대화 부동산 안정세 국민의힘 대통령 어떤 세상 살고 있나 주술 윤석열 대형교회 옆자리 논란의 두인물 장제원 전희경
3937, patriamea 윤석열 처가는 완전 부동산 투기 집안이네 지금까지 피해 갈수 있었던 이유는 뭘까 아리송하다 
3964, patriamea 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 의료법 위반으로 국민건강보험공단에서 요양급여비용 환수 결정을 처음 통보받은 직후인 올해 1월 20대 외손주들에게 시가 20억원대의 부동산 지분을 증여 ujEGihEgQH
3974,윤석열 지시 의혹 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 JwUWCe0KE6
3994, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 출처 한겨레 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 bJJiw2Fsga
3997,윤석열 장모 최은순이 의료법위반으로 건보공단 요양급여비용 환수결정 통보받은 직후 20대 외손주 2명에 시가 20억원 부동산 증여했다 실제 건보공단 부동산압류 때 외손주 증여분은 빠졌다 사위 윤석열 패거리의 법률자문이라는 합리적 의심이다 이것이 윤석열의 선택적 법과 정의 의 민낯이다 
4025, 100분 대화 민감 현안 없어 文 부동산 가장 아쉬워 출처 TV조선 네이버 100분 동안 전파낭비 갑자기 웬 대화 이새끼들의 쑈는 끝을 모르네 빨라 꺼저줘 NGHAhHchVc
4026,장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식으로 건강보험료와 부동산 문제를 해결하겠다고 말하는것은 소가 웃을 일이다
4031,윤석열 후보 장모 최아무개씨가 지난 1월22일 20대 외손자 2명에게 20억원 규모의 대지 지분을 증여한 내용이 담긴 부동산 등기부등본 일부 N8QHzPMu2M
4046,조선일보 눈덩이 종부세 한겨레 이 빠진 호랑이 wJGtGtRbdE 文 국민과의 대화 부동산 안정세 국민의힘 대통령 어떤 세상 살고 있나 주술 윤석열 대형교회 옆자리 논란의 두인물 장제원 전희경 아들 교도소 처 구속 기소 할 것 같은 예감 동병상련 유유상종 
4054, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 o2GvqVntNX
4109, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 LsXgVc5II4 헐 이런 집안에서 대통령 어림반푼어치도 없다이 
4112, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 heIN0FPpmM 국민건강보험공단 건보공단 에서 요양급여비용 환수 결정을 처음 통보받은 직후인 올해 1월 20대 외손주 두명에게 시가 20억원 안팎의 부동산 지분을 증여한 사실이 21일 확인됐다
4142, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 mRlyVHn8ml
4149, XwqDMSs4nX 윤석열 국민의힘 대선 후보의 장모 최은순씨가 의료법 위반으로 국민건강보험공단에서 요양급여비용 환수 결정을 처음 통보받은 직후인 올해 1월 20대 외손주 두명에게 시가 20억원 안팎의 부동산 지분을 증여한 사실이 21일 확인됐다 이는 사해행위와 같은 부도덕한 행위 
4158, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 9mOArfxC6m 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 원문보기 iCZMpW6yv7
4172, newsgongjang 장모가 건강보험 23억 사기죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반해서 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 공정과 상식 건강보험료와 부동산 문제를 말하는것은 정말 너무나 파렴치하고 뻔뻔스럽다
4278, 단독 윤석열 장모 압류 환수 피하려 외손주에 20억 규모 양평땅 증여했나 다음뉴스 건보공단 요양급여 환수 통보 직후 증여 윤 환수액 넘는 부동산 이미 압류 WlOYE5Bnt8
4283, 단독 윤석열 장모 20억 규모 양평땅 압류 환수 피하려 외손주에 증여했나 rjm4nNXhcB 윤석열의 장모가 의료법 위반으로 국민건강보험공단에서 요양급여비용 환수 결정을 처음 통보받은 직후인 올해 1월 20대 외손주 두명에게 시가 20억원 안팎의 부동산 지분을 증여한 사실을 확인했다
4325,압류 환수 피해 24살과 26살 외손주에게 17억 25억 부동산 증여한 윤석열 장모 2030이 윤석열을 지지한다면 그들이 외치는 공정은 욕망의 다른 이름이다 lcqRMm1qN5
4346, 단독 윤석열 장모 20억 규모 양평땅 압류 환수 피하려 외손주에 증여했나 067HtoOCRt 장모 최씨 요양병원 개설 운영과 관련한 의료법 위반과 사기 혐의 징역 3년 선고 및 법정구속 32억4139만여원 추징 통보 통보 직후 외손주 두명에게 시가 20억원 안팎의 부동산 지분 증여
4399,윤석열 국민의힘 대선 후보의 장모 최아무개 74 씨가 의료법 위반으로 국민건강보험공단 건보공단 에서 요양급여비용 환수 결정을 처음 통보받은 직후인 올해 1월 20대 외손주 두명에게 시가 20억원 안팎의 부동산 지분을 증여한 사실이 21일 확인됐다 
4481,우리나라 문제가 뭐냐면 이재명윤석열 뿐만아니라 진보진영이 싹다 기득권화 돼있다는게 문제 그래서 국민 공감대와 괴리감이 생긴거 서민과 중산층 중심의 정치를 해야하는데 현재 정치권은 기득권 중심에서만 정치를 하고있는거 상위 12 이상 돈 챙겨줘야한다고 하고 부동산 소리만 하고 딱 기득권
4557,윤석열 부동산 정책 실패로 세금 폭탄 도미노 부과 체계 개편할 것 newspim bmpcwGupTJ
4593, Touchy_Mirror 장모가 건강보험 23억원 사기친 죄로 징역3년이 선고됐고 아산 땅투기로 132억 빼먹었고 농지법 위반하며 양평아파트 불법개발로 800억 챙겨먹었고 김건희는 주가조작으로 선량한 개미도 잡아먹었는데 윤석열이 건강보험과 부동산 문제를 해결하겠다고 말하는것은 정말 너무나 뻔뻔하고 파렴치하다
