,tweet
12, KSOI 윤석열 40 이재명 39 5 한주에 12 p 좁혀져 윤무식 지지하는 진짜 무식한 인간들 보면 수준에 맞는 정치인을 고른건가 하는 의문이 상위 1 7프로 종부세 걱정해주는 상또라이들 omR1BovFP3
98,與 윤석열 아크로비스타 종부세 110만원 재검토는 셀프 감세 qszPvXrm3b
439,진보당 김재연 이재명은 김빠진 사이다 윤석열은 종부세 폐지하면 본인부터 이득 B7mhzzWpjO
670,참여연대 16억 주택 소유자 종부세 20만원 수준 세금폭탄인가 SfTDlkVlx9 국민의힘 윤석열 후보에 공개질의서 발송 고령층 종부세 대상자도 연 소득 1억 넘어 
841,국토세로 확대 vs 종부세 완화 방향 다른 이재명 윤석열 출처 채널A 네이버 뉴스 7JFaH0JlVm
854,YouTube에서 11시 김광일 쇼 1인당 750만 원 확뛴 종부세 고지서 발송되는데 문정부 집값 상당히 안정 윤석열 문 정부는 일자리 파괴정부 보기 6IOI0lmNWb lt 박근혜 정부가 마지막에 거든 종부세는 5천5백95억원 문재인이 거둘 종부세는 5조7천억원이다 10배가 넘는다 gt 
876,흑석선생이 흑석동 간게 조선일보 사주처럼 되고싶어서 였는데 실패한겨 아무튼 흑석동에 방씨일가 종부세 폐지를 위해 윤석열이 대통령이 되어야 한다는건 맞는거지 윤전기가 독립운동했다던 그 유명한 천황일보 
886,이재명의 지지율이 반등하고 윤석열은 하락 그러나 내용을 보면 서울 겅기 인천의 하락세 지속 이 부분은 설명이 안되나 2 라고 치부해 버리는 종부세는 수도권지역에서는 핫이슈이다 2 라고 치부해버려 20 의 지지율을 잃고 있다는것을 확인해 보시라 대책마련 시급하다 
921, 대상자만 100만명 육박 역대급 종부세 커지는 조세저항 조세저항 저항한다고 세무사 변호사에 줄 돈으로 그냥 세금내라 그리고 세금 적게 걷어가는 나라로 이민가 가보면 알겠지 내는 세금만큼 혜택받는 나라가 있는지 pn0rjFNAHO
941,서민은 종부세 안 낸다더니 이사만 했는데 500만원 경악 경악 안내겠다는 거군 Ke9ew93UOB
1047,송요훈 기자 윤석열 종부세 폐지 공약 뼈 때렸다 윤석열은 1 4 부자들을 위한 대통령 98 국민은 종부세와 무관 I4aQBZqe7c 검찰개혁 언론개혁 사법개혁
1060,종부세 폭탄 종부세는 국민 상위 1 4 부자들이 부담하는 세금인데 이것을 국민 모두가 부담하는 세금으로 오인하겠금 보도하고 윤석열은 이런 세금도 깍아주겠다고 홍보하고 있습니다 세계 각국이 코로나로 증세로 가고 특히 부자들에 대한 세금이 대폭 오르고 있는데 깍는다고 미친놈 욕나오네 u0DeKWZyqr
1074,조선일보 폭탄론 에 김의겸 방상훈 종부세부터 취재 공개하라 5ZR17QJ2rK 김의겸 열린민주당 의원은 조선일보 방상훈 사장 일가와 윤석열 국민의힘 대선후보 및 처갓집의 종합부동산세부터 공개하라고 촉구
1085,도리 도리 윤석열은 뻔뻔함과 적반하장의 대명사다 전국민 재난지원금을 가지고 매표 금권선거라하면서 1 7 국민에게 혜택을 주는 종부세 폐지를 주장하고 있으니 하는말이다 전국민 재난지원금과 기본소득은 종부세 폐지 주장과 달리 최소한 빈부격차를 심화시키지는 않는다 완전 내로남불 Y9rBwpfYPL
1089,도리 도리 윤석열은 뻔뻔함과 적반하장의 대명사다 전국민 재난지원금을 가지고 매표 금권선거라하면서 1 7 국민에게 혜택을 주는 종부세 폐지를 주장하고 있으니 하는말이다 전국민 재난지원금과 기본소득은 종부세 폐지 주장과 달리 최소한 빈부격차를 심화시키지는 않는다 완전 내로남불 aSmcZ0DIOn
1124,도리 도리 윤석열은 납세자1 7 에 대한 종부세폐지 혜택 금권 선거 매표 행위를 즉각 중단하라 빈부격차를 더욱 조장하는 윤석열은 사퇴하라 그도 아니면 본인의 각종 피의사실에 대하여 법의 심판을 당당하게 받으라 858tzSDjXz
1131,與 16억 집 평균세액 고작 50만원 윤석열 종부세 감면론 비판 출처 한국경제 네이버 뉴스 QAJrwwMBfq
1310, 11시 김광일 쇼 1인당 750만 원 확 뛴 종부세 고지서 발송되는데 문 정부 집값 상당히 안정 윤석열 문 LLhp9XdeU3 출처 YouTube
1543,與 16억 집 평균세액 고작 50만원 윤석열 종부세 감면론 비판 출처 한국경제 네이버 뉴스 bFUOBOzfPA
1711, lt 윤석열 gt 은 종부세 대상자로서 1가구1주택자이다 윤석열은 종부세 세금이 아까워서 종부세 폐지 공약 을 발표했나 보다 윤서결 종부세
1798,2분간 말이 안나온다 프롬프터가 아니라 어이가 없어서다 투기와 증여로 취득한 부동산도 모자라 종부세도 폭탄이라며 안 내겠다는 윤석열 함께 공기 나눠 마실 인간이 아니다 WyOr4cJ8F9
1961,긴급 충격적 여론조사 윤석열 이재명 어쩌구니없는 급변 중앙 윤 숨겨둔 비장의 승부수 카드 꺼낸다 윤석열 YS 6주기 참석 메시지는 종부세 작년보다 3배 곳곳서 한숨 무슨 큰일 민주 ntFURFYTWb
1999,윤석열 오늘도 그네했다 50 만원이 종부세 폭탄 kwP8OQh5Tb
2120, ojg4008 거봐 종부세 없애면 근로소득자면 세금 는다 했지 이런대도 윤석열뽑을래 난 이거보고 이재명을 뽑기로함
2153, 팩트TV 강민정 1 7 국민 안에 든 윤석열 초호화아파트 종부세 내기 싫어 폐기 주장 6OEh8bA3h4
2157, 11시 김광일 쇼 1인당 750만 원 확 뛴 종부세 고지서 발송되는데 문 정부 집값 상당히 안정 윤석열 문 5yxTX78XA9
2159,윤석열 오늘도 그네했다 50 만원이 종부세 폭탄 02l8kXrJgL 출처 YouTube
2537,집값이 폭등하고 주거비가 상승하면서 서민의 삶은 힘들어졌고 부동산 불로소득으로 국민의 분노도 매우 큽니다 종부세 강화 등으로 집값 안정의 계기를 마련해야 할 판에 오히려 그에 역행하려는 윤석열 후보자의 견해는 부동산공화국 과 자산불평등 을 더 공고히 할 수 있습니다 
2711,종부세폐지 건강보험료 조정 공약을 집요하게 공격을 했어야 윤석열을 부자만 챙기는 후보라는 걸 국민들에게 각인시킬 수 있는데 민주당과 의원들은 이런 집요함과 전투력을 전혀 찾아볼 수 없다 만들어서 공격은 못할 망정 상대가 주는 공격거리도 제대로 공격 못하니 한심하다는 거다
2773,윤석열 종부세 재검토 에 참여연대가 16억 아파트 따져봤다 O9cA75dNuH
2789,올종부세94만7천명이5조7천억부담 1세대1주택자45 는평균27만원 다음뉴스 E5OkkF6yAx 종부세를 갖고서 장난질을 하는 친일매국노 국민의힘의과 천인공로할 윤석열은 1 2 의 국민을 보호하는 집단으로서 국민 98 을 개 돼지로 취급하는집단이다 우매무지한 국민들이시여 깨어나소서 
2796,안진걸 윤석열의 종부세 거짓말 안진걸이 박살냈다 reC4nubMAb 출처 YouTube
2838,강민정 1 7 국민 안에 든 윤석열 초호화아파트 종부세 내기 싫어 폐기 주장 ZAh2CUla2H 출처 YouTube
2904,윤석열 종부세 재검토 에 참여연대가 16억 아파트 따져봤다 pFxTXXyBfO 20만원 수준 1주택 고령자 최대공제 시 4만원 세금폭탄 근거 대라 공개질의
2933,종부세 전면 재검토를 공약한 윤석열 국민의힘 대선 후보에게 참여연대가 공개질의서를 전달했다 16억 아파트에 20만원 수준 1주택 고령자 최대공제 시 4만원 3천만원 자동차도 60만원 이상 종부세 세금폭탄_근거_대라 g5PYs1BMHl
