,tweet
103,낮술로 폭탄주 말다 오셨나요 윤석열 글로벌 개망신 대형방송사고 대본없이는 아무것도 못한다고 했잖아 qOR5qDJ2LA via YouTube
155,윤석열이가 광주가서 폭탄주 마셨다고 뭐라뭐라 하길래 5 18 전여재때 지지자들이 대통령 대통령 외치는데 가서 인사 한것도 아닌데 뭐 그리 난리냐 라고 했다 
241,Y횟집에는 이광래 등 전 목포시의원과 윤석열 후보 일행을 포함해 총 12명이 폭탄주를 마시며 만찬회동을 했었다 수행원들 식사비가 77 000원이 나왔다 국민의힘 김병민 선대위 대변인은 수행원들 식사비 영수증을 윤석열 후보 본인 몫으로 지불했다고 제시한 것이다 jqAe94mV9g
267,Y횟집에는 이광래 등 전 목포시의원과 윤석열 후보 일행을 포함해 총 12명이 폭탄주를 마시며 만찬회동을 했었다 수행원들 식사비가 77 000원이 나왔으며 국민의힘 김병민 선대위 대변인은 수행원들 식사비 영수증을 윤석열 후보 본인 몫으로 지불했다고 제시한 것이다 jqAe945jKG
275,Y횟집에는 이광래 등 전 목포시의원과 윤석열 후보 일행을 포함해 총 12명이 폭탄주를 마시며 만찬회동을 했었다 수행원들 식사비가 77 000원이 나왔으며 국민의힘 김병민 선대위 대변인은 수행원들 식사비 영수증을 윤석열 후보 본인 몫으로 지불했다고 제시한 것이다 jqAe945jKG
594,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 RX5U7hefVW
623,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 RX5U7hefVW
629,윤석열이 오늘 1분28초 멍때린 것 보다 더 중요한 소식이다 윤석열이 민어 폭탄주 회식비중 일부를 본인이 부담했다고 내 보인 영수증이 사실은 그날 수행원들이 따로 식사하고 지불했던 영수증이라는 사실이 밝혀졌다 윤석열은 검사시절 하던 버릇처럼 증거를 조작했다 fcaNCOC3FJ
649,윤석열 목포 폭탄주 영수증 1층 수행원들 식사 영수증이였나 C51BOVBiwT
814,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 QJOFuQr4XS
875,입 열어도 문제 입 닫아도 문제 입은 폭탄주 마실 때 열어라 윤석열 침묵 방송사고 일파만파 다음 뉴스 mp2COp84hE
916,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 다음뉴스 CUD9BRtpoO
970,윤석열씨 오늘 많이 쪽팔렸지요 늘 하던 꼴갑잖은 멀쩍은 가오도 안 나오고 캠프가 일정도 잡지 않지요 1일 1실언을 하시니 캠프가 일정 잡기 고로울 것입니다 오늘은 그냥 폭탄주 말아서 자시고 푹 주무시기 바랍니다 
1071, patriamea 윤석열 지금쯤 폭탄주 마시고 있을듯 합니다
1082,대통령을 폭탄주 누가누가 많이억는순으로 뽑는다면 윤도리가 따논당상이지 딱하다 도리도리 윤석열 연설 침묵에 여권 비난 다음 뉴스 5pMTkY6Uy1
1123,김종인 전 국민의힘 비상대책위원장 합류를 두고 여전히 결론을 못 내린 윤석열 캠프 측이 언론 대응에서도 갈팡질팡하고 있다 목포 폭탄주 해명 과정에서 윤석열 국민의힘 후보 측은 혼선의 연속이었다 윤석열 김종인 국민의힘 윤석열캠프 목포폭탄주 윤석열폭탄주 V2kfUAsgAG
1168,윤석열이 오늘 1분28초 멍때린 것 보다 더 중요한 소식이다 윤석열이 민어 폭탄주 회식비중 일부를 본인이 부담했다고 내 보인 영수증이 사실은 그날 수행원들이 따로 식사하고 지불했던 영수증이라는 사실이 밝혀졌다 윤석열은 검사시절 하던 버릇처럼 증거를 조작했다 류준열 eGUTpBxb1G
1176,윤석열 횟집 폭탄주 가짜 영수증 제시 선거법 위반 뽀록 났습니다 어째 하루를 못가네 TA03bRXvBq
1373,시사저널 윤석열 침묵 방송사고 일파만파 조문희 기자 프롬프터 멈추자 1분30초간 침묵한 尹 김건희한테 바로 전화해서 물어 보던가 머리속에 하얀색은 보이는데 까만글자는 왜 안 보이지 오늘 양말구두 폭탄주를 안 먹어서 그런가 석열이 너 오늘 집에 들어 오지마 아웃이야 체인징 파트너 78xppCJv5y
1478,윤석열이 프롬프터가 작동안되어 초유의 방송사고를 내었다고들 난리신데요 너무 그러시지들 마시죠 윤석열도 원고없이 충분히 말할 수 있는 분야가 많습니다 룸쌀롱에서 술 처드시고 씨부릴 때 폭탄주 말아놓고 건배사할 때 거짓말 처 씨부릴 때 아랫사람에게 욕 퍼부을 때 입니다
1597,오늘 폭탄주 들이키겠네 윤석열 침묵 방송사고 일파만파 다음 뉴스 mp2COp84hE
1646,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 출처 미디어오늘 네이버 뉴스 9yJTAA3XYb
1670,윤석열이 이 모지리 거짓말 까지 했네 사과하러 갔다가 방역수칙 어겨가며 폭탄주 처먹은 것도 문제지만 고 들킬 거짓말 까지 쓰레기 언론들은 이런 사실은 보도하지 않겠지 특히 쿠키뉴스 그 기더기 새끼 잡히면 똥물 끼얹어 버리고 싶다 tmtyp6SbWd
1709,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 HCeX8gvbd4 eA84ZqgC4s
1728,폭탄주만 처마신 결과 
1738,윤석열폭탄주명장면 2RuslghRrU 출처 YouTube
1743,윤석열폭탄주명장면 vYLNJkRpe3 YouTube
1748,정거배 티비 구독 윤석열폭탄주명장면 vI1g5Wgeqv YouTube
1761, 우리가언론이다 윤석열 쿤 목포횟집 결제 안했다 더불어민주 목포횟집 폭탄주 윤석열ㆍ이광래 검찰에 고발 SXPSmnn89c
1869,윤석열은 민어회와 폭탄주를 무전취식 해놓고 본인의 음식 값을 현금으로 계산했다고 했는데 1층에서 먹은 수행원 3명의 식사비가 77000원 나왔다 이광래 전 시의원 영란횟집 2층 12명 식사비 37만원 전액 지불 현지에서 취재한 것과 받아쓰기한 언론의 차이 rHQFZvd8v7 RDuqTXayu1
1893,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 출처 미디어오늘 네이버 뉴스 kjYax9Skrf
1894,윤석열은 거짓말이 계속 드러나는데도 지적하는 언론이 없나 항문침전문가 모르는 사람 왕자는 동네 주민이 써줘 개 사진은 사무실에서 찍은 것 광주 가서 폭탄주 마신 적 없어 전부 거짓말 정치인의 거짓말은 치명적인데 윤석열에게는 오해라는 단어가 무적의 아이템
1898,입은 폭탄주 마실 때 쓰는거지 연설 프롬프터 멈추자 윤석열의 입도 멈췄다 다음 뉴스 7ZKAiyFmqF
1929,폭탄주 한잔 마시고 싶었겠는데 딱하다 도리도리 윤석열 연설 침묵에 여권 비난 다음 뉴스 hCwbWqJQup
1940,뇌속에 폭탄주와 쥴리만 들어 있으니 이 꼬라지가 나는건 너무 당연하다 연설 프롬프터 멈추자 윤석열의 입도 멈췄다 글로벌리더스포럼 기조 연설 시작 후 기계 오작동에 생방송 중 2분간 침묵 다음뉴스 nk1fKXjJUU
1959,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 출처 미디어오늘 네이버 XcPBceNAYG
2004,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 XTVsIFi0lU 안 마셨다 며 최초 해명 있었지만 거짓말 논란 휩싸여 안 마셨다 한 사람 누군가 라며 오히려 언론에 되묻기도 응 너네 대변인 
2009,윤석열 목포 폭탄주 오락가락 언론 대응에 선대위 혼선 까지 JhyuewQxJQ
2194,폭탄주 마신 윤석열 거짓말 또 걸렸다 징글징글 대전 역대급 인파 이재명 해냈다 yiv1rMdJWN via YouTube
2487, withmin413 esangmin 윤석열의 살인마 전두환 찬양에 대한 사과 개에게 사과 주는게 사과 광주 사과후 목포서 폭탄주 마시는게 사과 술도 공짜로 접대 받는 검사 습관이 몸에 벤 행패 술값 지가 냈다 영수증도 없는 거짓을 거짓으로 덮는 사기꾼 생각 lPwEjzmZk1 via YouTube
2494, Jaemyung_Lee 윤석열의 살인마 전두환 찬양에 대한 사과 개에게 사과 주는게 사과 광주서 사과후 목포서 폭탄주 마시는게 사과 술도 공짜로 접대 받는 검사의 습관이 몸에 벤 행패 술값 지가 냈다 영수증도 없는 거짓을 거짓으로 덮는 사기꾼이라 생각 lPwEjzmZk1 via YouTube
2498, dpcorea Bulloger 윤석열의 살인마 전두환 찬양에 대한 사과 개에게 사과 주는게 사과 광주서 사과후 목포서 폭탄주 마시는게 사과 술도 공짜로 접대 받는 검사 습관이 몸에 벤 행패 술값 지가 냈다 영수증도 없는 거짓을 거짓으로 덮는 사기꾼 생각 lPwEjzmZk1 via YouTube
2506, eduhimang 윤석열의 살인마 전두환 찬양에 대한 사과 개에게 사과 주는게 사과 광주서 사과후 목포서 폭탄주 마시는게 사과 술도 공짜로 접대 받는 검사의 습관이 몸에 벤 행패 술값 지가 냈다 영수증도 없는 거짓을 거짓으로 덮는 사기꾼이라 생각 lPwEjzmZk1 via YouTube
2513, kimyong72790925 윤석열의 살인마 전두환 찬양에 대한 사과 개에게 사과 주는게 사과 광주서 사과후 목포서 폭탄주 마시는게 사과 술도 공짜로 접대 받는 검사의 습관이 몸에 벤 행패 술값 지가 냈다 영수증도 없는 거짓을 거짓으로 덮는 사기꾼 생각 lPwEjzmZk1 via YouTube
2833,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 다음 뉴스 GvD0XacKVE
3634,윤짜장은 좋겠다 이런 것은 기레기들이 덮어주고 무조건 빨아주는 윤짜장 만약에 이재명 후보였다면 기레기들의 발광으로 대선에서 완전 아웃이 되었을 것이다 JB TIMES 윤석열의 폭탄주 사랑 DJ고향 목포에서도 사과하러 간 거 맞아 v92khN8oX5
3664,윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 다음 뉴스 hVuAGpCaTN 지능이 낮거나 싸가지가 없으면 뱩신을 거부 하고 윤석열과 국민의 힘을 지지한다 
3723,윤석열 목포 폭탄주 에 분노한 민주당 전직 검찰총장이 안 마셨다 거짓 해명도 모자라 선거법 위반 논란 YouTube Ga1kLPTwMu
3761,폭탄주 마실때만 두눈번쩍이는 무식한 저능아와 볼때마다 너무 유식해서 놀라는 지식인과 비교대상이 되는 한국정치 현실 주권은 국민에게 있음 자신을 헐값으로 적폐에 넘기지말길 이재명 39 5 윤석열 40 0 李 7 1 p 오르고 尹 5 6 p 하락 KSOI 다음 뉴스 5UiXkKi7qK
3966,RT ohmynews_korea 윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 윤석열 폭탄주 소중한 기자 YYtkNOm6CZ
4166,다음뉴스 GUx8BLrBpM 민주당 윤석열 측 폭탄주 안 마셨다 해명 거짓 공식 사과하라 
4442,윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 다음 뉴스 Wx6uqj9YFg 니들말장난진짜지겹다 분명며칠전부터안마셨다해놓고동영상공개되니깐말을바꺼 니들은늘그래왔어정확한증거등앞에서도이건말이지국민을우습게본다는거지당선전당선후안면바꾸는것도니들특기고
4449, Truelaw0444 Jaemyung_Lee 윤석열이 폭탄주 잘처먹네 설사해라
4722,與 윤석열 폭탄주 회식 영상공개 제 3자 계산 檢 고발 다음 뉴스 Dk2Ze1MgRp
4772,교회간 윤석열 간밤에 폭탄주 마신거 깨러 갔냐 술마실 때 가장 표정 밝은 새끼 psb4thK6DX
4811,민주당 윤석열 측 폭탄주 안 마셨다 해명 거짓 공식 사과하라 다음 뉴스 jYtxI74wJS
4814,윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 다음 뉴스 Qzb58A5ASw
4964, 윤짜장은 좋겠다 이런 것은 기레기들이 덮어주고 무조건 빨아주는 윤짜장 만약에 이재명 후보였다면 기레기들의 발광으로 대선에서 완전 아웃이 되었을 것이다 JB TIMES 윤석열의 폭탄주 사랑 DJ고향 목포에서도 사과하러 간 거 맞아 v92khN8oX5
4974,윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 다음 뉴스 AJru3hFLrl 청와대를 룸살롱으로 만들고도 남을자 멧돼지 부부
4987,윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 與 윤석열 목포서 폭탄주 술자리 가진 뒤 거짓 해명 尹 캠프 얘기한 적 없는데 거짓말이라는 건 잘못 49rEDZ2We7 주어없다급인데 
5027,텐프로 아가씨들이 조제해줘야 폭탄주로 인정하는거야 술말다 젖은 휴지도 벽에 던져붙이고 해야 민주당 윤석열 측 폭탄주 안 마셨다 해명 거짓 공식 사과하라 다음뉴스 smhGtQqYmi
5061,RT ohmynews_korea 윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 윤석열 폭탄주 소중한 기자 CBkKwxJPlK
5094,민주당 윤석열 측 폭탄주 안 마셨다 해명 거짓 공식 사과하라 다음 뉴스 FDzGKql0HH
5098,민주당 윤석열 측 폭탄주 안 마셨다 해명 거짓 공식 사과하라 다음 뉴스 We4GnuQcku
5105,SBS 윤석열 폭탄주 만찬 거짓 해명 안 마셨다고 한 적 없어 사과하러 갔으면서 술 처먹은게 자랑인가 53kwXIEucF
5120,윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 42rEiezEIx
5129,소화 흡수되지 않았을지도 오해하시지 마시라 특수한 장기의 소유자일지 모르니 윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 다음 뉴스 kciZDh7ncP
5184,윤석열 광주 사과 당일 폭탄주 에 방역수칙 위반 잠잠한 언론 aaUR9xkzlk
5191,윤석열 광주 사과 후 목포가서 권력바래기들과 폭탄주 몇 잔 했기로 그걸 트집 잡는 건 너무 거시기허다 쪼잔 째째 지 먹은 술값은 다 지가 냈다잖아 평소 윤 주량에 비춰보면 간에 기별도 안 가 윤은 폭탄주 반주없이는 밥도 못 먹는 사람같더라 북한에선 도량 이 크다 덕담 받아 
5194,민주당 윤석열 측 폭탄주 안 마셨다 해명 거짓 공식 사과하라 다음뉴스 URfKIVB0Pu 처먹었는데 이제 와서 사과가 무슨 소용 그럴리는 없겠지만 윤 씨가 대통령 되면 청와대서도 폭탄주 처 드시려나 
5285,與 폭탄주 만찬 거짓해명 vs 윤석열측 허위 주장 99Pippq3gj
5318,윤석열 측 與 폭탄주 거짓말 에 안 마셨다고 한 적 없다 다음 뉴스 flsn3VAPaW 그래서 광주에서 사과하고 그 길로 바로 폭탄주 마신 게 자랑이냐 이 머저리들아 
5339,尹측 이재명측 목포회식 흑색선전 철회 안하면 허위사실 유포 고발 윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 둘다 이양수 수석대변인이 말한 거 잖아요 YUk7xHdf3c
5349,윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 다음 뉴스 ji0jamHKWW 이 돼지새끼의 대응법 지가 수세에 몰리면 화를 냄 병신새끼
5377,윤석열 측 與 폭탄주 거짓말 에 안 마셨다고 한 적 없다 bF1oEzGWt8 정말 이 집단의 인간 들은 하나 같이 뇌가 없는건가 일 벌리는자와 거짓말의 말장난 치는자 그리고 면명의 해명하는 자가 시간을 두고 이슈에 따라 사주의 개들 앞세워 이미지 세탁하고 있구나 무능에 무지한 자는
5391,뭐야 이 제목은 폭탄주 거잣말이 아닌데 말장난하냐 윤석열 측 與 폭탄주 거짓말 에 안 마셨다고 한 적 없다 다음 뉴스 SK5B3rtENk
5408,與 폭탄주 회식비 제3자 계산ㆍ부산저축은행 부실수사 로 윤석열 고발 CcKTG61GQM
5425,與 윤석열 폭탄주 회식 영상공개 제 3자 계산 檢 고발 다음 뉴스 Dk2Ze1uFsP
5437,윤석열 측 與 폭탄주 거짓말 에 안 마셨다고 한 적 없다 다음 뉴스 8QoEYc4IWJ
5484,전형적인 아베와 스가의 자민당이 쓰던 수작이다 사실이면 안마셨다 보도한 언론들 고발해봐라 윤석열 측 목포 폭탄주 해명 안마셨다 고 한 적 없다 다음뉴스 35DZZt9a5t
5498,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 lCtggJLWO3
5501,윤석열 측 與 폭탄주 거짓말 에 안 마셨다고 한 적 없다 다음 뉴스 a8ediDjjPv 와 이개병신같은새기 들 영상을봐봐 폭탄주도아니고소맥이언제부터폭탄주가됐냐 개씨부랄 쓰레기진보새끼들지겹다
