,tweet
231,국힘당에서 26년 정치한 홍준표를 퇴짜놓고 윤석열을 선택한 세력이 어떤 모습일까 생각할수록 박정희의 후광을 생각하고 공대에서 4년간 공부한 지식으로 대통령 직을 수행한 박근혜가 보인다 법대4년 사시 9수 윤석열의 인생에는 법밖에 안보인다 그런데 주위에는 위법이 난무하다 제식구 감싸는 법 
365, 사시 9수보단 낫지 홍준표 또 윤석열 뒤끝 저격 다음 뉴스 kB4dypzlP0
392,홍준표 윤석열이 대통령돼면 대한민국이 불행 대선 참여거부 유승민 백의종군 할란다 참여거부 이준석 내 이름 올리지마라 참여거부 김종인 연락두절 잠적 참여거부 윤석열 자체가 후보가돼면 안됐었다 47bnRG8pP3
426,홍준표가 진짜 이렇게 말했다면 이 잉간 말 중에 거슬리는 건 이회창씨처럼 이란 부분이다 이회창의 병풍사건 같은 일이 조작 중인 걸 알고 있단 말인가 이 잉간이 우파들이 뽑아주자고들 한 대선후보였슴다 윤석열을 뽑더라도 곧 후회할 날 오리란 것도 알고 계시길 대선투표 기권하기도 처음
466,윤석열 침묵 방송사고 일파만파 다음 뉴스 7l8An4xblU 홍준표 전 후보 겸 의원조차 윤석열 후보가 대통령 되면 대한민국만 불행해져 박근혜 꼴 나는거지 본인이 얼굴마담인걸 아나 
621,또라이들이 검사가 되는거야 검사만 되면 다 또라이가 되는거야 검사출신치고 제대로 된 사람같은 새끼가 하나도 없어 윤석열을 위시하여 홍준표 곽상도 금태섭 조응천 권성동 김진태 황교안 이용주 박주선 주광덕 자 이중에 사람같은 새끼 하나라도 있나 보라고 검찰조직은 정말 폭파시키야 돼 
679,우리가 언론이다 정보공유운동 전 민주당쓰레기합류한 3김선대위 외인부대 잡탕밥 홍준표가 해냈다 윤석열 저격수 복귀 선대위는 잡탕밥 역대급 팩폭에 국민의 힘도 아사리판 인증 4vAnuNNXab 출처 YouTube
681,1일1망언 가족비리 본인5건수사 남자박근혜로 불릴 정도의 엄청난 무식을 장착하고 대선에서 완주는 불가능하다는 생각ㆍ 그래서 홍준표가 연일 윤석열을 비판하고 합류를 거부하며 몸풀고 있는듯 
721,국힘당은 멍청한 윤석열이 내쫒고 홍준표 불러라
923,글로벌 포럼에서 멍청하게 1분30초동안 가만히 있었다고 비난비판했더니 강골검사 리더쉽뛰어나 라는 기사가 올라오네 기레기 밥버러지들아 홍준표왈 윤석열이 대통령되면 나라가 불행해진다 라는 말이 맞는것 같다 
978,윤석열 김종인 총괄선대위원장 추대 부결 홍준표 선택할까 브레이크뉴스 ioghsvYgzY
1002,이러면어떨까 같은당에서 서로들싸우느니 국힘에서 윤석열창당해서나가고 민주에서 이재명창당해서나가면 국힘에선 홍준표 민주에선 이낙연 4자 대결하면 정말멋진경선이될텐데 
1006, 국민의당 윤석열 홍준표 여당 야당 대장동 9OS8BSZJ
1019,홍준표와 김종인이 윤석열 졸라 까버려라 
1106, 잡탕밥 이어 홍준표 윤석열 잘 몰라서 3金 체제 동아닷컴 3y9M7HE98a 준표씨 당신은 차기도 글렀네 2025년말에도 찌그러져야 할 것이야 만에 하나라도 준표가 보수의 후보가 된다면 처음으로 기권할 것이다 
1114,준표씨 당신은 차기도 글렀네 2025년말에도 찌그 3y9M7HWimi 잡탕밥 이어 홍준표 윤석열 잘 몰라서 3金 체제 
1268, 국민의당 윤석열 홍준표 여당 야당 대장동 Q1R4SUUIALMBH8H
1341,홍준표 국민의힘 의원이 공약으로 내세웠던 공영방송 통폐합 및 민영화에 대해서는 이재명 심상정 안철수 후보가 반대했고 윤석열 후보가 조건부 찬성 입장을 냈다 홍준표 이재명 심상정 안철수 윤석열 국민의힘 공영방송 공영방송민영화 언론중재법 언론 yVipPQxvMa
1344,아마도 이건 윤석열을 스트레스 테스트 해보기 위해 일부러 꾸민 일 일것이다 봐라 대본없이 입도 못떼는 윤석열이 얼마나 무능하냐 홍준표로 안 바꾸면 내년 대선 물 건너간다 윤석열 지지세력을 어떻게 홍준표쪽으로 온전히 돌릴지가 저들의 전략 Weng92orzm
1383, 국민의당 윤석열 홍준표 여당 야당 대장동 2ZP79U8G
1420,나 진짜 이재명윤석열홍준표가 유력 대선후보가 되기 전까진 정치에 관심 1도 없던 사람인데 투표권도 없는 내가 나라 걱정을 하게 해
1468, 국민의당 윤석열 홍준표 여당 야당 대장동 0S9RX4NPD6E
1551, 국민의당 윤석열 홍준표 여당 야당 대장동 FFR6Y6ST9
1585,국힘당 경선시기 홍준표 후보가 윤석열 후보에게 물었다 전쟁이 발생하면 어떻게 조치 하겠는가 한참 있다가 대답하기를 미국 대통령에게 전화 하겠다 글로벌포럼 연설에서 2분간 묵언수행한 윤석열 국가 비상사태때 이사람은 어떻게 대처할까 
1677,홍준표가 안철수과 윤석열 사이의 이간질책을 지대로 골랐네 홍준표가 무슨 드루킹 피해자인가 외려 안철수 지지율 떨어져서 3위에서 2위로 급부상했는데 김경수 핸폰 계자추적 영장 검사는 다 서울지검장이 직접 했데 저 기사 1차장 검사는 왜 나오는 거냐 99aIfvSo6m TM7NY8UscM
1704, 국민의당 윤석열 홍준표 여당 야당 대장동 32PT24FB4C152T
