,tweet
15, jinsungjoon 이재명 하나 때문에 국회의원 전체가 탄핵 당한다고 정신차려라 니가 이재명에게 무슨 약점을 잡혀 있는지는 몰라도 그건 너 하나 문제로 끝내면 될 것 넌 지금 나라 말아먹을 짓을 하고 있는것이다 전국민이 대장동게이트 주범은 이재명이라고 모두 확신하고 있다 손바닥으로 하늘을 가리지마라
31,민주당 이재명 후보와 국민의힘 윤석열 후보도 연단에 올라 각자 구상하는 국가의 미래비전을 풀어놨습니다 이 후보는 기회가 보장되는 적정한 성장 을 강조했고 윤 후보는 전문가 중심의 국정운영 을 약속했습니다 RXYvUl3eEp
48, Jaemyung_Lee lee_tanhi lovelylawyerjj 박병석 의장 적폐가 입법부 의장 이란것은 국민들의 수치며 치욕 즉시 언론 중재법 상정하라 인간 버러지가 아님 반민족 왜견 찌라시 기더기 출신 부패한 쓰레기속 버러지가 국회의장 이라니 앞으로 의장과 상임위 위원장 선출은 투표로 선출하라
75, mimi24950 복붙 국민과의_대화 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검가자 대장동몸통_이재명을_특검하라 대장동특검이나해라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다
81, 적폐 이재명에 속을 국민 많지 않다 이낙연 측근 이상이 민주당 사라질 수도 U7W1sCTY06 뉴데일리
85, TheMinjoo_Kr Jaemyung_Lee 이재명은 반드시 한다 는 걸 믿는 국민들이 많습니다 부디 대통령이 되시어 반역 적폐 세력으로부터 내 조국을 지켜주시기 바랍니다 응원합니다 
108,국민이 이재명이다 
115, TheMinjoo_Kr 이재명만 바라보고 이재명만 향해 나아가는구나 국민은 없다 도저히 참을 수없어 차단 누르려 홈에 갔다가 다시 정신을 가다듬는다 가보자어디 
127,이재명 후보에겐 10분이 넘 짧죠 그의 머리 속엔 국민을 위해 움직여야 할 계획들이 너무도 차고 넘침니다 그래서 원고 프롬프터 없어도 줄줄 나옵니다 자랑스러운 이재명 대한민국 20대 대통령을 누굴 뽑아야 할지 답이 딱 나오지 않습니까 윤석열은 이구 그냥 헐 이다 
149, histopian 개인으로 보면야 이재명은 정치인이고 윤성10은 양아치떼에 불과하지만 정유라의 입시로 표출된 입시 불공정성에 대한 국민분노가 포함된 촛불혁명 정부의 조국 딸 조민이의 엄마 아빠 찬스에 대한 국민분노 문재인 다불러문빠당의 주거참사와 차별적 재난 지원 정책이 
