,tweet
12,이재명부인 김혜경요
37,후원금 사용내역 보면 후보가 보이지 얘를 만든 것은 허상의 여조였다고 수많은 문파들이 지적해온 이재명 여조에 쏟아 부은 돈 봐라 역시 KSOI가 탑 그리고 윈지코리아 김혜경 차량이 없어서 따로 렌트라고 운전기사까지 채용해 그 급여조차 여기서 지출했나 Zabu9COdeR
145,낙상 열상 쑈로 격차가 좁아진 게 아니라 격차가 좁아질 근거가 필요해 언론 주목받는 모양으로 김혜경 등판쇼 기획한 거지 저 사건을 C 점으로 이재명 이미지 전략 바뀜 이해찬 만난 후 대선 전에 절대 못 할 특검수용 발언한 시기와 일치하고 김건희 공격 시기와도 일치함 XPJAsPFrCp
166,범죄자 이재명 정진상 김인섭 유동규 김혜경 남욱 정시내 김만배 권순일 정영학 곽상도 곽병채 박영수 김택진 무기징역 전액몰수 최재경 홍선근 이화영 원유철 노정희 김명수 이병식 하나 부장 쌍방울 최윤길 강한구 권락용 송영길 안민석 강찬우 이태형 이해찬 추미애 이동호 이윤호 김민한 코나아이
170,지도자 와 읽는사람 amp 또 있지요 김혜경 과 김건희 이거 보고 이재명찍기로 했다 abeOlJlijH
194,이민석 변호사 김혜경이 기소되면 이재명 정치생명은 바로 끝나는 것이다 제발 0BAQQWxFSb
224, 눈물 사과 그리고 김혜경 이재명의 감성 터치 다음 뉴스 vKXBTRuQz3 이재명이 대세다 
246,아내 김혜경씨가 뒤에서 쓰윽 백허그 이재명 혜경 벨트입니다 다음 뉴스 6cXAxsCXvS 이재명이 대세다 
368,대통령 이미지를 어떻게 만드나요 이재명씨 설마 문프님처럼 성형하고 싶은거에요 목소리는 어떻게 할건가요 키는 키높이 신으면 될테고 그런데요 이재명씨 님 부인이 김혜경이잖아요 친조카에게 이년이 편찮으신 아주버님 소식엔 깔깔깔 웃는 김혜경 이재명씨 아무리 뜯어고쳐도 님은 안되요 Mty15xNuTl
506, yoongaphee 이재명 배임이라고 김혜경이 강하게 주장하네요
