,tweet
2,지도부 빼고 취준생 앉히고 이재명 부동산 대장동 반성 사과 B98BA8fnHt
4,진성준 아주 무례하고 개매너인 거 이재명을 위해 온 몸을 바쳐 막아가며 소리지르고 난리치는 거 다 봤다 저 개 양아치스러운 짓거리를 계속 보고 있어야 하다니 대장동이 이재명하고 관련 없어 보이려고 아주 발악을 하는데 그때마다 더 의심스럽다 
15, jinsungjoon 이재명 하나 때문에 국회의원 전체가 탄핵 당한다고 정신차려라 니가 이재명에게 무슨 약점을 잡혀 있는지는 몰라도 그건 너 하나 문제로 끝내면 될 것 넌 지금 나라 말아먹을 짓을 하고 있는것이다 전국민이 대장동게이트 주범은 이재명이라고 모두 확신하고 있다 손바닥으로 하늘을 가리지마라
75, mimi24950 복붙 국민과의_대화 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검가자 대장동몸통_이재명을_특검하라 대장동특검이나해라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다
87,단군이래 최대 치적이고 대장동 성공에서 이재명은 합니다라는 구호가 탄생 했다더만 입벌구 새끼 
89, GLADTOSEEUGUYS patriamea 와 진짜 가증스럽네요 완전 가면을 쓴 아수라백작이네 역시 같은 결이니 이재명을 지지하는구나 이렇다면 문프님의 수차례 지시 묵살하고 대장동건 알고도 모른척 해줬을 확률만 커지네요 실체에 쇼크 
121,이재명은 대장동 그 돈구덩이 속에서도 나는 땡전한푼 묵은기 없다 고 호언 장담한다 지금까지 결과로는 그의 호은 장담은 사실인 것 같다 이것 하나 만으로도 이재명은 정말 대단한 사람이다 자유 평등 존나게 좋아해 보이 돈쳐먹은 놈들은 마카 그쪽아닌가 
128,檢 대장동 핵심 김만배 남욱 정영학 기소 최소 1 827 배임 PSi20mvruH 이게 이재명 개입없이 수천억 배임이 가능해 몰랐다면 무능한건데 몰랐다고 책임이 없는 게 아니지
138,이재명에 대해 배웁시다 전과4범 김부선 총각행세 불륜 형보수지 사기꾼 음주운전 대장동 화천대유타운 유동규 정진상 백종선 신건수 나눔기획 만달러공작금 여론조작 혜경궁 0189대포폰 조폭친구 사사오입 기본소득 지역화폐 쿠팡 물류센터 화재 떡볶이 먹방 인성파탄 개자지 귀태
144, 프리덤뉴스 소비에트 생활양식 마을 교육 공동체 이재명의 박근혜컴플렉스 3김 부정선거 그리고 윤석열 대장동 설계사를 찾아라 Yl6vhRwBsi 출처 YouTube
