,tweet
1227,김만배 100억 돈세탁 쌍방울 더 커지는 이재명 변호사비 대납 의혹 AmZF5PbQOX 뉴데일리
1233,쌍방울 전환사채 이재명 변호사비 대납 에 쓰였나 ClVsEaH3PN
1250,검찰 수사 이재명 변호사비 관련 의혹 A to Z 출처 신동아 네이버 뉴스 gYs3DFp94h
1884, purple_soom 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
1895,이재명 외통수 걸렸다 변호사비 대납의 실체 김진태의 찐태생각 Hct8xZ13Kz
1896, choisang4499 leeimage 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
1901, Gom_Se_Ma_Lee 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
1932, yunclara 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
2128, TheMinjoo_Kr 사패소패 조폭보스 부동산폭등의주범 화천대유 역대급 범죄자 이재명과 욕쟁이 짜근엄마 혜경궁김씨 이재명_대장동게이트_특검가자 이재명_변호사비대납 이재명_절대_안찍어 이낙연으로_후보교체하면_대한민국이_산다 이낙연으로_후보교체하면_대선승리한다 이낙연대통령
2267, jinyeongkim2000 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
2271, gabriL0124 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
2281, lightroot 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
2292, 1004ryrdl spiritfair 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
2301, hill_of_hogwart 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
2313, gabriL0124 대장동_결재책임자_이재명_특검하라 변호사비_대납_수사하라
2343, 단독 이재명 변호사비 의혹 쌍방울 CB에 등장한 대장동 인물들 다음 뉴스 aA2dVNZWIj
2354, 이재명 변호사비로 한명에 23억 친문단체 주장 녹취록엔 다음 뉴스 3RYW19fAkN
2365,검찰 수사 이재명 변호사비 관련 의혹 A to Z 다음 뉴스 toEifzWIqW
2745, FATE_1221_ 쩾빠들 오글거리는 tbs 주관 급하겠지 대세 만들어야 구속 안될테니 그런데 막산아 너 절대 안 찍어 이재명_낙선운동_무조건_한다 이재명_절대_안찍어 이재명공부_변호사비_공개해 이재명공부_대장동_특검해 이재명공부_혜경궁은누구니 
3482,한경오노컷 MBC등 전라어용매체들의 편파보도 선거개입이 심각하다 이재명의 대장동개발사업비리 재판거래 변호사비대납등 국기문란급 범죄행위에 대해서는 입을 꽉 다물고 야권후보 결혼전 부인 장모의 사업건만 물어뜯고있다 장모가 대선 출마하나 왜여권후보 비리는 검증을 안하나 부끄럽지않나 
3485, hanitweet 한경오노컷 MBC등 전라어용매체들의 편파보도 선거개입이 심각하다 이재명의 대장동개발사업비리 재판거래 변호사비대납등 국기문란급 범죄행위에 대해서는 입을 꽉 다물고 야권후보 결혼전 부인 장모의 사업건만 물어뜯고있다 장모가 대선 출마하나 왜여권후보 비리는 검증을 안하나 부끄럽지않나 
3854, TheMinjoo_Kr 이재명_무지무능합니디 이재명_대장동게이트_특검가자 유동규_정진상_이재명은_한몸이다 이재명_변호사비대납 이재명_절대_안찍는다 이낙연으로_후보교체하면_대한민국이_산다 이낙연으로_후보교체해야_지방선거당선된다 이낙연_대통령
3899, Pun6pTThrD 매주 월요일 11시 생방송 lt 찐태생각 gt 이재명 외통수 걸렸다 변호사비 대납 의 실체 lt 김진태 특위 위원장님 gt 정권교체 오늘 엄청난 폭탄 투하 기대합니다 
4740, Like_U_123 augusjin mireuk_duta pkjang77 아무리 나라가 썩었어도 이놈은 아니다 이런 놈이 어떻게 나라의 얼굴이 되느냐 찢빠들 정신 차려라 나라를 팔아먹어도 유만분수지 이런놈을 앞장세우냐 이재명 구속 윤석열 구속 Ja4DBrLlAH 이재명의 급소는 변호사비 대납 의혹 출처 더불어 사 tU9SMNvclB
4741,아무리 나라가 썩었어도 이놈은 아니다 이런 놈이 어떻게 나라의 얼굴이 되느냐 찢빠들 정신 차려라 나라를 팔아먹어도 유만분수지 이런놈을 앞장세우냐 이재명 구속 윤석열 구속 Ja4DBrLlAH 이재명의 급소는 변호사비 대납 의혹 출처 더불어 사 tU9SMNvclB
4911,대장동 분양업자 43억 중 수억 남욱에 전달 계좌자료 제출 이재명 1원도 안받아 다음뉴스 tsWn8b3sJS 대신 변호사비 내고 정치 활동에 필요한 돈 측근이 지불하면 내손에 안왔다 하겠지 
5451,국민을 병신으로 아냐 나쁜 짓 안했으면 4건의 벌금은 미쳤다고 냈냐 벌금 낸 사건 외에도 패륜ㆍ불륜ㆍ변호사비 대납의혹ㆍ배임ㆍ직무유기ㆍ조폭연루의혹 등등 이런건 다 선한 짓이냐 이재명은 숨소리도 못 믿겠다 PoZHnJd5VX
