,tweet
19,고민할게 뭐 있나 2번 가야지 이재명_절대_안찍는다 이낙연으로_후보교체하면_대한민국이_산다 8QDR5khYyr
28,동참 본인 SNS 메신져에 올려 알립시다 이재명은 무능 합니다 이재명은 무지 합니다 이재명은 무책임 합니다 이재명_절대_안찍어 이재명_낙선운동_무조건_한다 이낙연으로_후보교체하면_대한민국이_산다 이낙연으로_후보교체 후보교체_이낙연으로
32,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
74,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 이낙연_후보교체 후보교체
75, mimi24950 복붙 국민과의_대화 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검가자 대장동몸통_이재명을_특검하라 대장동특검이나해라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다
78, H65487632109 동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
81, 적폐 이재명에 속을 국민 많지 않다 이낙연 측근 이상이 민주당 사라질 수도 U7W1sCTY06 뉴데일리
90,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
91,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
95,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
104,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
143,윤석열이 좋아서 뽑냐 어니거든 이재명이 너무 싫거든 탄핵 준비하고 있으면 이낙연이 무조건 된다 문통이 그랬듯이 님들 진짜 넘 힘들겠지만 윤석열 뽑는 악수 두지 말고 걍 이재명 뽑고 탄핵 시키세요 
157, nextEra21 그렇게 따지면 항문침 너네 여권인사도 많이들 이용한다던데 이낙연도 항문침 많이 맞았나보지 그리고 사진몇번찍었다고 윤석열이 항문침을 맞았다 그럼 마피아새끼들이랑 사진 여러번찍은 너네 이재명은 마피아 확정이겠네 와우 전과 4범 마피아대통령이라니 
172,진짜로 이낙연을 대통령 시키고 싶으면 윤석열을 꺾은 이재명을 탄핵시키면 됨 정말 내가 바라는 결말은 아니지만 이닉연 대통령 시키고 싶으면 이 시나리오가 딱임 윤석열 되는 순간 이낙연도 나가리임 5년동안 또 대선 주자일 확률을 거의 없기 때문에 
178,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
190, L04108731 Kbbangst 이재명을_거부한다 이재명과_원팀안한다 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
197,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
202,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
211,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
225, 이재명을_거부한다 이재명과_원팀안한다 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
240,사람마다 삶을 살다보면 감이라는게 자연스레 생기는데 아무리 봐도 이재명 윤석렬은 대통령 깜이 아니라는 감만 전해지는데 아마 저만 느끼는게 아닐듯요 이낙연님은 대통령깜이라 말씀하시는 분들이 겁나 많은데 그분이 문대통령님 이어서 다음 대통령 하시면 되겠네요 그리되겠죠 
262,그후보에 그 지지자 수준이 양아치 조폭이다 홍영감의 안목이 놀랍다 이낙연은 대통령깜이라고 이재명은 양아치 조폭이라고 
354, TheMinjoo_Kr 한반도의 미래는 이재명이 말아 먹을거다 그러기전에 이낙연으로 후 보 교 체 
417,가짜뉴스 찌라시 네거티브로 이재명 후보를 비난하고 이낙연을 지지하는 자들은 모두 국민의짐당 윤쩍벌 똥꼬빠는 똥파리들 입니다 문재인 대통령님을 지지하는 민주당 지지자분들은 이재명 후보를 비난하는 자들을 트웟에서 모두 차단해야 합니다 이재명이 대통령 당선되야 정치보복 막을수 있어요 Ca8aIT1yue
420,본인 SNS 메신져에 올려 알립시다 이재명은 무능 합니다 이재명은 무지 합니다 이재명은 무책임 합니다 이재명_절대_안찍어 이재명_낙선운동_무조건_한다 이낙연으로_후보교체하면_대한민국이_산다 이낙연으로_후보교체 후보교체_이낙연으로
427, yeon_since81 E__BowTheLetter 이낙연으로_후보교체 되면 가능합니다 하루하루 최선을 다하시는 대통령님 그리고 사사오입 철회집회 서초동 변호사대납 이재명 구속촉구집회 등 행동하는 양심들이 후보교체를 이루어내리라고 봅니다 천지신명이시여 민주정부 4기 이낙연정부 꼭 이루어주소서 
460, YoungpyoHong 어느모로봐도 그놈이나 그놈이나지만 그나마 짜장이 훨 덜썩었다는건 확실하게 구분가능하죠 이재명_민주당에서축출해야 이상이교수님_응원합니다 이낙연으로후보교체 이낙연으로_본선이기자
509,한국여성운동의 산증인이라는 사람들이 당에서 박원순 같은 성범죄자 장례식 치러주는데 한마디를 못하네 당에서 그 사람들 목소리가 들리기는 해요 이낙연 이재명 같은 대선주자들이 이대남들 비위맞춘답시고 하는 말에도 아니라고 하는 사람도 없고 
641,본선도 아니고 경선때 이낙연 지지글 리트윗 순식간에 천넘던 홍의원글 이재명 지지글 리트윗 50개가 안됨 
662, Rendez_bous 펌 lt 경선 중 여론조사 무한반복 gt 이재명 논란 터짐 네거티브라며 이낙연 공격 지지율 1위라며 언플 기사로 도배 이재명 다른 논란 또 터짐 네거티브라며 이낙연 또 공격 지지율 1위 대세라며 언플
730, marthen623 lmgwoo 11 22 하루백번복붙 리트윗 말고 복붙 국민과의_대화 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검가자 대장동몸통_이재명을_특검하라 대장동특검이나해라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다
765,본인 SNS 메신져에 올려 알립시다 이재명은 무능 합니다 이재명은 무지 합니다 이재명은 무책임 합니다 부패하면_유능할수없다 이재명_절대_안찍어 이재명_낙선운동_무조건_한다 나는_이낙연_뽑을건데 iFyGkidak4
842,차기총선서 민주당 이낙연은 영원히 아웃 설훈 윤영찬 특히 박광온이 오영환 홍영표 이광재등 절대 당선시키면 안될 인간들임 원팀은 고사하고 지들 선거운동 하고 있었고 이낙연은 아직도 딴 마음 품고있었음 이러니 이재명이 너무 힘들다고 국민들에 호소를 하죠 싹다 물갈이 하고 이낙연 출당하라
