,tweet
207,경기도가 모델이된 이재명 재난지원금의 위력 PNb8XdDQMu
2187, 재난지원금 철회 이재명 개발이익환수법 강공 드라이브 다음 뉴스 pyixVtkKxe
2666,바로 대깨문의 실체임 이래서 노무현 문재인때 나라가 어처구니 없게 되는거 국가가 해야할 일을 국민에 전가시키면서 가계부채증가시켰고 그걸 재난지원금같은걸로 상쇄시켜야하는데 홍좆기 그개병신새끼는 대가리가 80년대 대가리수준 이런 구시대적세력이 빨리 가야함 이재명이 전환 교체말하
2739,이재명 39 5 지난주 요소수 재난지원금으로 반문질하다가 제대로 쳐맞고 깨갱 사이다 이미지도 덩달아 부서지고 무능 하죠 근데 7 가 올라 표본 튄 건 아닌지 거기다 가장 궁금한건 지난주까지 여조는 믿을 필요 없다고 주장하신 이지사 지지자분들의 반응 
3339,이재명 후보의 재난지원금 지급 철회와 특검 수용은 중요한 터닝포인트라고 본다 이재명 후보와 마찬가지로 윤석열 후보도 윤석열 정권 이 문재인 정권보다 무엇이 나은 것인지를 설득력 있게 제시할 수 있어야 한다 jOnmzi8FdV
3453,이걸 어케 믿어 대장동 국감 저질태도 국민무시 재난지원금 우기기 전기민형화 코나아이 문재인 지우기 국방비 삭감 통일 포기 민주당의 공산화 등등등 국민이 바보인줄 아네 이재명 180석 시진핑과 홍위단이야 민주당은 우선 NL 청소부터 하자 ZzLjU21zgq
4574,유튜브 티맵 대중교통 재난지원금 Pass 카카오뱅크 등 앱을 깔아주고 설명해 주면서 친분을 쌓아 이재명을 지지하도록 대화도 많이 하며 사귀다 보니 내 편이 많아졌습니다 내 이름을 모르는 사람들은 이재명 왔다고 수군거릴 정도입니다 
5112,이재명과더불어민주당은 전국민재난지원금 추진한다고 정부에 죽창질한 거 사과가 먼저 아니냐 
5323,주고 뺨 처맞는 것처럼 어리석은 일 없지 재난지원금 많이 받은 사람들일수록 이재명 욕하고 정부 욕하더라 이러다 나라 망한다고 돈도 많다고 하면서
5377, ch47avn 어머 욕하는거 보니 이재명이 떠오르네 혹시 이재명 지지자인가 국민들 70 가 전국민 재난지원금 반대하는데 무슨 소리 
5485,이재명 대장동파 찢사모 얘들은 쇠고랑 차고 정치생명 끊기고 대한민국에서 박멸 될 날도 얼마 안남음 文대통령 홍남기 손 들어줬다 재난지원금 내각판단 신뢰 다음 뉴스 ACuk8xsrRn
5512,몸이 너무 상하신 듯 보여 마음이 너무 아프다 나라를 위해 이렇게 고생하시는데 문프 덕에 의원 된 것들이 맨날 반문짓하는 이재명을 후보로 뽑아놓고 이 모두가 민주당 탓이다 재난지원금 홍남기 손 들어준 文대통령 내각의 판단 신뢰 다음 뉴스 6PEYbryDsH
5710,속지를 말어라 제발 속지를 이명박이가 4대강 대운하로 속여 나라곳간 거덜내고 감빵갔듯 이재명이는 재난지원금 지역화폐로 나라 거덜낼 궁리하는거다 이나라에 민주화운동 전과외의 전과자가 대통령 되는일은 이명박으로 끝내야한다 나라꼴이 뭐가 되겠니 
5752,재난지원금 접었지만 이재명표 입법 예산 속도낸다 lj7LZxYf1Z 민주당은 기본시리즈 기본소득 기본주택 기본금융 정책을 뒷받침할 후보 직속기구를 출범시키고 개발이익환수 3법 상정에 드라이브를 거는 등 내년도 예산안과 주요 입법 결과물을 바탕으로 지지율 반등을 기대하고 있다 
5829,경기도에나 통했던 전도민 재난지원금 경기도에나 통했던 언론통제 수법 경기 도에나 통했던 이재명은 합니다 과장 된 업적프레임 부동산 문제 사과하며 지 최측근들은 대장동에 아파트 한 채 씩 후보사퇴 수십번해도 모자랄 함량 미달의 여당 대선후보 그걸 공부한다고 밑줄치고 있는 송영길 
5929, TheMinjoo_Kr 끝까지 소신 지켜서 올리지마시지 억지로 올리시느라 고생이시네요 이재명 후보님 게시글 올리기만 해도 바쁜데 그쵸 전국민 재난지원금 주라고 홍남기 부총리 매일 몰아세웠던거 사과 한 마디 할 필요 없고요 합당이나 선대위 전권위임 같은 것도 당원들 동의하나 없이 박수로 짝짝하면 되고요 
5931,재난지원금 철회 특검 수용 대장동 사과 달라진 이재명 왜 c4QC3ge8v6 지지율 반전 위해 중도 포용 등 안간힘 본인의 주력 공약을 철회함으로써 합리적 실용적 이라는 이미지로 중도층에게 다가가겠다는 생각이 깔려 있는 셈
5933,문프가 재난지원금은 내각판단 신뢰 란다 이 또라이같은 이재명과 민주당 샛기들아 
5942, TheMinjoo_Kr 민주당과 이재명은 전부 이분 말씀을 벨소리로 설정하든지 외우든지 민주당과 중앙정부에서 추진하고 계신 전 국민 재난지원금을 철회하신다고 하니 국민의 한 사람으로서 다행이라고 생각합니다 그러나 차후에 다시 논의하신다고 하셨는데 그때는 정말 어려운 사람들 먼저 도와주셨으면 합니다 
5988,현재 가장 심각한 재난지원금 질문은 피해서 토론하는 건 이재명 이 대통령 이라면 생각할 수 없다 지금 직속 홍남기 답변하고 있는데 만약 옆에 있으면 돌려차기다 
5992, TheMinjoo_Kr 전국민 재난지원금 소리 내기만 해봐요 진짜 이 반문이재명당아 정신차려라 
6084,이재명후보가 전국민재난지원금 철회한거 잘 한거 같다 문재인대통령이 반대한다는데 궂이 될리도 없는 일 논란만 키우며 시간 낭비할 일 뭐 있나 부동산도 그렇고 능력의 한계인건지 아니면 윤석렬이 진짜로 문재인의 작품인건지 내부갈등 조장할수 있는 언어 자제하자고 노력중인데 화가 난다 
6130,文대통령 이재명의 전국민 재난지원금 반대한 정부 판단에 신뢰 다음뉴스 pCj6ekjyu0
6140, silence97 Rt 방금전 문 대통령이 국민과의 대화 일상으로 에 출연해 정부의 입장은 선별지원 방향으로 가고 있다는 말씀을 드린다 며 전국민 재난지원금 에 대해 명확히 반대 입장을 밝혔습니다 문파들이 처음부터 문 대통령과 홍남기의 공통된 입장이라고 주장했던 그대로입니다 이재명 주장이 틀렸습니다
6294,돌아버린 만주당 웃긴데 안웃겨 재난지원금 철회한 민주당 또다른 이재명표 예산 지역화폐 올인 다음뉴스 Wgj9IAxcB7
6382,재난지원금 철회 특검 수용 대장동 사과 달라진 이재명 왜 다음뉴스 C0Nxya0XTo
6384,재난지원금 철회 특검 수용 대장동 사과 달라진 이재명 왜 NxxKYdBVy9
6475,문대통령께서도 반대하시는 전국민재난지원금 아직 한낱 후보에 불과한 귀태새끼가 마치 지가 대통령인양 지껄이다니 이재명 자지는 개자지 문대통령은 명품자지 반드시 이낙연님으로 후보교체돼야 
6546,재난지원금 갖고 번번이 대통령과 각 세웠던 이재명과 민주당 정체는 뭘까 여당 참칭했으니 야당 아니겠고 대통령 뒤통수 치니 여당도 아니고 느그들 진짜 정처가 뭐냐 이미테이션정당 신기루정당 이런 거냐 내가 느그들 정명해 줄게 사이비정당 사이다 사이버 아니고 사이비 
6586,이재명과 민주당이 꼭 새겨들어야 할 제 개인적인 생각을 말씀드린다면 현재 민주당과 중앙정부에서 추진하고 계신 전 국민 재난지원금을 철회하신다고 하니 국민의 한 사람으로서 다행이라고 생각합니다 그러나 이 재난지원금을 차후에 다시 논의하신다고 하셨는데 그때는 정말 우리 소외계층에
6618,재난지원금 철회 특검 수용 대장동 사과 달라진 이재명 왜 zbl0vekbTl
6795,與 이재명에 선대위 쇄신 권한 위임 의원 탓 말라 반발도 2021 11 21 박수로 만장일치로 의결했다 한 의원은 뉴스1과 통화에서 어떤 의원이 조직이 너무 커 소통이 안 된다 전 국민 재난지원금이 사실상 엎어지고 하는 것을 나중에 알게 되는 것이 문제 지적 EqMuPZiOEp
6822,이재명이 전국재난지원금 왜 한발 물러났겠어 부정적인여론이 더 크니까 그런거잖아 그런데도 이재명지지자들은 문통한테 전국민재난지원금안준다고 욕하다니 제발 일상생활좀해요 
6843,국민청원은 박수현이 쳐내고 대장동 수사는 박범계 김오수가 뭉개는 상황에서 국민과 직접 소통에 나서신 우리 대통령님 말씀이시다 이재명 무릎꿇고 민주당 복창해 속보 문대통령 재난지원금 내각판단 신뢰 피해많은 분 우선지원 출처 매일경제 네이버 뉴스 O77XUf4Nit
6844,이재명식 전국민재난지원금반대 홍남기부총리 존중 oRa8VywfuV
6854, silence97 이재명 송영길 민주당 개버러지 새끼들 오늘 의문의 대형 쪽팔사 당했네요 거기다 문재인 대통령님께서는 재난지원금은 가장 어려운 분들께 먼저 지급이 돼야 한다는 정부내각의 의견을 가장 존중한다 라고까지 강경하게 말씀하셨습니다 클리앙 딴지 다음기사 거지새끼들 열 많이 받겠네요 
6873,대통령님께서 재난지원금 문제에 대해 또다시 내각의 판단을 신뢰하신다고 확실하게 말씀하셨다 역시 홍남기 경제부총리를 신임하시며 선별지원이 대통령님 뜻이다 민주당과 이재명이 대통령님 뜻에 반기들고 기재부 역활을 축소하겠다는 등 횡포부린거 생각하면 여당이라할 수 있냐고 
6883,오세요 文 재난지원금 내각 판단 신뢰 전 국민 지원 이재명과 생각 달랐다 RiHV7gaIb8
6936,방금전 문 대통령이 국민과의 대화 일상으로 에 출연해 정부의 입장은 선별지원 방향으로 가고 있다는 말씀을 드린다 며 전국민 재난지원금 에 대해 명확히 반대 입장을 밝혔습니다 문파들이 처음부터 문 대통령과 홍남기의 공통된 입장이라고 주장했던 그대로입니다 이재명 주장이 틀렸습니다 
6983,클리앙이랑 딴지 문프 위하는 척 하면서 대통령 지키려면 이낙연 홍남기를 죽여버려야 하고 실제 클리앙에서 썼던 워딩 지적한 회원만 경고받고 지적댓글 삭제됨 이재명을 추대하고 전국민 재난지원금을 지급해야 한다고 했던 개쓰레기 그지발싸개 병신새끼들 오늘 어떻게 발작할 지 궁금하네 
7128,文대통령 이재명의 전국민 재난지원금 반대한 정부 판단에 신뢰 PFFqHhUerl
7154,문대통령의 발언으로 대통령의 정부기조 아래 정부부처가 작동하고 있다는걸 보여줬다 대통령이 기재부에 휘둘린다는 주장은 부숴졌다 재난지원금도 분명히 약자와 피해자들 우선이라는 신념을 밝혔다 친이재명계 커뮤니티와 유투버들의 기재부 악마화가 매우 정치적이며 반문기조였음을 알수 있다 
7155, ESKdb7tHiavmNLn 당연하죠 문정부 사람입니다 누가했죠 문통 들이받고 쇼하는거죠 그걸로 지지율 이용해먹고 청와대가 이재명 재난지원금 철회 왜 지들이 먼주 선수칩니까 청와대는 윤석열이 편입니까 왜 유보를 철회라고 방송합니까 이재명은 국민들만 보고 나아가면 됩니다 무슨뜻인지 알겁니다
7182,부동산 토건업자 전국민재난지원금 관련질문은 다 이재명 악행 이 질문을 대통령이 받아서 맘이 아프네
7364, 원전묵시록 윤석열이 덮은 원전비리 2 내부고발자의 손을 잡은 이재명 WlLco1plBU YouTube 이런 납품비리만 아껴도 재난지원금 지급 가능 과연 누가 대통령이 되어야만 할까 이재명이 갑
7387,이재명 측 전국민재난지원금 철회 급한 것부터 하자는 뜻 n3bUW0TkhX 고집하지 않겠다 발언 관련 입장 밝혀 늦추지 말고 빨리 합의 보자 
7402, lt 대통령 국민과의 대화 gt 에서 대통령님께 재난지원금은 가장 어려운 분들이 수혜자가 먼저 됐으면 한다고 말씀하시자 문프께서 말씀에 동의한다 며 재난지원금에 대해선 어려운 분들부터 먼저 지급해 드려야 한다는 정부내각의 입장을 가장 존중한다 고 답변해주심 이재명 송영길 보고 있냐 
7422,기레기들 또 재난지원금 답변 가지고 이재명과 문 정부 엇박자 질알하겠지
7458,문재인 대통령 재난지원금을 지급할지 지원한다면 누구에게 지급할지에 대해서는 우리 내각의 판단을 신뢰한다 다시 한 번 명확히 정확히 정리하심 홍남기 경제부총리의 손을 들어주시고 이재명과 민주당의 목불인견 난동에 정밀폭격하심 
7476,재난지원금 이재명 지지자 아닌가 했는데 이재명 저격하는 분이었음 
7484,나라에 돈 맡겨놨냐 재난지원금 기본소득 개소리 계속 시부리니 저따위 말을 쉽게 하지 케퓽신 개색히들 이재명 방송국답게 끝까지 매국질
7495,이재명한테 사주 받았나 KBS 지금 재난지원금 내 놓으라고 협박하는 중
7502,진짜 이재명이 큰 일 했지 우리나라 방역 세계최고라 일상생활 유지하는 것도 감사해 절해도 모자랄 판인데 허구헌날 전국민 재난지원금 개지랄 염병천병 떨고 코로나 이후로 정부 후려치기만 오지게 하니 국민 놈들도 고마운줄을 몰라 더 달라고만 하지 썅
7809, Gunhodaddy Chosun 그러게요 좃중똥 직원과 태극기부대 게다가 국짐 지지자들이 국가의 재정상태를 생각했으면 지난번에 지급된 재난지원금 안쓰고 국고에 귀속 시켜서 많이 안썼을건데 개 신기하죠 이번에 이재명이 또 나눠주면 안쓰고 귀속 시키려나 봐요 
