,tweet
50,화천대유는 국짐당 게이트라며 왜 찢이 사과하고 깜빵은 죄다 이재명 측근만 가는거지 
70,석열이보단 잘하고있어 티비 조선도 실드 못처주는 생방송 방송사고 글고 이재명이 안될거였으면 화천대유 터졌을때 끝났어야지 그런데 어떻게 됐지 
138,이재명에 대해 배웁시다 전과4범 김부선 총각행세 불륜 형보수지 사기꾼 음주운전 대장동 화천대유타운 유동규 정진상 백종선 신건수 나눔기획 만달러공작금 여론조작 혜경궁 0189대포폰 조폭친구 사사오입 기본소득 지역화폐 쿠팡 물류센터 화재 떡볶이 먹방 인성파탄 개자지 귀태
229, nextEra21 쩍벌이요 이재명도 한쩍벌하던데 그럼이재명은 쩍벌에 형보확찢에 조카협박에 화천대유에 검사사칭에 음주운전등 전과 4범인거 화려하시네 너네 이재명 노력해보세요 너네 대통령 만들기 ML99VOK0PK
407, TheMinjoo_Kr 이재명은합니다_음주운전 이재명은합니다_검사사칭 이재명은합니다_장애인얼리베이터끄기 이재명은합니다_쌍욕 이재명_권순일 이재명_화천대유 1mtNyZiZYJ
448,이재명 검찰 뭐했나 저축은행부터 대장동까지 신속 특검하자 저축은행 비리를 왜 윤석열이 묵인 윤석열 부친 집을 화천대유 관련자들이 사준 일 50억 클럽의 실체 7000억 투자한 하나은행이 왜 화천대유에 개발이익을 몰아줬는지 M7sZJtrkWk
665,화천대유는 누구꺼 국민의힘을 위한 국민의힘에 의한 국민의힘 게이트 국민의힘 윤석열 고발사주 국민의힘 윤석열 가족사기단 이재명 검찰 그 긴 시간 동안 뭐 했나 궁금 조건 없는 특검 빨리 하자 다음뉴스 r1fjkqPxgw
723,이재명 후보 개발이익환수법 막는 자는 화천대유 꿈꾸는 공범 개발이익환수 개정안 현재 20 25 에 불과한 개발이익 환수비율을 50 이상으로 올리자는 법안 참고로 이재명 후보는 성남시장 재직시절 대장동 개발과 관련해 5 503억원 55 5 의 개발이익을 환수 DKJoCja3hw
739,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 다음 뉴스 bpmbO2SJDI 특검은 본인이 처음부터 안받았지
831,조금 무서운 뉴스 장기표 이재명과 경기동부연합 무슨 관계인가 종북정권 시즌2 바라는 北 선전매체 화천대유는 국민의힘 것 주장 xG3c1sjyk1 뉴데일리
877, 이재명 밀어 주는 북한 장기표 이재명과 경기동부연합 무슨 관계인가 종북정권 시즌2 바라는 北 선전매체 화천대유는 국민의힘 것 주장 북한 이재명 친북정권 수립 위해 文대통령과 딜 가능성 분석 xG3c1sjyk1 뉴데일리
907,이재명 빠진 대장동 수사결과 특검 출범 불가피 Hd0L1hMxQV 화천대유 포함 컨소시엄 사업자 선정 경위 못밝혀 대장동 사업 설계자 유동규 전권 행사 배경 의문점 성남도시개발공사 퇴진 압력 의혹도 향후 수사 대상 특검 출범해도 대선 전 결론 어려워 2월엔 구속 불가능 rCpXC4RTSS
937,박범곈 라임에 이어 화천대유에도 관련있냐 과 잘 알 것같은데 범계도 영수 못지 않게 돈을 쫓을 것 같던데 박범계를 이재명송영길 일당들이 법무로 민 이유가 있겠지 
944,장기표 이재명과 경기동부연합 무슨 관계 인가 최근 북한이 대남 선전 매체를 통해 화천대유가 국민의힘의 것 이라고 주장 JQm24rEPKs
961,그냥 민주당 지지자들이라는 인간들 한테 여론조사해라 이재명 화천대유 장학생들한테 여론조사 해라 민주당 국회의원들 한테 여론조사 해라 간단하잖아 여론 조작 간단해 대상자만 바꾸면 원하는대로 나오잖아
988, c584637 선대위 설계자 이재명님 선대위 모든 것을 결재하시고 선대위 측근인듯 측근아닌 것으로 채우실 행정업적 최대치적 대장동 화천대유하듯 하실 줄 알았음요 이재명_다_해쳐먹고_감옥가자
1156,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 2kJACEYq53
1222, 잘못된 것을 알면서도 설계하고 특혜를 현재가 문제인데 과거를 핑계삼아 또 말장난을 하나 이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 출처 헤럴드경제 네이버 뉴스 yl3ZV1P48h
1234,이재명과 함께 화천대유 대장동 합시다 
1285,민주당의 대선 패배가 예상된다 이재명은 무슨 수를 쓰더라도 지지율 40 돌파 못한다 비호감이 60 인 상황이다 지금이 이재명 최고점 39 5 으로 보인다 민주당이 이기려면 이낙연으로 갈아치우는 수 밖에 없어보인다 화천대유 사건에 이재명 책임이 없다고해도 정치는 이미지 싸움 
1340,이재명 尹 화천대유 불법대출 은폐 의혹 특검 거부하면 범인 다음 뉴스 8NPA4zRqcC
1511,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 다음 뉴스 I6Gg5P6Fmk
1527,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 출처 헤럴드경제 네이버 뉴스 r3VdTwPBR9
1582,이재명 개발이익 환수법 막는 자 화천대유 공범 IC1ITzVupk
1595,이재명이 김만배 남욱 선에서 꼬리 잘르기 성공 했다고 자신만만 하는건지 자기에게 포위망이 좁혀 오자 괜히 쎈척 하는건지 국힘이 강하게 검찰을 압박 해야 하는데 이 새끼들 이제 손 놓고 있네 하기사 국힘에도 연루된 새끼들 없겠어 화천대유가 그 정도로 빼곡하게 그물망을 쳐놨을테니
1718,이재명 尹 화천대유 불법대출 은폐 의혹 특검 거부하면 범인 다음 뉴스 RAPUybmMqF
1737,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 6qwIgFLeC0
1753,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 LwcgYyNyZm
1773, 나왔다 주특기 특검 거부했던건 만주당이랑 너였지 야 작업 끝났냐 이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 다음뉴스 ozlOUu48SU
1809, YoungpyoHong 무슨 염치로 이런 글을 쓰세요 국민의 힘 글자 자리에 더불어민주당을 써넣어도 똑같은 내용이에요 더불어대장동당 다 같이 화천대유 먹은 티가 너무 나네요 이재명 대통령 못됩니다 거대야당하세요 
1853,쌍특검 다 털고 가자 회피하는 놈이 범인이다 이재명 尹 화천대유 불법대출 은폐의혹 답하라 출처 시사저널 네이버 뉴스 6etgAwUVTh
1864,대장동의혹은 기획 설계 그리고 결제하기 열흘전에 급조한 화천대유란 회사에 이익을 몰아준것이 핵심의혹이다 50억 클럽은 부차적인 의혹 이제와서 자신의 책임이라는 이재명의 말한마디로 끝낼일인가 삼척동자도 울고 가겠다 
1910,익숙한 얼굴들이군요 서울시장 보선때 LH폭탄 투하한 이재명측근 변호사 아닌가요 부동산가격 폭등의 주범중 하나인 역대 최악의 부동산개발비리 대장동 몸통으로 혐의받고 있는 이재명무리들에게 물어보시지유 화천대유 sm535PosLs
1927,미친 이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 다음뉴스 nLAfwY0lm0
1975,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 다음 뉴스 4OYgavLPrE 尹 화천대유 비리 특검에 협조하라 공세 전환 윤석열 수사 은폐로 화천대유 개발비리 가능했어 민주당 尹 검찰에 고발하며 사후수뢰 주장도
1986,이재명 개발이익환수법 막는 자가 제2의 화천대유 꿈꾸는 공범 3lQjh1co1O
1987,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 다음 뉴스 Uc37jU0VaN
2002, Jaemyung_Lee 화천대유보다 더 심하게 해먹을려고 법제화를 반대하는 것 국민들은 다 알고 있다 
2040,이재명 조건 없는 특검 거부하면 윤석열이 화천대유 범인 iDYaoW8hFQ
2093, pangliver 강찬우의 남욱 봐주기 수사 부실수사 직무유기 수원지검 강찬우 이재명 18기동기 강찬우 이재명 혜경궁 강찬우 화천대유고문변호사
2128, TheMinjoo_Kr 사패소패 조폭보스 부동산폭등의주범 화천대유 역대급 범죄자 이재명과 욕쟁이 짜근엄마 혜경궁김씨 이재명_대장동게이트_특검가자 이재명_변호사비대납 이재명_절대_안찍어 이낙연으로_후보교체하면_대한민국이_산다 이낙연으로_후보교체하면_대선승리한다 이낙연대통령
2131,이재명 尹 화천대유 불법대출 은폐 의혹 특검 거부하면 범인 쌍특검 하라고 9ZJ0pf4ZGG
2169,윤 후보는 쌍특검 같은 물타기로 회피하지 말고 화천대유비리의 처음부터 끝에 대한 특검에 협조하기 바랍니다 특검을 피하는 자가 범인이라면서요 특검에 조건없이 동의합니다 저축은행 특검을 피한다면 윤후보와 국민의 힘이 바로 범인입니다 대통령 후보 이재명 NMXITu8baB
2180,둘다 쌍특검 받아라 이재명 尹 화천대유 불법대출 은폐 의혹 특검 거부하면 범인 출처 이데일리 네이버 뉴스 DOrvOMAGLN
2291,쟤 관상보면 화천대유도 그거 쉽게 끼어줄 관상이 아님 솔까말 이재명이보다 관상 드럽기가 쉽지 않은데 그걸 해내는 놈임 
2303,이재명 후보님 페북 이재명의 합니다 소확행 공약 11 윤석열 후보는 화천대유 불법대출 은폐 의혹에 답하십시오 jxVkfV72Wh 7rvFMdCVSY BMPzHTMPRd
2309, Jaemyung_Lee 화천대유 이재명 아닌가 
2379, 이재명 캠프 제기 조선일보 화천대유 보도 이의신청 대부분 기각 이재명 캠프가 제기한 조선일보 대장동게이트 관련 기사들 언론중제위에서 무더기 기각 李캠프 진중권 입 막으려 제재신청 10건 선관위 모두 처리
2419,우원식 이재명 국민 삶 개선 앞장서고 성과 내 rCzacf3ePz 무슨 성과를 냈는데 돈 벌려면 화천대유 하세유 뭐 이런거 
2435,이재명 개발이익 환수법을 막는 자는 화천대유 를 꿈꾸는 공범 I3I7zfWndm
2451,이재명 국민의힘 역시나 개발이익 환수법 어깃장 다음 뉴스 이제와 합의타령 막는 자가 화천대유 공범 7A8s2Uxu0M
2557,강찬우의 남욱 봐주기 수사 부실수사 직무유기 수원지검 강찬우 이재명 18기동기 강찬우 이재명 혜경궁 강찬우 화천대유고문변호사 fEtqp5D8C4
2738,더불어민주당의 매국노들은 원주민들 등쳐 먹고 부동산 가격 폭등 시키고 화천대유로 돈잔치하고는 이재명 우상화에 빠져서 피땀흘려 이룩한 자유민주주의 국가를 공산국가 처럼 만들려하고 있다 이런 매국노들을 여의도 광장에서 단두대에 올려졌으면 좋겠다 
2818,이재명 빠진 대장동 수사결과 특검 출범 불가피 다음 뉴스 ZqeOkvudF7 화천대유 포함 컨소시엄 사업자 선정 경위 못밝혀 김만배 측 7 지분으로 4000억 배당 의혹 여전 대장동 사업 설계자 유동규 전권 행사 배경 의문점 특검 출범해도 대선 전 결론 어려워 2월엔 구속 불가능
2877,이재명 캠프 선대위원장들은 다 뇌물먹었네 그런데 정진상은 잠적한 화천대유 최윤길 어디에 체포 가능성 거론 경찰 압수 자료 분석 끝나면 체포 가능성 있어 정영학 녹취록에 성남시의장 30억원 언급 언론보도 뒤 잠적 경찰 압수물 분석 마치면 나설 듯 2tT8DNfqV3
2928,이재명 lt 윤석열 후보는 화천대유 불법대출 은폐 의혹에 답하십시오 조건 없는 특검을 거부한다면 윤 후보와 국민의힘이 Facebook Fb78TOwFde
3052, 속보 이재명 윤석열 화천대유 불법대출 은폐 특검에 조건없이 동의 pDVFGfuIro 이재명 39 5 지지율
3152,이재명 지들 가족은 건들지 말라 해놓고 남의 가족을 잘도 건드리는데 지지율이 퍽이나 올라가겠다 화천대유서 푼돈으로 지지율 올려서 차 암 좋기도 하겠다 대놓고 땅주인들만 만나러 다니는 이재명 sNHsOMVPfO
3516, SK 화천대유의 이상한 거래 이재명 게이트 완전 헛다리 Ir8jHlNIzU 화천대유의 그분은 sk 최태원 회장 이란다 짝퉁년은 순시리의 명을 받아서 최태원을 사면해주고 모종의 거래 를 한것 아닌가요 
3618,이재명 개발이익 환수법을 막는 자는 화천대유 를 꿈꾸는 공범 yO2Kto3014
3641,이재명 국민의힘 역시나 개발이익 환수법 어깃장 다음 뉴스 WA25GjpY0z 이제와 합의타령 막는 자가 화천대유 공범 
3656,이재명이 행동으로 보여주는 인간은 맞아 정상적인 사람은 상상도 못할 짓을 쟤는 함 이재명은 합니다 검사사칭 음주운전 쌍욕 고소고발 협박 그리고 화천대유 
3711,이재명은 지지율 앞으로 계속 올라간다 화천대유가 잇다 
3744,부칸도 김정은만 브르조아고 나머진다 프롤레타리아임 남쪽도 이재명만 화천대유해서 브르조아 하고 오천만은 기본소득받고 공공주택에서 살면됨 전국민의 프롤레타리아화 위대한 사상이시다 
