,tweet
19,고민할게 뭐 있나 2번 가야지 이재명_절대_안찍는다 이낙연으로_후보교체하면_대한민국이_산다 8QDR5khYyr
28,동참 본인 SNS 메신져에 올려 알립시다 이재명은 무능 합니다 이재명은 무지 합니다 이재명은 무책임 합니다 이재명_절대_안찍어 이재명_낙선운동_무조건_한다 이낙연으로_후보교체하면_대한민국이_산다 이낙연으로_후보교체 후보교체_이낙연으로
32,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
58, mylovemoonpa 이재명구속이되고 송영길이탄핵되고 후보교체되고 여니대표님께서 청와대입성하면 좋겠어요 
74,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 이낙연_후보교체 후보교체
75, mimi24950 복붙 국민과의_대화 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검가자 대장동몸통_이재명을_특검하라 대장동특검이나해라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다
78, H65487632109 동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
90,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
91,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
95,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
104,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
147,하루를 정리하며 민주당_후보교체하라 이재명_절대_안찍는다 이재명의_오렌지민주당에게는_표안준다 차라리_멍하니_눈뜬바보같은_윤석열에게_표줄란다 이재명으로는_안된다
148, 6carpeDiem 하루를 정리하며 민주당_후보교체하라 이재명_절대_안찍는다 이재명의_오렌지민주당에게는_표안준다 차라리_멍하니_눈뜬바보같은_윤석열에게_표줄란다 이재명으로는_안된다
178,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
185,아무리 마음 고쳐먹어도 낙지 이재명은 안된다 후보교체하는 당이 이기는 선거 내가 민주당원이라는 것이 한없이 부끄럽지만 당장은 탈당도 할 수 없다 일말의 가능성이라도 있다면 버텨야하기에 이러려고 검찰개혁하자고 했나 조국 너는 이런걸 검찰개혁이라고 한거냐 민찢당 정말 싫다 PRLNPrSx2D
190, L04108731 Kbbangst 이재명을_거부한다 이재명과_원팀안한다 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
197,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이재명_배임 이낙연으로후보교체 후보교체
202,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
211,동참 이재명을_거부한다 이재명구속 이재명은_적폐다 이재명과_원팀안한다 이재명사생활인데바지는왜벗지 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
220, 6carpeDiem 잠자기 전에도 민주당_후보교체하라 이재명_절대_안찍는다 아직 잘 시간 안되었지만 
225, 이재명을_거부한다 이재명과_원팀안한다 이재명_절대_안찍는다 이낙연으로후보교체 후보교체
233,잠자기 전에도 민주당_후보교체하라 이재명_절대_안찍는다 
381,눈물 보인 이재명 대장동 의혹 자체가 제 책임 반성한다 yMDcdVIW1V 반성이 아니라 법적 책임을 져야지 이게 무슨 신파야 후보에서 물러나라고 어차피 후보교체 될 것 같지만 
420,본인 SNS 메신져에 올려 알립시다 이재명은 무능 합니다 이재명은 무지 합니다 이재명은 무책임 합니다 이재명_절대_안찍어 이재명_낙선운동_무조건_한다 이낙연으로_후보교체하면_대한민국이_산다 이낙연으로_후보교체 후보교체_이낙연으로
427, yeon_since81 E__BowTheLetter 이낙연으로_후보교체 되면 가능합니다 하루하루 최선을 다하시는 대통령님 그리고 사사오입 철회집회 서초동 변호사대납 이재명 구속촉구집회 등 행동하는 양심들이 후보교체를 이루어내리라고 봅니다 천지신명이시여 민주정부 4기 이낙연정부 꼭 이루어주소서 
460, YoungpyoHong 어느모로봐도 그놈이나 그놈이나지만 그나마 짜장이 훨 덜썩었다는건 확실하게 구분가능하죠 이재명_민주당에서축출해야 이상이교수님_응원합니다 이낙연으로후보교체 이낙연으로_본선이기자
730, marthen623 lmgwoo 11 22 하루백번복붙 리트윗 말고 복붙 국민과의_대화 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검가자 대장동몸통_이재명을_특검하라 대장동특검이나해라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다
865, TheMinjoo_Kr 북한이 맞는말했구만 왜 지랄이여 그러니까 후보교체했으면 썩은술 소리 안들었잖아 빨리 후보교체해라 나는 이재명을 민주당 대선후보로 인정못하고 안뽑아
878, alexkhan_kr forforforMoon 난 문재인의 민주당을 지지한다 난 이재명의 민주당을 반대한다 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검 정진상_소환수사하라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다 I35TNscvWv
938, YoungpyoHong tv에 이죄명극혐 나오면 체널돌리라고 온가족이 합창하듯합니다 국개원놈들이 더나쁜놈이라고 어른신들 분노도 만만치않습니다 범죄자를 대선후보 말이됩니까 더블어범죄당 소리듣기 부끄럽지 않으세요 이재명은 민주당을 망친원흉입니다 대장동 비리가 조단위 입니다 후보교체하라 외치십시오
983, TheMinjoo_Kr 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다 MJn5WwVSEU
995, TheMinjoo_Kr 네네 이번에도 박수로 통과됐겠죠 더불어박수당 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다
1000, YoungpyoHong 의원님 많이 힘드시죠 마음에도 없는 얘기하려니까요 조금 더 있다 때가오면 나서주실거라 믿습니다 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다
1021, TheMinjoo_Kr 썩은술 맞자나 찔리나부네 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다
1277, jktjj 꼴값들하네 후보교체 없으면 윤석열로 그래야 이재명 죄상 밝히지 절대_이재명은_안찍는다
1435, Pink12141 gksksla1007 이재명 대신 이낙연이 나가야 윤석열 이기니까 이낙연으로_후보교체하면_대선승리한다 ilzN7fO7I1
1447, YoungpyoHong 적폐 정치꾼들 집단은 여당이나 야당이나 한치도 다름이 없다 홍영표 의원은 이재명이 윤석열 보다 낫다고 생각하시오 후보교체 안되면 윤석열 찍을거요 그래야 이재명 죄상을 밝히지 이재명 180석 무슨 짓을 할지 생각만으로도 아찔 하네요 절대_이재명은_안찍는다
